t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.0005,0.0,55.330214702360934,0.0062303016193460325,0.006785774044194858,99.00015336923462,-2.1735500047636764e-14,2.2132085880944376e-13,5.4183246419241683e-17,2.492120647738413e-17,2.7143096176779434e-17,3.822028588362616e-15,ACBI1,9.26,36000.0,360,180,360,360,2.0235896477251565,2.5e-12
6.0,0.0005,0.0,55.327064388587374,0.007389417016878057,0.008184469197618132,99.00054485182628,-2.1737643199054944e-14,2.213082575543495e-13,6.528829689749828e-17,2.9557668067512224e-17,3.273787679047253e-17,3.820268701061061e-15,ACBI1,9.26,36000.0,360,180,360,360,2.442053094548651,2.5e-12
6.0,0.0005,0.0,55.32092186467983,0.008735635206782838,0.009869855287007423,99.00069052222985,-2.1741827131930593e-14,2.2128368745871933e-13,7.860952986742229e-17,3.494254082713135e-17,3.9479421148029697e-17,3.818143677625992e-15,ACBI1,9.26,36000.0,360,180,360,360,2.9470517025518097,2.5e-12
6.0,0.0005,0.0,55.30913298712711,0.01028766383392677,0.011899449077993677,99.0053550255922,-2.174986830119531e-14,2.2123653194850843e-13,9.453802056312464e-17,4.115065533570708e-17,4.759779631197471e-17,3.815578845665079e-15,ACBI1,9.26,36000.0,360,180,360,360,3.5564803062231287,2.5e-12
6.0,0.0005,0.0,55.286921229437624,0.012061243877839948,0.014341128917919822,99.00343151921894,-2.176504190666082e-14,2.211476849177505e-13,1.1349120819047435e-16,4.824497551135979e-17,5.736451567167929e-17,3.812486112896534e-15,ACBI1,9.26,36000.0,360,180,360,360,4.291934260128776,2.5e-12
6.0,0.0005,0.0,55.245958458520704,0.014066540604688229,0.01727380031073356,99.01526512895369,-2.1793067543356705e-14,2.2098383383408282e-13,1.3587870677264292e-16,5.626616241875291e-17,6.909520124293424e-17,3.8087638517824305e-15,ACBI1,9.26,36000.0,360,180,360,360,5.17947467923121,2.5e-12
6.0,0.0005,0.0,55.17225977454376,0.01630455842052557,0.020786834243804127,99.00809578135166,-2.1843555606235793e-14,2.2068903909817506e-13,1.6203840877627e-16,6.521823368210227e-17,8.314733697521651e-17,3.8042994878933004e-15,ACBI1,9.26,36000.0,360,180,360,360,6.25055192527397,2.5e-12
6.0,0.0005,0.0,55.04336871461918,0.018762412843831656,0.024976998127076027,99.00013124261858,-2.1931912288369512e-14,2.2017347485847673e-13,1.9213090811923797e-16,7.504965137532664e-17,9.990799250830413e-17,3.798977444276033e-15,ACBI1,9.26,36000.0,360,180,360,360,7.543120063354615,2.5e-12
6.0,0.0005,0.0,54.82510615280493,0.02140749080125461,0.02994092593271796,99.13445954769,-2.2081437015789287e-14,2.193004246112197e-13,2.259843186586372e-16,8.562996320501844e-17,1.1976370373087182e-16,3.7926964140289155e-15,ACBI1,9.26,36000.0,360,180,360,360,9.102981779915218,2.5e-12
6.0,0.0005,0.0,54.468715710377516,0.024181044140635755,0.03576067184192963,99.0845369755012,-2.232485256131686e-14,2.1787486284151004e-13,2.6289627662737806e-16,9.672417656254303e-17,1.4304268736771852e-16,3.785400756764004e-15,ACBI1,9.26,36000.0,360,180,360,360,10.985411419875584,2.5e-12
6.0,0.0005,0.0,53.90998775879601,0.026992716794747462,0.042480267534314664,99.07226566172078,-2.270383117970301e-14,2.1563995103518405e-13,3.0143015410404173e-16,1.0797086717898984e-16,1.6992107013725865e-16,3.777129543705781e-15,ACBI1,9.26,36000.0,360,180,360,360,13.257113655901081,2.5e-12
6.0,0.0005,0.0,53.07254971756975,0.029718774164003668,0.05007353432083589,99.0226103776941,-2.32645493445914e-14,2.1229019887027902e-13,3.392857336122213e-16,1.1887509665601467e-16,2.0029413728334353e-16,3.768081058534294e-15,ACBI1,9.26,36000.0,360,180,360,360,15.998587196060573,2.5e-12
6.0,0.0005,0.0,51.87730856163236,0.03220769520161652,0.058408487030115,98.98280738045692,-2.4047640162399438e-14,2.0750923424652947e-13,3.733607670895018e-16,1.2883078080646606e-16,2.3363394812046005e-16,3.75867885570813e-15,ACBI1,9.26,36000.0,360,180,360,360,19.306977288832496,2.5e-12
6.0,0.0005,0.0,50.25830447904536,0.0342960385492917,0.06722056470605002,99.26005597202251,-2.507294062249116e-14,2.010332179161814e-13,4.0010851548025707e-16,1.3718415419716682e-16,2.688822588242001e-16,3.749610478139247e-15,ACBI1,9.26,36000.0,360,180,360,360,23.29951810515372,2.5e-12
6.0,0.0005,0.0,48.181963879169196,0.03583407437162243,0.07611160401545354,99.20126875816256,-2.6323124491853873e-14,1.9272785551667677e-13,4.161993510811561e-16,1.433362974864897e-16,3.044464160618142e-16,3.74180150938297e-15,ACBI1,9.26,36000.0,360,180,360,360,28.11768697974228,2.5e-12
6.0,0.0005,0.0,45.66337693507571,0.036715323611341985,0.0845880083610817,99.09420014274248,-2.773374346322329e-14,1.8265350774030286e-13,4.193263672012397e-16,1.4686129444536797e-16,3.383520334443268e-16,3.7362994252269566e-15,ACBI1,9.26,36000.0,360,180,360,360,33.93221771895326,2.5e-12
6.0,0.0005,0.0,42.77234165835709,0.03690005294310617,0.09213727931245898,99.64533431166899,-2.9197063261924233e-14,1.7108936663342838e-13,4.088541325590719e-16,1.476002117724247e-16,3.6854911724983594e-16,3.734078355014567e-15,ACBI1,9.26,36000.0,360,180,360,360,40.94915062380423,2.5e-12
6.0,0.0005,0.0,39.625180172488015,0.0364235567293975,0.09832282800107098,99.59107098922648,-3.058164340147203e-14,1.5850072068995206e-13,3.860219468113658e-16,1.4569422691759e-16,3.932913120042839e-16,3.735820901237442e-15,ACBI1,9.26,36000.0,360,180,360,360,49.417133613238335,2.5e-12
6.0,0.0005,0.0,36.364426357089236,0.03538617224302454,0.1028652080127425,99.19357070449894,-3.176150429363159e-14,1.4545770542835695e-13,3.5360672764183235e-16,1.4154468897209816e-16,4.1146083205097005e-16,3.741755762306164e-15,ACBI1,9.26,36000.0,360,180,360,360,59.63623316594643,2.5e-12
6.0,0.0005,0.0,33.133627824907094,0.033929649284472604,0.10568250663424482,99.21395842617217,-3.2643575501855764e-14,1.3253451129962837e-13,3.1520414210394407e-16,1.357185971378904e-16,4.227300265369793e-16,3.751610790610984e-15,ACBI1,9.26,36000.0,360,180,360,360,71.96856730011514,2.5e-12
6.0,0.0005,0.0,30.055591293608824,0.0322089717856044,0.10688078314888187,83.04146157592176,-3.3183517164656546e-14,1.202223651744353e-13,2.744303533783635e-16,1.288358871424176e-16,4.2752313259552753e-16,3.7646912274547086e-15,ACBI1,9.26,36000.0,360,180,360,360,86.85113737513521,2.5e-12
6.0,0.0005,0.0,27.2194534298695,0.030368202958257998,0.10670540892394913,99.77667847276655,-3.3386407970187583e-14,1.08877813719478e-13,2.343122476560448e-16,1.21472811833032e-16,4.2682163569579647e-16,3.780043581483432e-15,ACBI1,9.26,36000.0,360,180,360,360,104.81131341546853,2.5e-12
6.0,0.0005,0.0,24.67751552085132,0.028525112079592668,0.10547525208806448,99.70519937543916,-3.329550916489652e-14,9.871006208340528e-14,1.9698672672869832e-16,1.1410044831837068e-16,4.219010083522579e-16,3.796642804223487e-15,ACBI1,9.26,36000.0,360,180,360,360,126.48552168552958,2.5e-12
6.0,0.0005,0.0,22.449442455413944,0.026765133273141214,0.10352099669278973,99.38584481260496,-3.297570234353776e-14,8.979776982165578e-14,1.636823332397566e-16,1.0706053309256486e-16,4.1408398677115897e-16,3.8135485348201074e-15,ACBI1,9.26,36000.0,360,180,360,360,152.6417967175232,2.5e-12
6.0,0.0005,0.0,20.53022937254084,0.025142484608457114,0.10114064647459918,99.67008003302263,-3.249774050007692e-14,8.212091749016337e-14,1.3487807008422923e-16,1.0056993843382846e-16,4.0456258589839675e-16,3.8300021318078475e-15,ACBI1,9.26,36000.0,360,180,360,360,184.20699693267144,2.5e-12
6.0,0.0005,0.0,18.89883901062854,0.023685393837690628,0.09857566694798335,99.37367377841848,-3.1926859172444155e-14,7.559535604251417e-14,1.1052813344807136e-16,9.474157535076251e-17,3.9430266779193344e-16,3.845462849477077e-15,ACBI1,9.26,36000.0,360,180,360,360,222.29964825261933,2.5e-12
6.0,0.0005,0.0,17.5256253005501,0.02240276909279267,0.09600449808313992,99.37486515395258,-3.1316574883768216e-14,7.010250120220041e-14,9.027510291405394e-17,8.961107637117068e-17,3.840179923325597e-16,3.859598196381045e-15,ACBI1,9.26,36000.0,360,180,360,360,268.26957952797244,2.5e-12
6.0,0.0005,0.0,16.377810856741803,0.021290564961887668,0.0935474230308763,99.75384000683071,-3.070676406420095e-14,6.551124342696722e-14,7.36149014387787e-17,8.516225984755067e-17,3.7418969212350526e-16,3.87224847330778e-15,ACBI1,9.26,36000.0,360,180,360,360,323.74575428176433,2.5e-12
6.0,0.0005,0.0,15.423043242196693,0.020336988557423864,0.09127700215025206,99.72726062464562,-3.012449873162622e-14,6.169217296878677e-14,6.000673633001421e-17,8.134795422969546e-17,3.6510800860100823e-16,3.883382512070905e-15,ACBI1,9.26,36000.0,360,180,360,360,390.6939937054613,2.5e-12
6.0,0.0005,0.0,14.631408944187543,0.019526325920783783,0.08922989046898017,99.6526447975254,-2.9586235735468394e-14,5.852563577675017e-14,4.8936704796864534e-17,7.810530368313514e-17,3.5691956187592067e-16,3.893055612782666e-15,ACBI1,9.26,36000.0,360,180,360,360,471.486636345739,2.5e-12
6.0,0.0005,0.0,13.976363443988385,0.01884151949788262,0.08741764336245302,99.75602483583695,-2.910037505546071e-14,5.590545377595354e-14,3.994844134439035e-17,7.536607799153049e-17,3.496705734498121e-16,3.9013749882537606e-15,ACBI1,9.26,36000.0,360,180,360,360,568.9866029018293,2.5e-12
6.0,0.0005,0.0,13.434977001876888,0.0182657641491143,0.0858354942745694,99.75778164845346,-2.8669631309994116e-14,5.3739908007507555e-14,3.265311610308211e-17,7.306305659645721e-17,3.4334197709827763e-16,3.908474073043427e-15,ACBI1,9.26,36000.0,360,180,360,360,686.6488450042998,2.5e-12
6.0,0.0005,0.0,12.987792594174225,0.017783401039652525,0.08446893770287037,85.94273041027306,-2.8292980370299146e-14,5.19511703766969e-14,2.6727978809070267e-17,7.11336041586101e-17,3.3787575081148145e-16,3.914494904572517e-15,ACBI1,9.26,36000.0,360,180,360,360,828.6427728546843,2.5e-12
6.0,0.0005,0.0,12.61849343401373,0.017380344499018242,0.0832983712591644,99.81269532243617,-2.796713474958276e-14,5.0473973736054925e-14,2.1909474385328273e-17,6.952137799607297e-17,3.331934850366576e-16,3.9195769389921184e-15,ACBI1,9.26,36000.0,360,180,360,360,1000.0,2.5e-12
6.0,0.0005,0.0,55.33337876411194,0.0004254739481239922,0.0004273496392828097,99.00000000082701,-2.173335154025616e-14,2.2133351505644776e-13,3.4187620031648e-18,1.7018957924959687e-18,1.7093985571312387e-18,4.87252633113046e-15,ACBI1,9.26,36000.0,360,180,360,360,0.1,2.5e-11
6.0,0.0005,0.0,55.33337871031342,0.0005129934012360975,0.000515722593789771,99.0000000017472,-2.173335155730253e-14,2.2133351484125368e-13,4.125737627192799e-18,2.05197360494439e-18,2.0628903751590836e-18,4.8725377095757e-15,ACBI1,9.26,36000.0,360,180,360,360,0.12067926406393285,2.5e-11
6.0,0.0005,0.0,55.333378596713615,0.0006184001854067281,0.0006223705129602724,99.00000001484366,-2.173335159329789e-14,2.2133351438685447e-13,4.9789105101077595e-18,2.4736007416269126e-18,2.4894820518410895e-18,4.872551441059193e-15,ACBI1,9.26,36000.0,360,180,360,360,0.14563484775012436,2.5e-11
6.0,0.0005,0.0,55.33337835705703,0.0007452979718655885,0.0007510725643238689,99.00000000460626,-2.1733351669238513e-14,2.2133351342822813e-13,6.008512610513814e-18,2.981191887462354e-18,3.0042902572954754e-18,4.87256801219267e-15,ACBI1,9.26,36000.0,360,180,360,360,0.1757510624854792,2.5e-11
6.0,0.0005,0.0,55.33337785201496,0.0008979929146706126,0.0009063894360845365,99.00000006463854,-2.1733351829282253e-14,2.2133351140805988e-13,7.251026809816304e-18,3.591971658682451e-18,3.625557744338146e-18,4.8725880102179584e-15,ACBI1,9.26,36000.0,360,180,360,360,0.21209508879201905,2.5e-11
6.0,0.0005,0.0,55.33337678911785,0.0010816199835287424,0.0010938249554359012,99.00000002998975,-2.1733352166122607e-14,2.2133350715647141e-13,8.750478555222012e-18,4.32647993411497e-18,4.375299821743605e-18,4.872612143810293e-15,ACBI1,9.26,36000.0,360,180,360,360,0.2559547922699536,2.5e-11
6.0,0.0005,0.0,55.33337455572628,0.0013022871955157178,0.001320021127852431,99.00000015339619,-2.173335287394892e-14,2.2133349822290512e-13,1.0559993464178458e-17,5.209148782062872e-18,5.2800845114097236e-18,4.8726412681722716e-15,ACBI1,9.26,36000.0,360,180,360,360,0.3088843596477481,2.5e-11
6.0,0.0005,0.0,55.33336987181572,0.00156723799414134,0.0015929935037224028,99.00000024594712,-2.1733354358532957e-14,2.2133347948726288e-13,1.2743674629628982e-17,6.26895197656536e-18,6.371974014889612e-18,4.87267641529366e-15,ACBI1,9.26,36000.0,360,180,360,360,0.372759372031494,2.5e-11
6.0,0.0005,0.0,55.33336007116999,0.0018850307121652502,0.0019224151977553891,99.00000062413213,-2.173335746518974e-14,2.2133344028467995e-13,1.537886311693155e-17,7.540122848661001e-18,7.689660791021556e-18,4.8727188304169495e-15,ACBI1,9.26,36000.0,360,180,360,360,0.44984326689694454,2.5e-11
6.0,0.0005,0.0,55.333339620725475,0.0022657319921292117,0.0023199595847780813,99.00000333743756,-2.1733363948425517e-14,2.2133335848290191e-13,1.855885547055872e-17,9.062927968516848e-18,9.279838339112326e-18,4.872770015937038e-15,ACBI1,9.26,36000.0,360,180,360,360,0.5428675439323859,2.5e-11
6.0,0.0005,0.0,55.33329708895547,0.0027211179405284064,0.0027997137093077043,99.00000017057576,-2.1733377433803122e-14,2.2133318835582187e-13,2.239616158698472e-17,1.0884471762113625e-17,1.1198854837230818e-17,4.8728317841640074e-15,ACBI1,9.26,36000.0,360,180,360,360,0.6551285568595507,2.5e-11
6.0,0.0005,0.0,55.333208983718386,0.0032648722999344295,0.003378676789377858,99.0000055127395,-2.1733405373656594e-14,2.2133283593487353e-13,2.7026391942634482e-17,1.3059489199737718e-17,1.3514707157511431e-17,4.872906320566289e-15,ACBI1,9.26,36000.0,360,180,360,360,0.7906043210907697,2.5e-11
6.0,0.0005,0.0,55.33302733644013,0.003912764598548534,0.004077360812177387,99.00001385197369,-2.1733462988981892e-14,2.2133210934576053e-13,3.261285829058007e-17,1.5651058394194137e-17,1.630944324870955e-17,4.872996259259924e-15,ACBI1,9.26,36000.0,360,180,360,360,0.9540954763499939,2.5e-11
6.0,0.0005,0.0,55.33265495002756,0.004682782538347833,0.004920512875929896,99.00003529903611,-2.1733581131319745e-14,2.2133061980011026e-13,3.935194322405478e-17,1.8731130153391333e-17,1.9682051503719583e-17,4.873104772537627e-15,ACBI1,9.26,36000.0,360,180,360,360,1.151395399326447,2.5e-11
6.0,0.0005,0.0,55.33189668131304,0.005595181113578012,0.005937980964634975,99.00001622399868,-2.1733821763972422e-14,2.2132758672525215e-13,4.747921552153048e-17,2.238072445431205e-17,2.37519238585399e-17,4.873235676047924e-15,ACBI1,9.26,36000.0,360,180,360,360,1.3894954943731375,2.5e-11
