t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
1.4693877551020407,0.0005,0.0,86.47013099496789,0.005525178039044518,0.0062556118870905454,99.0009172849394,-3.41967477615932e-14,3.4588052397987157e-13,4.962207051721292e-17,2.2100712156178074e-17,2.5022447548362182e-17,8.640299050278253e-16,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
1.9591836734693877,0.0005,0.0,82.38365203447141,0.006972763366536321,0.00789499643284832,99.0009172849394,-3.2564451364509264e-14,3.2953460813788566e-13,6.269701834855712e-17,2.7891053466145287e-17,3.157998573139328e-17,1.144329958730512e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
2.4489795918367347,0.0005,0.0,78.49224063866217,0.008248605433819799,0.009340056096853781,99.0009172849394,-3.10099151042252e-14,3.139689625546487e-13,7.422280509795477e-17,3.2994421735279193e-17,3.7360224387415125e-17,1.4207583117971257e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
2.9387755102040813,0.0005,0.0,74.78660340501966,0.009366875065287428,0.010606808083166339,99.0009172849394,-2.95294431223718e-14,2.991464136200786e-13,8.432710768042841e-17,3.746750026114972e-17,4.242723233266536e-17,1.6933100889064014e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
3.4285714285714284,0.0005,0.0,71.25788880788586,0.010340758408798577,0.011710158142823468,99.0009172849394,-2.811951486347876e-14,2.8503155523154345e-13,9.312874363597032e-17,4.136303363519431e-17,4.6840632571293875e-17,1.9619851596984515e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
3.9183673469387754,0.0005,0.0,67.89766609304661,0.011182515505219625,0.012663966558063759,99.0009172849394,-2.6776776715137992e-14,2.7159066437218643e-13,1.0073819706612104e-16,4.4730062020878503e-17,5.0655866232255035e-17,2.2267877945283665e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
4.408163265306122,0.0005,0.0,64.69790534751239,0.01190353604438455,0.013481110966104081,99.0009172849394,-2.5498034114568143e-14,2.5879162139004954e-13,1.0725811938436025e-16,4.76141441775382e-17,5.392444386441633e-17,2.4877263341562665e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
4.8979591836734695,0.0005,0.0,61.65095851952786,0.012514392503660347,0.014173546243218663,99.0009172849394,-2.4280244031858405e-14,2.4660383407811145e-13,1.127838066389894e-16,5.0057570014641394e-17,5.669418497287465e-17,2.7448128762674155e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
5.387755102040816,0.0005,0.0,58.74954106995077,0.01302489089521522,0.014752361703852641,99.0009172849394,-2.3120507702666855e-14,2.349981642798031e-13,1.1740365543839537e-16,5.209956358086088e-17,5.900944681541057e-17,2.998062985856963e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
5.877551020408163,0.0005,0.0,55.98671501892588,0.013444118612406079,0.01522783503659149,99.0009172849394,-2.2016063915108086e-14,2.2394686007570351e-13,1.2119959286829184e-16,5.377647444962431e-17,6.091134014636596e-17,3.2474954080439283e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
6.36734693877551,0.0005,0.0,53.355872398526614,0.013780490120691982,0.015609483819555329,99.0009172849394,-2.096428245622829e-14,2.1342348959410646e-13,1.2424748711750384e-16,5.512196048276793e-17,6.243793527822132e-17,3.4931318067248626e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
6.857142857142857,0.0005,0.0,50.85071962378736,0.0140417901615061,0.015906114238641553,99.0009172849394,-1.9962657922482768e-14,2.0340287849514948e-13,1.2661753580940526e-16,5.61671606460244e-17,6.362445695456622e-17,3.734996514750805e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
7.346938775510204,0.0005,0.0,48.46526255796042,0.014235214674319785,0.01612586723974226,99.0009172849394,-1.9008803804835257e-14,1.938610502318417e-13,1.283746338810804e-16,5.694085869727914e-17,6.450346895896904e-17,3.973116299954279e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
7.836734693877551,0.0005,0.0,46.19379217739706,0.014367409535751694,0.01627626222570708,99.0009172849394,-1.810044681076032e-14,1.8477516870958824e-13,1.2957872189287274e-16,5.746963814300678e-17,6.510504890282833e-17,4.207520148892875e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
8.326530612244898,0.0005,0.0,44.03087122582594,0.014444506973188784,0.016364238135391514,99.0009172849394,-1.7235421578794294e-14,1.7612348490330376e-13,1.3028511347085653e-16,5.777802789275514e-17,6.545695254156606e-17,4.438239053816174e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
8.816326530612244,0.0005,0.0,41.97132124079376,0.014472160064217405,0.016396192369510044,99.0009172849394,-1.6411665539361514e-14,1.6788528496317505e-13,1.3054480558704294e-16,5.788864025686962e-17,6.558476947804019e-17,4.665305820740279e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
9.306122448979592,0.0005,0.0,40.01021029797353,0.014455575193091695,0.01637801741635519,99.0009172849394,-1.5627214059921327e-14,1.6004084119189412e-13,1.3040477050536166e-16,5.782230077236679e-17,6.551206966542077e-17,4.888754886274563e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
9.795918367346939,0.0005,0.0,38.14284126019967,0.01439954264312504,0.016315135378976678,99.0009172849394,-1.4880195789430994e-14,1.5257136504079867e-13,1.2990823100042226e-16,5.759817057250016e-17,6.526054151590672e-17,5.108622148881068e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
10.285714285714285,0.0005,0.0,36.36474057862413,0.014308465367057752,0.016212530450463614,99.0009172849394,-1.4168828221121447e-14,1.4545896231449652e-13,1.2909491922062263e-16,5.723386146823101e-17,6.485012180185445e-17,5.324944811716353e-15,PROTAC 1,8.54,36000.0,360,180,360,180,3.2
