t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
1.0,0.0005,0.0,90.57918638524951,0.04771185643931293,0.048152350130163425,99.00000003984998,3.6231674554099805e-13,1.0683697443436712e-17,1.9084742575725172e-16,1.926094005206537e-16,4.457418957740465e-15,ACBI1,9.26,36000.0,10,7.543120063354615
1.0,0.0005,0.0,90.57918617595668,0.057349432747709504,0.05798836277957555,99.00000007569291,3.623167447038267e-13,1.2865055933734005e-17,2.2939773099083805e-16,2.319534511183022e-16,4.4489851736591146e-15,ACBI1,9.26,36000.0,10,9.102981779915218
1.0,0.0005,0.0,90.57918573190561,0.06887594891365782,0.06980191928400041,99.00000023488568,3.6231674292762243e-13,1.548448466032235e-17,2.755037956546313e-16,2.7920767713600166e-16,4.438743800873249e-15,ACBI1,9.26,36000.0,10,10.985411419875584
1.0,0.0005,0.0,90.57918479258824,0.0826349559084341,0.08397553223493637,99.00000067005814,3.6231673917035296e-13,1.8626451877580867e-17,3.305398236337364e-16,3.3590212893974546e-16,4.426297298090437e-15,ACBI1,9.26,36000.0,10,13.257113655901081
1.0,0.0005,0.0,90.57918281363038,0.09901998290197393,0.1009583660833083,99.00000197108737,3.6231673125452157e-13,2.2389983182016085e-17,3.9607993160789577e-16,4.038334643332332e-16,4.4111587927862045e-15,ACBI1,9.26,36000.0,10,15.998587196060573
1.0,0.0005,0.0,90.57917866620993,0.11847567478310032,0.12127415912445128,99.00000185262743,3.623167146648397e-13,2.6890276680908885e-17,4.739026991324013e-16,4.850966364978051e-16,4.3927328753438165e-15,ACBI1,9.26,36000.0,10,19.306977288832496
1.0,0.0005,0.0,90.57917003170634,0.14149537787529104,0.145528084931055,98.99999381453453,3.6231668012682536e-13,3.225998619129857e-17,5.659815115011641e-16,5.821123397242201e-16,4.370293672145125e-15,ACBI1,9.26,36000.0,10,23.29951810515372
1.0,0.0005,0.0,90.57915220208903,0.16861310119656575,0.1744111872737093,99.00001093522039,3.623166088083561e-13,3.8649798816852476e-17,6.744524047862631e-16,6.976447490948372e-16,4.3429610676207755e-15,ACBI1,9.26,36000.0,10,28.11768697974228
1.0,0.0005,0.0,90.57911574820572,0.2003870876503314,0.2087003642864184,99.00004228145617,3.6231646299282293e-13,4.6227734940764875e-17,8.015483506013257e-16,8.348014571456736e-16,4.3096770985203075e-15,ACBI1,9.26,36000.0,10,33.93221771895326
1.0,0.0005,0.0,90.57904209143884,0.2373715441218561,0.24925107351041112,99.00014537554375,3.6231616836575534e-13,5.517633242189658e-17,9.494861764874245e-16,9.970042940416445e-16,4.269186331024271e-15,ACBI1,9.26,36000.0,10,40.94915062380423
