t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
12.0,0.001,0.0,7.485287983399758e-05,99.99992514712017,0.14903694572163947,0.15014304424526415,0.0001659722326685653,-3.554792900323902e-21,4.746108069492334e-19,2.810346136107459e-25,2.462044304195912e-27,5.239996077709097e-14,1.5725598725055247e-16,7.809535955813909e-17,7.867495518451842e-17,7.356821505140001e-14,2.076967555593895e-23,1.6814525964407759e-25,ACBI1,9.26,36000.0,360,180,360,0,0.1,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.0001579722584352794,99.99984202774156,0.17952273670512267,0.18113159898857026,0.00025703505466267984,-7.501475250451276e-21,5.715306238971211e-19,5.9310875132633625e-25,6.272130032197302e-27,5.239991722253658e-14,1.8971219035327406e-16,9.406991403348427e-17,9.491295787001083e-17,7.358303698409606e-14,4.3831171168108754e-23,4.282221131570987e-25,ACBI1,9.26,36000.0,360,180,360,0,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.0003330491390727275,99.99966695086093,0.21616136656870702,0.21850091668501895,0.00047626397464695103,-1.581340920522756e-20,6.879275732058934e-19,1.2504346160498328e-24,1.59615285167625e-26,5.239982548225113e-14,2.2885106691455685e-16,1.1326855608200248e-16,1.1449448034294993e-16,7.360091068620517e-14,9.240329183059173e-23,1.0894423092828984e-24,ACBI1,9.26,36000.0,360,180,360,0,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.0007012930188352584,99.99929870698116,0.26015673489560354,0.2635577692610092,0.001107527168697775,-3.32933234041705e-20,8.275609960813542e-19,2.6329623058754086e-24,4.05679255951554e-26,5.2399632522458134e-14,2.760409801023431e-16,1.3632212908529626e-16,1.3810427109276884e-16,7.362246110745662e-14,1.9455855016015473e-22,2.7682002847369676e-24,ACBI1,9.26,36000.0,360,180,360,0,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.0014744979578011908,99.9985255020422,0.3129307405819298,0.3178730110692397,0.004848057610606915,-6.998875407203484e-20,9.948278801216605e-19,5.5356367622749255e-24,1.0294993647586617e-25,5.239922736307012e-14,3.329265952727791e-16,1.6397570806493124e-16,1.6656545780028162e-16,7.364843951467919e-14,4.0903457477845605e-22,7.023233956097416e-24,ACBI1,9.26,36000.0,360,180,360,0,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.0030946334944133014,99.99690536650559,0.37615417020338837,0.3833328383803258,0.00931382098676714,-1.4685929759180948e-19,1.1948040834464249e-18,1.161667085441267e-23,2.6077161425667703e-25,5.239837841204893e-14,4.014822797095231e-16,1.9710478518657553e-16,2.0086640731129072e-16,7.367974808867429e-14,8.583835931286382e-22,1.7786393374502927e-23,ACBI1,9.26,36000.0,360,180,360,0,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.006480876465587926,99.99351912353441,0.4517770460272272,0.46219828606510044,0.01796394667031853,-3.0747453365134986e-19,1.4332123799987937e-18,2.4321787648257771e-23,6.590209479982582e-25,5.2396604020732036e-14,4.840738345230561e-16,2.3673117211826704e-16,2.4219190189811264e-16,7.37174686140155e-14,1.7974235050391963e-21,4.4945435973946065e-23,ACBI1,9.26,36000.0,360,180,360,0,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.013537000215563921,99.98646299978444,0.5420542555138629,0.5571723479207228,0.03559363387188874,-6.420150488297639e-19,1.7162064490832973e-18,5.077520808688786e-23,1.6607069243019402e-24,5.239290661188705e-14,5.835276127318118e-16,2.8403642988926417e-16,2.9195831031045875e-16,7.376289521095104e-14,3.753760722492238e-21,1.1327384790719502e-22,ACBI1,9.26,36000.0,360,180,360,0,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.028186211209671796,99.97181378879033,0.6495581227003672,0.6714711361378345,0.055737548236090007,-1.3361407191839635e-18,2.049711256988476e-18,1.0560532641439342e-22,4.16955291768682e-24,5.238523042532614e-14,7.032026608287665e-16,3.403684562949924e-16,3.5185087533622527e-16,7.381756999728745e-14,7.814161631908231e-21,2.845590338105231e-22,ACBI1,9.26,36000.0,360,180,360,0,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.05846309912685399,99.94153690087315,0.7771610142312974,0.8088881299704378,0.03963007333739332,-2.769499221698517e-18,2.437715190747073e-18,2.1854833663116307e-22,1.0417432785856419e-23,5.236936533605753e-14,8.470532100905676e-16,4.072323714571998e-16,4.2385738010450945e-16,7.388331791547447e-14,1.6202682267435186e-20,7.120371802859299e-22,ACBI1,9.26,36000.0,360,180,360,0,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.12069446218391988,99.87930553781608,0.9279529786932023,0.9738229146610502,0.23301276830626216,-5.711599420675363e-18,2.87812071177273e-18,4.491051263155274e-22,2.58500048623712e-23,5.2336756101815624e-14,1.0196492204619947e-15,4.86247360835238e-16,5.102832072823903e-16,7.396227058657535e-14,3.34333034411042e-20,1.773043799958255e-21,ACBI1,9.26,36000.0,360,180,360,0,0.6551285568595507,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.2477279363735363,99.75227206362646,1.1050209209863249,1.1712046628701194,0.6267366838240362,-1.170363374259505e-17,3.3530111671613174e-18,9.131844230574237e-22,6.349586104617146e-23,5.227019056134027e-14,1.2260774974590586e-15,5.790309625968342e-16,6.137112433439426e-16,7.40568541641693e-14,6.856827113682633e-20,4.388198367031613e-21,ACBI1,9.26,36000.0,360,180,360,0,0.7906043210907697,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,0.504782601760752,99.49521739823925,1.3109351225884005,1.4061476751833029,2.9780744734798748,-2.37800594104061e-17,3.806509316654954e-18,1.8255769589481417e-21,1.5346580271160649e-22,5.2135493916677365e-14,1.4715450252149945e-15,6.869300042363219e-16,7.368213817960508e-16,7.41696824091748e-14,1.3952963261767367e-19,1.077583003019352e-20,ACBI1,9.26,36000.0,360,180,360,0,0.9540954763499939,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,1.019009634076994,98.980990365923,1.5466273029831665,1.6829760377008631,1.7680467397573563,-4.776168534297045e-17,4.096388438108327e-18,3.544512826217976e-21,3.6084780265369963e-22,5.186603895174366e-14,1.7602913284191326e-15,8.104327067631793e-16,8.818794437552524e-16,7.430322281819584e-14,2.8099386157971805e-19,2.618791054781703e-20,ACBI1,9.26,36000.0,360,180,360,0,1.151395399326447,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,2.0317818496007334,97.96821815039927,1.8090514747072801,2.0028567512829745,2.165267253967884,-9.434575369034753e-17,3.895047013572222e-18,6.5191383369061956e-21,8.067886284109889e-22,5.133534631080922e-14,2.092996089475424e-15,9.47942972746615e-16,1.0494969376722787e-15,7.44589546798132e-14,5.578086739131888e-19,6.273477429771835e-20,ACBI1,9.26,36000.0,360,180,360,0,1.3894954943731375,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,3.9826745551269056,96.0173254448731,2.086602419176065,2.35861402024335,7.036757007574201,-1.8173666397321421e-16,2.510827829588812e-18,1.0728624285588957e-20,1.6301848487492878e-21,5.0313078533113503e-14,2.4611797674183193e-15,1.093379667648258e-15,1.2359137466075154e-15,7.46354732016817e-14,1.0845244740578616e-18,1.4719164664911053e-19,ACBI1,9.26,36000.0,360,180,360,0,1.6768329368110073,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,7.618595095081247,92.38140490491875,2.3510999299270168,2.7246370218941816,10.759962289528403,-3.364298598659874e-16,-1.3490750084827013e-18,1.3309475996944573e-20,2.5792357656844422e-21,4.840785617017743e-14,2.836468933130031e-15,1.2319763632817568e-15,1.4277097994725511e-15,7.482465911947686e-14,2.0434562301379455e-18,3.3468553358448707e-19,ACBI1,9.26,36000.0,360,180,360,0,2.0235896477251565,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,14.057784471847171,85.94221552815283,2.5468794622075115,3.040935444126024,15.352185099832694,-5.836392314280375e-16,-9.591968724797535e-18,1.5106021139856962e-21,1.1706086761863503e-21,4.5033720936752084e-14,3.1540116844501034e-15,1.334564838196736e-15,1.5934501727220368e-15,7.500511537012252e-14,3.667408715981567e-18,7.248966853072058e-19,ACBI1,9.26,36000.0,360,180,360,0,2.442053094548651,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,24.577163439801524,75.42283656019848,2.585507789836648,3.1991523391367376,35.22766017774145,-9.089197068199453e-16,-2.3529354180041338e-17,-6.005182345537044e-20,-1.2569291203058097e-20,3.9521566357544e-14,3.298935214988043e-15,1.3548060818744037e-15,1.6763558257076505e-15,7.513438497544206e-14,6.102119641849827e-18,1.4557104010979497e-18,ACBI1,9.26,36000.0,360,180,360,0,2.9470517025518097,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,39.69789913435255,60.30210086564745,2.3727851920572633,3.0633300044671614,54.395564158043676,-1.1828655967972177e-15,-3.98725605454152e-17,-2.2457851260768904e-19,-6.155668220876553e-20,3.159830085359927e-14,3.1309512112295694e-15,1.243339440638006e-15,1.6051849223407928e-15,7.514963639065103e-14,9.063987531770314e-18,2.609950086905316e-18,ACBI1,9.26,36000.0,360,180,360,0,3.5564803062231287,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,57.54733803213464,42.45266196786536,1.8996603881910799,2.578915062895857,67.09671411080535,-1.1491565572433344e-15,-4.653368537805263e-17,-4.624515076657992e-19,-1.5614466423820822e-19,2.224519487116145e-14,2.600945281986395e-15,9.954220434121259e-16,1.351351492957429e-15,7.499874954907272e-14,1.1568436305910277e-17,4.0209095873429975e-18,ACBI1,9.26,36000.0,360,180,360,0,4.291934260128776,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,73.52922202106333,26.470777978936667,1.331965195328486,1.9178185150523825,79.03957232862507,-7.158239598670661e-16,-3.298384488017764e-17,-5.227838250008996e-19,-2.1361437867283534e-19,1.3870687660962814e-14,1.896800539692545e-15,6.979497623521266e-16,1.0049369018874486e-15,7.470632848174446e-14,1.269098664936377e-17,5.323988389701409e-18,ACBI1,9.26,36000.0,360,180,360,0,5.17947467923121,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,84.09230839790617,15.907691602093829,0.8887673928530407,1.3697989043328234,84.7072585992125,-2.6025882843247454e-16,-1.2702075383293325e-17,-2.7997169306676637e-19,-1.349800790668924e-19,8.335630399497167e-15,1.3178055565678281e-15,4.657141138549934e-16,7.177746258703995e-16,7.438951829354327e-14,1.2963043856896935e-17,6.562394061390385e-18,ACBI1,9.26,36000.0,360,180,360,0,6.25055192527397,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,90.02342551377629,9.976574486223713,0.6109254715501476,1.0178322086405995,90.05092635010982,-8.031100454649364e-17,-3.7162800407366475e-18,-7.879585180649658e-20,-3.967530877273669e-20,5.227725030781226e-15,9.429391546279626e-16,3.201249470922774e-16,5.333440773276742e-16,7.414582915024976e-14,1.3326495837412484e-17,8.14047141896327e-18,ACBI1,9.26,36000.0,360,180,360,0,7.543120063354615,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,93.4928010132717,6.507198986728299,0.43106737638083353,0.7842082761452589,93.8414792355502,-3.87494902875863e-17,-1.7609665792625315e-18,-2.9179201695909305e-20,-1.0739782535936058e-20,3.4097722690456288e-15,6.911906917749903e-16,2.258793052235568e-16,4.1092513670011564e-16,7.398185423987721e-14,1.3716034064952921e-17,1.0110017133526919e-17,ACBI1,9.26,36000.0,360,180,360,0,9.102981779915218,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,95.62171117079322,4.3782888292067765,0.3096347152556476,0.6210859915099113,95.81743828237681,-2.298835739596168e-17,-1.0859824619119392e-18,-1.6552618819588147e-20,-1.2409572887961218e-21,2.294223346504351e-15,5.135821824785187e-16,1.6224859079395937e-16,3.2544905955119353e-16,7.387189541389682e-14,1.3982127840959846e-17,1.2436642255711641e-17,ACBI1,9.26,36000.0,360,180,360,0,10.985411419875584,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,96.94827484676912,3.0517251532308816,0.22742130846582412,0.5074393899809764,96.1866063462442,-1.4464743701378843e-17,-7.140756337976939e-19,-1.0289992029863372e-20,5.606619174653019e-21,1.5991039802929821e-15,3.877129624649535e-16,1.1916876563609185e-16,2.6589824035003165e-16,7.379713267332509e-14,1.4151539849089173e-17,1.5189725045371193e-17,ACBI1,9.26,36000.0,360,180,360,0,13.257113655901081,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,97.78883481874693,2.211165181253065,0.17149564329477815,0.42889521536675435,98.0437823961595,-9.50416251418558e-18,-4.881344956856356e-19,-6.71787420876603e-21,1.1696524393496528e-20,1.158650554976606e-15,2.980356348942183e-16,8.986371708646376e-17,2.247410928521793e-16,7.374599303782279e-14,1.4260108630601432e-17,1.8471023701524767e-17,ACBI1,9.26,36000.0,360,180,360,0,15.998587196060573,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,98.33220163334602,1.6677983666539866,0.13306302777400097,0.37530283053510827,98.56512501474967,-6.491049860388875e-18,-3.440655789927241e-19,-4.57079137654872e-21,1.7717648217857753e-20,8.739263441266889e-16,2.3349358663871547e-16,6.972502655357651e-17,1.9665868320039675e-16,7.371110897240176e-14,1.4330828931799222e-17,2.2400863795247157e-17,ACBI1,9.26,36000.0,360,180,360,0,19.306977288832496,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,98.69059559700106,1.3094044029989391,0.10629299114142075,0.3397463471510399,98.58795216333435,-4.594778746093412e-18,-2.490144814092839e-19,-3.2282907579290454e-21,2.4117269880593067e-20,6.861279071714442e-16,1.864470338541656e-16,5.569752735810448e-17,1.7802708590714492e-16,7.368771767608892e-14,1.437772774452486e-17,2.7121344964253328e-17,ACBI1,9.26,36000.0,360,180,360,0,23.29951810515372,2.49e-11,0.1,5.240000000000001e-15
12.0,0.001,0.0,98.93108598683023,1.0689140131697745,0.0873603560357166,0.31763297843594995,98.90220044502315,-3.3623254391125457e-18,-1.8458641303042964e-19,-2.3596562297698254e-21,3.125202527641873e-20,5.601109429009619e-16,1.5167990595677826e-16,4.57768265627155e-17,1.664396807004378e-16,7.367273434981241e-14,1.4409308975413932e-17,3.280145449777212e-17,ACBI1,9.26,36000.0,360,180,360,0,28.11768697974228,2.49e-11,0.1,5.240000000000001e-15
