,t,degradation,Ternary,all_Ternary,Dmax,PROTAC
62,6.2259414225941425,68.88574560973436,1.4236315639191257,1.776502514487448,76.50407702424968,PROTAC 1
63,6.326359832635983,68.47015510774787,1.4150325522680731,1.7657713481805237,76.50407702424968,PROTAC 1
64,6.426778242677824,68.0570769049566,1.4064856452617098,1.7551052150119126,76.50407702424968,PROTAC 1
65,6.527196652719665,67.64649569019126,1.3979905238761425,1.7445037166919555,76.50407702424968,PROTAC 1
66,6.627615062761506,67.23839641188636,1.3895468744981778,1.7339664616861699,76.50407702424968,PROTAC 1
67,6.7280334728033475,66.83276390765668,1.381154381242803,1.7234930556265076,76.50407702424968,PROTAC 1
68,6.828451882845188,66.42958326922695,1.3728127335209088,1.7130831107567561,76.50407702424968,PROTAC 1
69,6.928870292887029,66.02883959818993,1.3645216209737834,1.7027362396101566,76.50407702424968,PROTAC 1
70,7.02928870292887,65.63051808940116,1.3562807352022204,1.692452057167509,76.50407702424968,PROTAC 1
71,7.129707112970711,65.2346041042281,1.3480897712850035,1.6822301827523818,76.50407702424968,PROTAC 1
72,7.2301255230125525,64.84108295787807,1.3399484233686398,1.6720702345265854,76.50407702424968,PROTAC 1
73,7.330543933054393,64.44994021465646,1.331856390789309,1.6619718371310082,76.50407702424968,PROTAC 1
74,7.430962343096234,64.06116138271148,1.3238133717430478,1.6519346137852966,76.50407702424968,PROTAC 1
75,7.531380753138075,63.674732146916746,1.3158190681141526,1.6419581923141955,76.50407702424968,PROTAC 1
76,7.631799163179916,63.29063826781434,1.3078731833794492,1.6320422025318237,76.50407702424968,PROTAC 1
77,7.7322175732217575,62.90886552934337,1.299975421524299,1.6221862748887248,76.50407702424968,PROTAC 1
78,7.832635983263598,62.529399940421925,1.292125491221507,1.6123900456875284,76.50407702424968,PROTAC 1
79,7.933054393305439,62.15222741663339,1.28432309923172,1.6026531488459808,76.50407702424968,PROTAC 1
80,8.03347280334728,61.77733411258492,1.2765679572934676,1.5929752244963569,76.50407702424968,PROTAC 1
81,8.133891213389122,61.404706177024934,1.2688597770460839,1.5833559126487595,76.50407702424968,PROTAC 1
82,8.234309623430962,61.03432986406124,1.2611982723350923,1.5737948560684345,76.50407702424968,PROTAC 1
83,8.334728033472803,60.66619156376938,1.2535831598463154,1.5642917010671706,76.50407702424968,PROTAC 1
84,8.435146443514645,60.30027763716683,1.2460141556847448,1.5548460932334036,76.50407702424968,PROTAC 1
