,t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,alpha
0,6.0,0.1,0.0,37.02541719364935,1.2610839103821396,1.8289028787886357,63.550310248067,PROTAC 1,0.1,0.1
0,6.0,0.1,0.0,23.216123166608803,0.8715387725621013,1.3353045194710054,76.9256339066566,PROTAC 1,0.1,0.11775020130253673
0,6.0,0.1,0.0,13.830491436923117,0.5679150422925531,0.9239829940399886,85.42265106711618,PROTAC 1,0.1,0.13865109906787929
0,6.0,0.1,0.0,8.659662688374233,0.38598396228920534,0.6699245671960002,89.74921154990628,PROTAC 1,0.1,0.16326194826060753
0,6.0,0.1,0.0,5.909549895492903,0.28376107572707265,0.5273828705343541,92.2812465835603,PROTAC 1,0.1,0.19224127272730873
0,6.0,0.1,0.0,4.242902194341946,0.21789361013761416,0.43477554849776945,94.00158145313196,PROTAC 1,0.1,0.22636448562296468
0,6.0,0.1,0.0,3.1327081209886374,0.17091855228266095,0.3665675527849268,95.34521147893177,PROTAC 1,0.1,0.26654463749849283
0,6.0,0.1,0.0,2.37123955613865,0.13662951561378664,0.3148386142114962,95.90714424721529,PROTAC 1,0.1,0.3138568472155922
0,6.0,0.1,0.0,1.840498421271212,0.11141448653660092,0.27533818412420696,95.0698001615708,PROTAC 1,0.1,0.369567069398155
0,6.0,0.1,0.0,1.4644234512445662,0.09271669292891106,0.24497084548950718,96.17642273655257,PROTAC 1,0.1,0.4351659681642131
0,6.0,0.1,0.0,1.193316135749568,0.07871358790284937,0.2214382152291623,96.5823726550546,PROTAC 1,0.1,0.5124088035134939
0,6.0,0.1,0.0,0.9944893187525927,0.06811305528359067,0.20304518238346952,96.97464178978446,PROTAC 1,0.1,0.6033623976290593
0,6.0,0.1,0.0,0.8462337230799569,0.05999960172402652,0.18854453695969642,93.8153967877416,PROTAC 1,0.1,0.7104604377920294
0,6.0,0.1,0.0,0.7339506738843202,0.053722240061746855,0.17701666158127763,95.83722206346367,PROTAC 1,0.1,0.8365685956749984
0,6.0,0.1,0.0,0.6476829430640612,0.04881503053492063,0.1677798831164833,97.21315318450856,PROTAC 1,0.1,0.9850612054411155
0,6.0,0.1,0.0,0.5805353341211194,0.044941640338256,0.16032518510992094,96.28385928202673,PROTAC 1,0.1,1.1599115523601087
0,6.0,0.1,0.0,0.5276580998716598,0.041856925323867034,0.15426921004289815,98.75551675244974,PROTAC 1,0.1,1.3657981878354069
0,6.0,0.1,0.0,0.48558659745244603,0.03938033630405831,0.14932057006119956,95.37785734166113,PROTAC 1,0.1,1.6082301155625904
0,6.0,0.1,0.0,0.45180756654987786,0.03737746100176445,0.14525568408790424,97.20320133731177,PROTAC 1,0.1,1.8936941984829694
0,6.0,0.1,0.0,0.42447074233101295,0.035747146285421666,0.14190138376034592,97.4928952270297,PROTAC 1,0.1,2.229828730768157
0,6.0,0.1,0.0,0.40219460696342507,0.03441245203717656,0.1391223201441338,840.310836194439,PROTAC 1,0.1,2.6256278191813047
0,6.0,0.1,0.0,0.3839338031840485,0.03331424592362413,0.1368117814110091,98.34323324347538,PROTAC 1,0.1,3.091682042541392
0,6.0,0.1,0.0,0.36888741956563553,0.03240662854600638,0.1348849439949837,98.14789857893406,PROTAC 1,0.1,3.64046182872687
0,6.0,0.1,0.0,0.35643470011963463,0.03165363582521714,0.13327386973571934,98.26675868679425,PROTAC 1,0.1,4.2866511316679
0,6.0,0.1,0.0,0.3460893838393615,0.031026839414871766,0.13192376420126714,98.23014776394918,PROTAC 1,0.1,5.047540336676421
0,6.0,0.1,0.0,0.33746685675566346,0.03050358366408384,0.1307901528123854,98.56215823882326,PROTAC 1,0.1,5.943488907263226
0,6.0,0.1,0.0,0.33026022362293983,0.0300656776252575,0.12983673021085537,98.17194504383355,PROTAC 1,0.1,6.99847015269639
0,6.0,0.1,0.0,0.3242226640234934,0.02969841520276854,0.12903370758773042,33.77975686832424,PROTAC 1,0.1,8.240712692897953
0,6.0,0.1,0.0,0.31915426859836243,0.029389834038300706,0.12835653146925147,91.7667923298615,PROTAC 1,0.1,9.703455784651036
0,6.0,0.1,0.0,0.31489210612314467,0.029130149652566467,0.12778488199540292,95.3491978782151,PROTAC 1,0.1,11.42583871972924
0,6.0,0.1,0.0,0.3113026468914178,0.028911319408851492,0.12730188332450734,98.73616842362229,PROTAC 1,0.1,13.453948092984373
0,6.0,0.1,0.0,0.30827592359217737,0.028726703515318756,0.12689347642886378,98.92267608171232,PROTAC 1,0.1,15.842050962627892
0,6.0,0.1,0.0,0.3057209871870353,0.02857079921728085,0.12654791726877346,98.25166984006272,PROTAC 1,0.1,18.654046898944813
0,6.0,0.1,0.0,0.30356233809530264,0.028439030686345134,0.12625537257585384,98.93306123020785,PROTAC 1,0.1,21.96517777457714
0,6.0,0.1,0.0,0.30173709936824245,0.028327581668075058,0.12600759224025765,98.52384284206359,PROTAC 1,0.1,25.864041046024628
0,6.0,0.1,0.0,0.3001927598692705,0.028233261238291077,0.12579764228169987,99.15948038588658,PROTAC 1,0.1,30.45496039666474
0,6.0,0.1,0.0,0.29888535944325,0.028153395410101114,0.1256196860859522,98.60420179340957,PROTAC 1,0.1,35.86077717368055
0,6.0,0.1,0.0,0.2977780198655982,0.0280857390868603,0.1254688043581397,98.55410726564583,PROTAC 1,0.1,42.22613731066302
0,6.0,0.1,0.0,0.29683974858299533,0.028028404150927486,0.12534084633238782,96.76432216310957,PROTAC 1,0.1,49.721361685591305
0,6.0,0.1,0.0,0.2960444593634067,0.027979800441533226,0.12523230636402563,98.98125536140165,PROTAC 1,0.1,58.5470034751461
0,6.0,0.1,0.0,0.2953701666865754,0.02793858709777971,0.1251402212457154,98.8305892787213,PROTAC 1,0.1,68.93921444858775
0,6.0,0.1,0.0,0.29479832023922237,0.02790363228903559,0.125062084526671,99.18293349377653,PROTAC 1,0.1,81.17606378959961
0,6.0,0.1,0.0,0.29431325309010997,0.027873979771218797,0.1249957748435517,99.16267846645235,PROTAC 1,0.1,95.58497852172911
0,6.0,0.1,0.0,0.29390172262209224,0.027848821027139613,0.12493949584328973,99.20149341621544,PROTAC 1,0.1,112.55150462432259
0,6.0,0.1,0.0,0.2935525275318922,0.02782747199649016,0.12489172572942471,1299.6220900913452,PROTAC 1,0.1,132.52962326417386
0,6.0,0.1,0.0,0.29325618749364185,0.02780935359404074,0.1248511748223273,99.23433188888752,PROTAC 1,0.1,156.0538981790582
0,6.0,0.1,0.0,0.2930046746517534,0.027793975366328633,0.12481674981099015,99.23477995211479,PROTAC 1,0.1,183.75377924629683
0,6.0,0.1,0.0,0.29279118813447697,0.027780921757160192,0.12478752360539594,99.23453940968497,PROTAC 1,0.1,216.3704449635334
0,6.0,0.1,0.0,0.2926099643883287,0.027769840548014457,0.12476270988600374,99.1444299763078,PROTAC 1,0.1,254.77663450375516
0,6.0,0.1,0.0,0.29245611742015254,0.027760433116235838,0.1247416415996685,99.12687770611956,PROTAC 1,0.1,300.0
0,6.0,0.1,0.0,99.9398104689036,0.7357722271877782,0.7733252315441519,0.17054150058120054,PROTAC 1,1.0,0.1
0,6.0,0.1,0.0,99.8870156287656,0.8571908172496024,0.9088479221454556,0.28797939514636495,PROTAC 1,1.0,0.11775020130253673
0,6.0,0.1,0.0,99.78886040388801,0.9964392427258998,1.067373756267177,0.4022321668491924,PROTAC 1,1.0,0.13865109906787929
0,6.0,0.1,0.0,99.60758401653548,1.1549666154128235,1.2521436256881193,0.5259840940582738,PROTAC 1,1.0,0.16326194826060753
0,6.0,0.1,0.0,99.27558051472832,1.3334811983702923,1.466169671576991,0.9892367171942307,PROTAC 1,1.0,0.19224127272730873
0,6.0,0.1,0.0,98.6739937607123,1.5310962655760463,1.7113969517283227,1.5421002852396781,PROTAC 1,1.0,0.22636448562296468
0,6.0,0.1,0.0,97.59916326424502,1.743785722870283,1.9869843133520186,2.690754499932879,PROTAC 1,1.0,0.26654463749849283
0,6.0,0.1,0.0,95.71510947511973,1.961752405536556,2.2860391603056254,4.685571362263041,PROTAC 1,1.0,0.3138568472155922
0,6.0,0.1,0.0,92.49940116019938,2.165404735541994,2.5900131651842746,8.116270353088172,PROTAC 1,1.0,0.369567069398155
0,6.0,0.1,0.0,87.21609702002858,2.3204792691597325,2.8606310404385846,14.841113747967938,PROTAC 1,1.0,0.4351659681642131
0,6.0,0.1,0.0,79.00380179086801,2.375519952842846,3.032338853964566,23.150550099822254,PROTAC 1,1.0,0.5124088035134939
0,6.0,0.1,0.0,67.23111746936833,2.270157398212679,3.015973286779427,34.73439773946295,PROTAC 1,1.0,0.6033623976290593
0,6.0,0.1,0.0,52.21795683158452,1.9662427155479227,2.7336853680247764,50.097385704086086,PROTAC 1,1.0,0.7104604377920294
0,6.0,0.1,0.0,35.97733346225341,1.4993169201130714,2.1939967650542274,65.7137421931192,PROTAC 1,1.0,0.8365685956749984
0,6.0,0.1,0.0,21.86791160039365,1.000637293369385,1.5500049087188554,78.64823555308331,PROTAC 1,1.0,0.9850612054411155
0,6.0,0.1,0.0,12.429640867070031,0.619496015699266,1.0212200106456344,87.08893624308315,PROTAC 1,1.0,1.1599115523601087
0,6.0,0.1,0.0,7.43180851938941,0.40024053060889725,0.7053874439405222,92.08331104628147,PROTAC 1,1.0,1.3657981878354069
0,6.0,0.1,0.0,4.932065770094577,0.2847862368146367,0.5386119365281735,94.04271215439238,PROTAC 1,1.0,1.6082301155625904
0,6.0,0.1,0.0,3.49312482127362,0.21468216246951816,0.43679192139118106,95.48214300020537,PROTAC 1,1.0,1.8936941984829694
0,6.0,0.1,0.0,2.5626414086431146,0.16654497036130317,0.36483567331418726,96.68487876004238,PROTAC 1,1.0,2.229828730768157
0,6.0,0.1,0.0,1.9355565400344876,0.13227310198920694,0.3117232969275891,97.3817691758376,PROTAC 1,1.0,2.6256278191813047
0,6.0,0.1,0.0,1.5030975937435374,0.10750407060275649,0.2719140189014443,97.22929620187148,PROTAC 1,1.0,3.091682042541392
0,6.0,0.1,0.0,1.198524327019703,0.08936322181370938,0.2417055629602507,97.85761439456871,PROTAC 1,1.0,3.64046182872687
0,6.0,0.1,0.0,0.9796415974909634,0.07590000057799842,0.21851305029625645,97.59088444381577,PROTAC 1,1.0,4.2866511316679
0,6.0,0.1,0.0,0.8192976867808833,0.06577725991842709,0.2005083678328792,98.02740681233857,PROTAC 1,1.0,5.047540336676421
0,6.0,0.1,0.0,0.6997197300132478,0.05806965558661241,0.1863850488596507,98.75786419787698,PROTAC 1,1.0,5.943488907263226
0,6.0,0.1,0.0,0.6090699005911757,0.052130296848858955,0.1751995478093976,98.21951080645988,PROTAC 1,1.0,6.99847015269639
0,6.0,0.1,0.0,0.5393234194450893,0.047502000994443384,0.1662629512410494,97.55006354544955,PROTAC 1,1.0,8.240712692897953
0,6.0,0.1,0.0,0.48494383863943913,0.04385793442388564,0.15906660524005184,98.378068081518,PROTAC 1,1.0,9.703455784651036
0,6.0,0.1,0.0,0.44204470656041006,0.040961673210803615,0.15323069735863443,98.5888590981977,PROTAC 1,1.0,11.42583871972924
0,6.0,0.1,0.0,0.40785145000147893,0.03864013872161588,0.14846844390599565,98.61275021004997,PROTAC 1,1.0,13.453948092984373
0,6.0,0.1,0.0,0.380350884905455,0.03676510879874846,0.14456094000157282,97.64678963311883,PROTAC 1,1.0,15.842050962627892
0,6.0,0.1,0.0,0.35805953407449026,0.03524047479806197,0.14133933966673234,97.65229829197138,PROTAC 1,1.0,18.654046898944813
0,6.0,0.1,0.0,0.33986819584953465,0.03399337561504586,0.1386721104312305,98.96277697783134,PROTAC 1,1.0,21.96517777457714
0,6.0,0.1,0.0,0.3249361265274812,0.032967968266523436,0.13645582837245293,99.07421694897415,PROTAC 1,1.0,25.864041046024628
0,6.0,0.1,0.0,0.31261795147053534,0.032121006635602106,0.1346084638843548,98.16177738630057,PROTAC 1,1.0,30.45496039666474
0,6.0,0.1,0.0,0.30241246309506725,0.03141867126625101,0.13306443498871146,99.43811055827267,PROTAC 1,1.0,35.86077717368055
0,6.0,0.1,0.0,0.29392625371166653,0.030834272664509884,0.13177092625002013,99.06535099403008,PROTAC 1,1.0,42.22613731066302
0,6.0,0.1,0.0,0.2868475369438027,0.030346570184413918,0.13068512218992004,98.91887589991826,PROTAC 1,1.0,49.721361685591305
0,6.0,0.1,0.0,0.28092705748926394,0.029938528822888232,0.1297721076188957,98.80228749648727,PROTAC 1,1.0,58.5470034751461
0,6.0,0.1,0.0,0.275963994756185,0.02959639048343542,0.12900325886016695,98.73283116610105,PROTAC 1,1.0,68.93921444858775
0,6.0,0.1,0.0,0.2717954281457827,0.029308973209779213,0.12835499966856748,98.99178598284949,PROTAC 1,1.0,81.17606378959961
0,6.0,0.1,0.0,0.2682883729868274,0.02906713725241473,0.1278078306058749,98.71398522306023,PROTAC 1,1.0,95.58497852172911
0,6.0,0.1,0.0,0.2653336935152628,0.028863374382527025,0.12734556534750113,98.52806164866439,PROTAC 1,1.0,112.55150462432259
0,6.0,0.1,0.0,0.2628414019855716,0.028691489111558728,0.1269547249999892,97.37120547166185,PROTAC 1,1.0,132.52962326417386
0,6.0,0.1,0.0,0.2607369926575532,0.028546349084102855,0.1266240541456824,98.89792068308121,PROTAC 1,1.0,156.0538981790582
0,6.0,0.1,0.0,0.25895855664321377,0.028423688013582332,0.1263441314719231,99.4881165919477,PROTAC 1,1.0,183.75377924629683
0,6.0,0.1,0.0,0.2574544919993939,0.028319948888838344,0.12610705450561188,99.49576428126664,PROTAC 1,1.0,216.3704449635334
0,6.0,0.1,0.0,0.2561816720454087,0.028232158317633777,0.12590618286928587,98.63916441033473,PROTAC 1,1.0,254.77663450375516
0,6.0,0.1,0.0,0.2551039697426299,0.02815782514984192,0.12573592809956213,99.18663869818687,PROTAC 1,1.0,300.0
0,6.0,0.1,0.0,99.99999255389336,0.08155893968970805,0.0819791834966514,0.01483708885813284,PROTAC 1,10.0,0.1
0,6.0,0.1,0.0,99.99998533334998,0.09593381512746962,0.09651603721960625,0.012823481144075277,PROTAC 1,10.0,0.11775020130253673
0,6.0,0.1,0.0,99.99997227331514,0.1128215925649543,0.1136281204985104,0.018041301656135378,PROTAC 1,10.0,0.13865109906787929
0,6.0,0.1,0.0,99.99994733397291,0.1326529425884913,0.13377001341619388,0.024935743921972175,PROTAC 1,10.0,0.16326194826060753
0,6.0,0.1,0.0,99.99989969023896,0.1559296656722314,0.15747655881371042,0.00036284521146567883,PROTAC 1,10.0,0.19224127272730873
0,6.0,0.1,0.0,99.99980868313453,0.18323475070173986,0.18537637750588365,0.0007192884683426826,PROTAC 1,10.0,0.22636448562296468
0,6.0,0.1,0.0,99.99963493516243,0.2152437991872461,0.2182080444972409,0.11822744368299443,PROTAC 1,10.0,0.26654463749849283
0,6.0,0.1,0.0,99.99930350198456,0.25273734541815146,0.25683892619353904,0.157868714436038,PROTAC 1,10.0,0.3138568472155922
0,6.0,0.1,0.0,99.99867200247495,0.2966137906431635,0.3022870334235654,0.20523181911598076,PROTAC 1,10.0,0.369567069398155
0,6.0,0.1,0.0,99.99747051388105,0.3479024262278347,0.35574621822968755,0.2805179476786823,PROTAC 1,10.0,0.4351659681642131
0,6.0,0.1,0.0,99.9951886239825,0.4077756224962729,0.4186149227949155,0.43476826078934216,PROTAC 1,10.0,0.5124088035134939
0,6.0,0.1,0.0,99.99086409491665,0.4775585874200376,0.4925283638509598,0.551976910700791,PROTAC 1,10.0,0.6033623976290593
0,6.0,0.1,0.0,99.98268949417685,0.5587339212570753,0.5793932652951822,0.47395714500121366,PROTAC 1,10.0,0.7104604377920294
0,6.0,0.1,0.0,99.9672846635361,0.6529360545011443,0.6814225284612979,0.4633988767028807,PROTAC 1,10.0,0.8365685956749984
0,6.0,0.1,0.0,99.93836177092538,0.7619266612769292,0.8011634967711759,0.46831984138611116,PROTAC 1,10.0,0.9850612054411155
0,6.0,0.1,0.0,99.88430018524829,0.8875345519585015,0.9415055675550281,0.45066205666138837,PROTAC 1,10.0,1.1599115523601087
0,6.0,0.1,0.0,99.783797636968,1.031529107901372,1.1056365255866536,0.6153943291070108,PROTAC 1,10.0,1.3657981878354069
0,6.0,0.1,0.0,99.59820627564275,1.1953692585115272,1.2968839108646766,0.8888980673223745,PROTAC 1,10.0,1.6082301155625904
0,6.0,0.1,0.0,99.25835288713174,1.379721176398942,1.5183134127674038,1.421152593496211,PROTAC 1,10.0,1.8936941984829694
0,6.0,0.1,0.0,98.64268361283554,1.5835561502569588,1.7718382581329204,2.3449437883445334,PROTAC 1,10.0,2.229828730768157
0,6.0,0.1,0.0,97.54307572947275,1.8025231756958,2.0563985574669834,3.7257544080801286,PROTAC 1,10.0,2.6256278191813047
0,6.0,0.1,0.0,95.6166330712131,2.026185193951346,2.3645142947796796,6.056821439730797,PROTAC 1,10.0,3.091682042541392
0,6.0,0.1,0.0,92.33138138128018,2.2338198491693726,2.676396686626517,9.48273214547497,PROTAC 1,10.0,3.64046182872687
0,6.0,0.1,0.0,86.94112922298342,2.38940346029612,2.9515454918319106,15.391018936572088,PROTAC 1,10.0,4.2866511316679
0,6.0,0.1,0.0,78.58053506788704,2.439255038450059,3.121122274805379,23.560720974408078,PROTAC 1,10.0,5.047540336676421
0,6.0,0.1,0.0,66.63528083082294,2.3212959054233977,3.0925641030695106,36.06226760168122,PROTAC 1,10.0,5.943488907263226
0,6.0,0.1,0.0,51.47948597776342,1.9982997951674824,2.7873663121866485,51.16167470890076,PROTAC 1,10.0,6.99847015269639
0,6.0,0.1,0.0,35.20683428641128,1.5112291539317766,2.2198337063715465,66.21070328794355,PROTAC 1,10.0,8.240712692897953
0,6.0,0.1,0.0,21.21556451921421,0.9989857970179313,1.5541805357453662,79.12757228456037,PROTAC 1,10.0,9.703455784651036
0,6.0,0.1,0.0,11.976297386916567,0.6136369054058799,1.0165166856567796,87.60304971570841,PROTAC 1,10.0,11.42583871972924
0,6.0,0.1,0.0,7.143566587189063,0.3951048904736579,0.7001031704581223,91.8805248206137,PROTAC 1,10.0,13.453948092984373
0,6.0,0.1,0.0,4.740181736014509,0.28081152579713636,0.5342086530123357,94.39831394068497,PROTAC 1,10.0,15.842050962627892
0,6.0,0.1,0.0,3.3576415682087792,0.2115037299946271,0.4330040496444228,96.1031723806025,PROTAC 1,10.0,18.654046898944813
0,6.0,0.1,0.0,2.4647270966284647,0.16402749989965681,0.36164320821324564,96.16654499065883,PROTAC 1,10.0,21.96517777457714
0,6.0,0.1,0.0,1.8636250797518825,0.13030879695749933,0.3091085099912973,97.7466818192861,PROTAC 1,10.0,25.864041046024628
0,6.0,0.1,0.0,1.4492293525444837,0.10597918155703347,0.2698026837596033,97.76077642765686,PROTAC 1,10.0,30.45496039666474
0,6.0,0.1,0.0,1.157316275007415,0.08817779312902083,0.24000925660617256,98.11677049162189,PROTAC 1,10.0,35.86077717368055
0,6.0,0.1,0.0,0.9474154425282504,0.07497401012147321,0.2171503909717445,98.55506470856284,PROTAC 1,10.0,42.22613731066302
0,6.0,0.1,0.0,0.7935358361627377,0.06504923560580904,0.1994111990745256,98.1887299730682,PROTAC 1,10.0,49.721361685591305
0,6.0,0.1,0.0,0.6786815533974169,0.05749320771198664,0.18549861149144292,97.73483834237953,PROTAC 1,10.0,58.5470034751461
0,6.0,0.1,0.0,0.5915364545108507,0.051670620368443436,0.17448065851250233,97.41199318345784,PROTAC 1,10.0,68.93921444858775
