,t,degradation,Ternary,all_Ternary,alpha,Kd_T_binary
0,24,8.533089197910328,0.27613043418835026,0.6133007779743008,0.1,0.008539999999999999
0,24,6.363003063332616,0.21763444021861622,0.5186449006886767,0.11775020130253673,0.008539999999999999
0,24,4.868980268757168,0.17475695447966108,0.44614221732212406,0.13865109906787929,0.008539999999999999
0,24,3.8176619824762628,0.14288991676317267,0.3900181006898255,0.16326194826060753,0.008539999999999999
0,24,3.070319332918867,0.11912536405860233,0.3465533421238493,0.19224127272730873,0.008539999999999999
0,24,2.525100001090832,0.10104598443032896,0.3123109285390213,0.22636448562296468,0.008539999999999999
0,24,2.1264563848383267,0.08733291494506686,0.2854907046184448,0.26654463749849283,0.008539999999999999
0,24,1.8323691935526827,0.07689270375643022,0.2644712904424534,0.3138568472155922,0.008539999999999999
0,24,1.6091265564915969,0.06874918756630356,0.24764432449234866,0.369567069398155,0.008539999999999999
0,24,1.4348379202287769,0.062239965363320465,0.2338751286885119,0.4351659681642131,0.008539999999999999
0,24,1.300566029433298,0.05712226303063822,0.22282005792025067,0.5124088035134939,0.008539999999999999
0,24,1.1962256766066068,0.05307609240321183,0.21391783897984476,0.6033623976290593,0.008539999999999999
0,24,1.109603477759331,0.04966540031495336,0.2062900092212949,0.7104604377920294,0.008539999999999999
0,24,1.0441290764812408,0.04705449794093997,0.20036686385532357,0.8365685956749984,0.008539999999999999
0,24,0.9888364574011356,0.04482560740459779,0.19524779173485718,0.9850612054411155,0.008539999999999999
0,24,0.9446665214350419,0.04302817825647959,0.1910746446944997,1.1599115523601087,0.008539999999999999
0,24,0.9079557424191778,0.04152255624823328,0.18754613042991566,1.3657981878354069,0.008539999999999999
0,24,0.8780855596909076,0.04028909968323576,0.18463192775371023,1.6082301155625904,0.008539999999999999
0,24,0.8533262924331332,0.039260758668207836,0.1821854006916576,1.8936941984829694,0.008539999999999999
0,24,0.8326306318632987,0.038396957949678755,0.18011796601912153,2.229828730768157,0.008539999999999999
0,24,0.81530140480122,0.03767058819684215,0.17837042911759587,2.6256278191813047,0.008539999999999999
0,24,0.8010577467554567,0.037071427317219845,0.17692255093507003,3.091682042541392,0.008539999999999999
0,24,0.7891981833754141,0.03657107068812224,0.17570890321251928,3.64046182872687,0.008539999999999999
0,24,0.7789594719337621,0.03613795639038335,0.17465495699333994,4.2866511316679,0.008539999999999999
0,24,0.7705147411641099,0.03577992651914343,0.1737812990256464,5.047540336676421,0.008539999999999999
0,24,0.7634799416040501,0.03548120942961848,0.17305067356595355,5.943488907263226,0.008539999999999999
0,24,0.757497163929813,0.03522663263705474,0.17242676881116661,6.99847015269639,0.008539999999999999
0,24,0.7524294242553903,0.03501083701398292,0.17189700785065,8.240712692897953,0.008539999999999999
0,24,0.7480814775490628,0.03482538065422966,0.1714410580107702,9.703455784651036,0.008539999999999999
0,24,0.7445163135521159,0.03467316969744708,0.17106637852166565,11.42583871972924,0.008539999999999999
0,24,0.7414090193590218,0.034540446634960226,0.17073932695033553,13.453948092984373,0.008539999999999999
0,24,0.7387998775920003,0.03442889776938591,0.1704642022854595,15.842050962627892,0.008539999999999999
0,24,0.7366081979504553,0.03433514403474415,0.17023279071532202,18.654046898944813,0.008539999999999999
0,24,0.7347557234837659,0.03425585490701956,0.1700369552392909,21.96517777457714,0.008539999999999999
0,24,0.7331755540471451,0.03418819758700059,0.1698697570714876,25.864041046024628,0.008539999999999999
0,24,0.7318343658162512,0.03413074342678936,0.16972770651558905,30.45496039666474,0.008539999999999999
0,24,0.7306984836499351,0.03408207824403615,0.16960733804609593,35.86077717368055,0.008539999999999999
0,24,0.7297353431983291,0.034040798940489225,0.16950520307347894,42.22613731066302,0.008539999999999999
0,24,0.728912064942996,0.03400551155228325,0.16941786839206258,49.721361685591305,0.008539999999999999
0,24,0.7282284362152412,0.03397620231539409,0.16934531159327332,58.5470034751461,0.008539999999999999
0,24,0.7276415112388791,0.033951029549342954,0.16928298190949798,68.93921444858775,0.008539999999999999
0,24,0.7271508961062061,0.03392998655429183,0.169230868762544,81.17606378959961,0.008539999999999999
0,24,0.7267201878613768,0.03391151327720731,0.1691851127311954,95.58497852172911,0.008539999999999999
0,24,0.7263610810468512,0.03389610931742425,0.16914695410990915,112.55150462432259,0.008539999999999999
0,24,0.7260564732603063,0.03388304056193403,0.16911457671592042,132.52962326417386,0.008539999999999999
0,24,0.7257966722018949,0.03387189393965795,0.16908695881075414,156.0538981790582,0.008539999999999999
0,24,0.7255773861442362,0.033862485377367045,0.16906364546942257,183.75377924629683,0.008539999999999999
0,24,0.7253911566938831,0.0338544941782964,0.16904384287098628,216.3704449635334,0.008539999999999999
0,24,0.7252336940532405,0.033847736993067465,0.1690270972803757,254.77663450375516,0.008539999999999999
0,24,0.7250985909339425,0.03384193939376861,0.16901272904557157,300.0,0.008539999999999999
