,t,degradation,Ternary,all_Ternary,PROTAC
0,0.0,100.0,0.0,0.0,PROTAC 1
1,0.9473684210526315,99.98970236378072,0.8327629590186165,0.9225482848048654,PROTAC 1
2,1.894736842105263,99.96202787331426,1.526221380050987,1.690806436673143,PROTAC 1
3,2.8421052631578947,99.922441547354,2.0375459518774584,2.257287909071138,PROTAC 1
4,3.789473684210526,99.87650045996979,2.3655142855558897,2.62063609175167,PROTAC 1
5,4.7368421052631575,99.82863196383005,2.558640510900952,2.834596308532521,PROTAC 1
6,5.684210526315789,99.78153946566222,2.6716733102133583,2.959822707222284,PROTAC 1
7,6.63157894736842,99.73659402606494,2.7402511779359418,3.035798400662435,PROTAC 1
8,7.578947368421052,99.69440460736881,2.7837164119364157,3.083952363231275,PROTAC 1
9,8.526315789473683,99.65518494652366,2.812335870306601,3.1156590499508123,PROTAC 1
10,9.473684210526315,99.61894643947495,2.831751810706381,3.1371693989975538,PROTAC 1
11,10.421052631578947,99.58559662416305,2.8452201613245394,3.1520905777340067,PROTAC 1
12,11.368421052631579,99.55499070455359,2.8547120945099085,3.1626063985553725,PROTAC 1
13,12.31578947368421,99.52695947034061,2.8614728491433863,3.1700964283296424,PROTAC 1
14,13.26315789473684,99.50132489785184,2.866318056556901,3.175464282079766,PROTAC 1
15,14.210526315789473,99.47790902865258,2.8697982583495665,3.1793198887407654,PROTAC 1
16,15.157894736842104,99.45653904019387,2.8722942950210943,3.1820851700129325,PROTAC 1
17,16.105263157894736,99.4370500835493,2.8740748607080366,3.18405780382717,PROTAC 1
18,17.052631578947366,99.41928677082392,2.8753325051051406,3.1854511099297613,PROTAC 1
19,18.0,99.40310383840529,2.876206889193829,3.1864198142647377,PROTAC 1
0,0.0,100.0,0.0,0.0,ACBI1
1,0.9473684210526315,38.45367611046103,2.842168577991497,5.4404207398081,ACBI1
2,1.894736842105263,15.63786493909982,1.1611292245058253,2.221536823669018,ACBI1
3,2.8421052631578947,9.508198124404638,0.7057086876536759,1.3494282235877608,ACBI1
4,3.789473684210526,7.8654985572217475,0.5836360880068261,1.1156647458022748,ACBI1
5,4.7368421052631575,7.42530999110161,0.5509238601776599,1.053022310324916,ACBI1
6,5.684210526315789,7.307356257424785,0.5421581749097069,1.0362364194305735,ACBI1
7,6.63157894736842,7.275749294429939,0.5398093118512567,1.0317384528626945,ACBI1
8,7.578947368421052,7.267279879829324,0.5391799092645729,1.0305331753615854,ACBI1
9,8.526315789473683,7.265010413890451,0.5390112544074944,1.0302102089342389,ACBI1
10,9.473684210526315,7.2644022870953116,0.5389660615983126,1.0301236667475635,ACBI1
11,10.421052631578947,7.26423933328101,0.5389539517212968,1.0301004768804953,ACBI1
12,11.368421052631579,7.264195668149949,0.5389507067566315,1.0300942629198475,ACBI1
13,12.31578947368421,7.264183967627568,0.538949837234869,1.0300925978249786,ACBI1
14,13.26315789473684,7.264180832353098,0.5389496042376304,1.0300921516457988,ACBI1
15,14.210526315789473,7.264179992224236,0.5389495418036372,1.0300920320875242,ACBI1
16,15.157894736842104,7.264179767103084,0.5389495250738069,1.0300920000506553,ACBI1
17,16.105263157894736,7.2641797067793625,0.5389495205908621,1.0300919914660185,ACBI1
18,17.052631578947366,7.26417969061495,0.5389495193896058,1.0300919891656672,ACBI1
19,18.0,7.264179686283254,0.5389495190676767,1.030091988549188,ACBI1
