,t,Target_deg,relative_Ternary,relative_all_Ternary,alpha,kon_T_binary
0,24,99.99999996730828,0.10250826657199207,0.10285180663915017,0.1,36000.0
0,24,99.9999999262617,0.12060150563783997,0.12107739105727325,0.11775020130253673,36000.0
0,24,99.99999983391616,0.14184409177190627,0.14250298635270758,0.13865109906787929,36000.0
0,24,99.99999962660947,0.16675867330515762,0.16767033972430445,0.16326194826060753,36000.0
0,24,99.99999915864683,0.196131476092469,0.19739418590090851,0.19224127272730873,36000.0
0,24,99.99999810056053,0.23075560930931588,0.23250611242103392,0.22636448562296468,36000.0
0,24,99.99999568790507,0.27177957803715974,0.2742121357087601,0.26654463749849283,36000.0
0,24,99.99999039602861,0.31885955987630754,0.32221473890780394,0.3138568472155922,36000.0
0,24,99.99997849812988,0.37445789818101743,0.37909635891007454,0.369567069398155,36000.0
0,24,99.99995156131924,0.44025729642224265,0.44668757090264527,0.4351659681642131,36000.0
0,24,99.99989275274886,0.5157849328346397,0.5246400226066755,0.5124088035134939,36000.0
0,24,99.99976721040834,0.60182017896732,0.6139216154627424,0.6033623976290593,36000.0
0,24,99.99946209943742,0.7108998722095187,0.727867552853867,0.7104604377920294,36000.0
0,24,99.998838328573,0.8284043284447444,0.851566106987029,0.8365685956749984,36000.0
0,24,99.99741283725996,0.9710585694332344,1.0030897730732014,0.9850612054411155,36000.0
0,24,99.99428677262769,1.1360913205607646,1.180266718292536,1.1599115523601087,36000.0
0,24,99.98749748413333,1.3263915053435595,1.3871388179752429,1.3657981878354069,36000.0
0,24,99.97299033640762,1.5440523432735496,1.6272242798224958,1.6082301155625904,36000.0
0,24,99.94183262863694,1.7954151489589631,1.909254169658187,1.8936941984829694,36000.0
0,24,99.87526528149316,2.0844202188227476,2.2401220925091496,2.229828730768157,36000.0
0,24,99.73302746634943,2.416234706910441,2.6292373031701457,2.6256278191813047,36000.0
0,24,99.44297271802472,2.7817680624192502,3.070308647730181,3.091682042541392,36000.0
0,24,98.86472232534665,3.177965314981622,3.5650234442872186,3.64046182872687,36000.0
0,24,97.66857075,3.613448856988228,4.133305516705169,4.2866511316679,36000.0
0,24,95.37051924542098,4.03808159854588,4.722988940524794,5.047540336676421,36000.0
0,24,91.42114324014177,4.379667024348018,5.24772740742983,5.943488907263226,36000.0
0,24,84.11787361984139,4.581635819596414,5.656186579529808,6.99847015269639,36000.0
0,24,73.81148243443877,4.500147970606696,5.732107586539943,8.240712692897953,36000.0
0,24,59.03822831410819,4.043966458002036,5.353811491064143,9.703455784651036,36000.0
0,24,43.6421108163521,3.3224473944085156,4.5881352562829285,11.42583871972924,36000.0
0,24,30.52072934749249,2.5572355057752603,3.6978205063130347,13.453948092984373,36000.0
0,24,20.448632803483672,1.873735771757913,2.853911689306447,15.842050962627892,36000.0
0,24,13.573219689599783,1.3465578727426528,2.1691186449929076,18.654046898944813,36000.0
0,24,9.01124974500374,0.9593410469976794,1.6422593241772099,21.96517777457714,36000.0
0,24,6.092110017411134,0.6890523619289293,1.257945662945318,25.864041046024628,36000.0
0,24,4.187624741975314,0.4988453423717412,0.9756151642035789,30.45496039666474,36000.0
0,24,2.9915711039920483,0.3712664590104679,0.7780986468038215,35.86077717368055,36000.0
0,24,2.195614334654932,0.2814315458689372,0.6332174705444363,42.22613731066302,36000.0
0,24,1.6696995556652758,0.2191082958538076,0.5286268653054632,49.721361685591305,36000.0
0,24,1.3133491526846002,0.17510355552354956,0.4519326764962534,58.5470034751461,36000.0
0,24,1.0537625695020856,0.1418944715226965,0.3919057797640806,68.93921444858775,36000.0
0,24,0.8737378570506574,0.11815927719050062,0.3474867335838065,81.17606378959961,36000.0
0,24,0.7404848880235818,0.10014586725161954,0.3126734114588359,95.58497852172911,36000.0
0,24,0.6432742959718396,0.08672795755790877,0.28595803962959926,112.55150462432259,36000.0
0,24,0.5688866003847693,0.07628212526862348,0.2645877589888642,132.52962326417386,36000.0
0,24,0.5120569487408736,0.06818705492123679,0.2476112229184135,156.0538981790582,36000.0
0,24,0.4684057466795014,0.06189615079261643,0.2341228740138526,183.75377924629683,36000.0
0,24,0.4337732648632202,0.056857011277472794,0.22310320457690208,216.3704449635334,36000.0
0,24,0.4063310028785817,0.05283246595797311,0.2141463898290261,254.77663450375516,36000.0
0,24,0.38424673134894555,0.049572664653507716,0.20677835574910336,300.0,36000.0
0,24,99.99999996730776,0.10250827113307748,0.10285181121552131,0.1,3600.0
0,24,99.99999992626105,0.12060151105423014,0.12107739649503613,0.11775020130253673,3600.0
0,24,99.99999983391642,0.14184409758515537,0.1425029921929604,0.13865109906787929,3600.0
0,24,99.99999962660847,0.16675868028952348,0.16767034674685374,0.16326194826060753,3600.0
0,24,99.99999915864808,0.19613148371288974,0.19739419357039006,0.19224127272730873,3600.0
0,24,99.99999810056158,0.23075561907558642,0.23250612226139103,0.22636448562296468,3600.0
0,24,99.99999568790355,0.27177958778674377,0.27421214554560763,0.26654463749849283,3600.0
0,24,99.99999039602817,0.3188595721990563,0.322214751360218,0.3138568472155922,3600.0
0,24,99.99997849812883,0.37445791077095697,0.3790963716559673,0.369567069398155,3600.0
0,24,99.9999515613166,0.44025731147006897,0.44668758617025606,0.4351659681642131,3600.0
0,24,99.99989275274184,0.5157849554096618,0.5246400455692699,0.5124088035134939,3600.0
0,24,99.99976721039407,0.6018202150669284,0.6139216522882438,0.6033623976290593,3600.0
0,24,99.99946209941551,0.7108999025686409,0.7278675839375975,0.7104604377920294,3600.0
0,24,99.99883832852164,0.828404365540956,0.8515661451204326,0.8365685956749984,3600.0
