,t,Target_deg,relative_Ternary,relative_all_Ternary,alpha,Kd_T_binary
0,24,99.99999997442039,0.06252991343232918,0.06275435210736822,0.1,9.26
0,24,99.99999994210044,0.07362202510403665,0.07393338554707934,0.11775020130253673,9.26
0,24,99.99999987056573,0.08646486107705677,0.08689469918523503,0.13865109906787929,9.26
0,24,99.99999970682684,0.10181197809544679,0.10240856712253582,0.16326194826060753,9.26
0,24,99.99999934045948,0.11971758217614376,0.1205434705692342,0.19224127272730873,9.26
0,24,99.99999851176445,0.1408535625724703,0.14199845700323196,0.22636448562296468,9.26
0,24,99.99999666160814,0.16552052586530538,0.16710419138944058,0.26654463749849283,9.26
0,24,99.99999250574973,0.1945291803196348,0.19672092388970794,0.3138568472155922,9.26
0,24,99.99998322508378,0.2284796668693924,0.2315102427291744,0.369567069398155,9.26
0,24,99.99996263972345,0.26807270959104523,0.27225598717200133,0.4351659681642131,9.26
0,24,99.99991709779684,0.31427779749122,0.3200457655309167,0.5124088035134939,9.26
0,24,99.99980840995819,0.3714181478850826,0.37950614847002634,0.6033623976290593,9.26
0,24,99.99957829530527,0.4346637513163464,0.4457896606450726,0.7104604377920294,9.26
0,24,99.99909814067753,0.5057202423349453,0.5208563137785832,0.8365685956749984,9.26
0,24,99.99798873010707,0.5932526991775173,0.6142111269315447,0.9850612054411155,9.26
0,24,99.99557264443612,0.6940290741490607,0.7229198506276148,1.1599115523601087,9.26
0,24,99.99039002250221,0.8095116855578135,0.8491465158875423,1.3657981878354069,9.26
0,24,99.97912847603904,0.944089888276991,0.9985347527016346,1.6082301155625904,9.26
0,24,99.95519179806627,1.0981490643518441,1.1726725129053615,1.8936941984829694,9.26
0,24,99.90412436412164,1.2758658796395073,1.3778654449176178,2.229828730768157,9.26
0,24,99.79741090329321,1.4775080862483008,1.6165800436328908,2.6256278191813047,9.26
0,24,99.58197879326505,1.7008170594793874,1.8887977212843003,3.091682042541392,9.26
0,24,99.11874826685036,1.9611064987191906,2.2176652012239457,3.64046182872687,9.26
0,24,98.24183851055452,2.2277773026622025,2.569813829368104,4.2866511316679,9.26
0,24,96.49177791579693,2.509851239324025,2.96450082810498,5.047540336676421,9.26
0,24,93.3302834710906,2.7630870003110894,3.3510147912096158,5.943488907263226,9.26
0,24,87.61877085740622,2.9499594534677036,3.6907759245909264,6.99847015269639,9.26
0,24,78.53933563185633,2.9865004076041854,3.869637990049185,8.240712692897953,9.26
0,24,66.12037389004229,2.815143055739471,3.7909754712874904,9.703455784651036,9.26
0,24,51.311517419305666,2.4343887797362593,3.4248747786248224,11.42583871972924,9.26
0,24,36.96870806998164,1.9424947795511005,2.8702635746559335,13.453948092984373,9.26
0,24,25.674040428892848,1.4799894784171463,2.3056251982979536,15.842050962627892,9.26
0,24,17.361440338641003,1.091047555959237,1.8022551237029723,18.654046898944813,9.26
0,24,11.796604561376176,0.8001168612461516,1.4056632482376465,21.96517777457714,9.26
0,24,8.003273408539952,0.5821082243093141,1.0938238045108233,25.864041046024628,9.26
0,24,5.6028747326046835,0.4323166157986138,0.869537819648975,30.45496039666474,9.26
0,24,4.023412662740176,0.3265365041281557,0.7041612059092196,35.86077717368055,9.26
0,24,2.9459197546043545,0.24970664642620075,0.578867806009585,42.22613731066302,9.26
0,24,2.23889365345148,0.196437373576429,0.48837826080842855,49.721361685591305,9.26
0,24,1.76356409133374,0.15891211310945197,0.42216663646243385,58.5470034751461,9.26
0,24,1.4187837787217938,0.13057229022005415,0.37033835105102736,68.93921444858775,9.26
0,24,1.1699046973633922,0.10937643216213709,0.3302249395521408,81.17606378959961,9.26
0,24,0.9928266975860753,0.09383288653280968,0.29986559532609447,95.58497852172911,9.26
0,24,0.8595697452420016,0.08183333364885546,0.2757456874962484,112.55150462432259,9.26
0,24,0.7586094552743774,0.07254101626642863,0.2565694609775783,132.52962326417386,9.26
0,24,0.6808606609292451,0.0652507080139097,0.24116182403527273,156.0538981790582,9.26
0,24,0.6211803977093215,0.05956617839845018,0.22888949975850234,183.75377924629683,9.26
0,24,0.5737082182299951,0.054984298679115286,0.2188089945023259,216.3704449635334,9.26
0,24,0.5359260564729745,0.05129649755429582,0.210557899687477,254.77663450375516,9.26
0,24,0.5058838835830496,0.048336367251574176,0.20383649069376145,300.0,9.26
0,24,99.99844177910826,0.5515352146692456,0.570087766281755,0.1,0.926
0,24,99.99656413710134,0.6454876426513529,0.6710735111740126,0.11775020130253673,0.926
0,24,99.99255202573165,0.7527610694316185,0.7878335496016776,0.13865109906787929,0.926
0,24,99.98373126800907,0.8790017278296732,0.9272774131212084,0.16326194826060753,0.926
0,24,99.96492467218478,1.0234558354505958,1.089628092554783,0.19224127272730873,0.926
0,24,99.92477200084569,1.1899035279654055,1.2805288457650317,0.22636448562296468,0.926
0,24,99.84045078237614,1.3794379881391476,1.5031486935833813,0.26654463749849283,0.926
0,24,99.66552290440737,1.5937192238725302,1.7620013732104958,0.3138568472155922,0.926
0,24,99.30888961494558,1.8324509799981892,2.0602045328573406,0.369567069398155,0.926
0,24,98.59819638698774,2.0919166162879534,2.397802036014942,0.4351659681642131,0.926
0,24,97.22025459972133,2.3624347865978823,2.76863300500638,0.5124088035134939,0.926
0,24,94.45805055087568,2.635789046206779,3.17307533051141,0.6033623976290593,0.926
0,24,89.7463955183916,2.8420608378362284,3.522700902836796,0.7104604377920294,0.926
0,24,82.3035105557557,2.9323097316649425,3.753029931268333,0.8365685956749984,0.926
0,24,70.76510564478208,2.839248174763833,3.7756747669163744,0.9850612054411155,0.926
0,24,56.38007438923952,2.5284399383244147,3.5087394871205677,1.1599115523601087,0.926
0,24,41.74566968094367,2.0758075917827923,3.019020365226084,1.3657981878354069,0.926
0,24,29.235781557518653,1.6013077713205088,2.453611180178035,1.6082301155625904,0.926
0,24,19.96656525199116,1.1946454490612477,1.9371839586398356,1.8936941984829694,0.926
0,24,13.499637839713449,0.8753360955116274,1.5090955589918889,2.229828730768157,0.926
0,24,9.198068173465971,0.6406279626715572,1.1784534222620568,2.6256278191813047,0.926
0,24,6.412696357697664,0.4751285583367689,0.9343404331378162,3.091682042541392,0.926
0,24,4.511119094702741,0.35334658132160823,0.7465597048144307,3.64046182872687,0.926
0,24,3.3139197897261443,0.271451402303624,0.6147497709996315,4.2866511316679,0.926
0,24,2.484199888886985,0.2113734153324194,0.5140341815133721,5.047540336676421,0.926
0,24,1.9339580791011983,0.16949841480454336,0.441036442599319,5.943488907263226,0.926
0,24,1.536585265025238,0.1379265915444946,0.383925589847771,6.99847015269639,0.926
0,24,1.2583803193832672,0.11497465633226607,0.34092026322880403,8.240712692897953,0.926
0,24,1.06057976642705,0.09812927445418233,0.30832502974762893,9.703455784651036,0.926
0,24,0.9119783077496488,0.08512736700834861,0.2824147578063844,11.42583871972924,0.926
0,24,0.7993922477093582,0.07504464968251091,0.26176816740241293,13.453948092984373,0.926
0,24,0.7149258049407186,0.06732974123980244,0.24557827411280547,15.842050962627892,0.926
0,24,0.648266284773619,0.06113898228772081,0.23229824704391694,18.654046898944813,0.926
0,24,0.5969611006424695,0.056306446936930425,0.22172635380326117,21.96517777457714,0.926
0,24,0.5550050920521813,0.05230691687762637,0.2128226418710533,25.864041046024628,0.926
0,24,0.5224695348298742,0.04917378439859537,0.20573918197259905,30.45496039666474,0.926
0,24,0.496149522863526,0.04661776392577202,0.1998829898277574,35.86077717368055,0.926
0,24,0.47413971713279723,0.044464857170499035,0.1948918712023392,42.22613731066302,0.926
0,24,0.45662093973734613,0.04274074994387846,0.19085350082401306,49.721361685591305,0.926
0,24,0.4425463645422502,0.04134862853496388,0.18756426893228054,58.5470034751461,0.926
0,24,0.4305356682728501,0.0401555882977687,0.18472412819505366,68.93921444858775,0.926
0,24,0.42050375514734434,0.03915544479721705,0.18232738516056252,81.17606378959961,0.926
0,24,0.4123642248961036,0.03834146696786108,0.18036572023728611,95.58497852172911,0.926
0,24,0.4054961352574362,0.037652865974101675,0.17869821723569798,112.55150462432259,0.926
0,24,0.39973175850206527,0.037073654950158796,0.177289782404519,132.52962326417386,0.926
0,24,0.3948796886821584,0.03658520441626983,0.17609780812431355,156.0538981790582,0.926
0,24,0.39084800111527607,0.03617870208499554,0.1751027988171594,183.75377924629683,0.926
0,24,0.3874194076284382,0.03583254769063522,0.17425330942970843,216.3704449635334,0.926
0,24,0.3845229445997975,0.03553978587074384,0.17353325023288177,254.77663450375516,0.926
0,24,0.38210083757883484,0.03529473498746933,0.17292939721544107,300.0,0.926
0,24,100.0000000000006,0.00633702685446953,0.00633931675462295,0.1,92.6
0,24,100.0000000000013,0.007466112334176444,0.007469291164972836,0.11775020130253673,92.6
0,24,99.99999999999909,0.008775405405098956,0.008779797289794085,0.13865109906787929,92.6
0,24,99.99999999999858,0.010342617876650308,0.010348719188397146,0.16326194826060753,92.6
0,24,99.99999999999538,0.012174911562150883,0.012183367218656154,0.19224127272730873,92.6
0,24,99.99999999998734,0.01434324096612048,0.014354978410543865,0.22636448562296468,92.6
0,24,99.99999999996736,0.016879898905646007,0.016896157861689746,0.26654463749849283,92.6
0,24,99.99999999991816,0.0198738433401945,0.019896385944051534,0.3138568472155922,92.6
0,24,99.99999999981415,0.02339137796478231,0.023422613910392614,0.369567069398155,92.6
