t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
0.0,0.001,0.0,100.0,0.0,0.0,15.400460414151718,0.0,0.0,0.0,0.0,4e-13,0.0,0.0,0.0,0.0,0.0,0.0,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
0.4897959183673469,0.001,0.0,99.64527090219973,0.00674175089186096,0.01088362118288482,15.400460414151718,-4.800079249945939e-15,2.7400028567937023e-17,1.424524504826552e-17,9.375908935474919e-19,3.985810836087989e-13,1.0643816613487321e-15,2.696700356744384e-17,4.353448473153928e-17,6.922947838033505e-15,1.3727696914074803e-17,9.07984274014822e-19,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
0.9795918367346939,0.001,0.0,98.96886082124561,0.008617529013308327,0.013923358103076352,15.400460414151718,-5.939931608940229e-15,7.358510280319018e-18,3.859681000127407e-18,2.542417947784465e-19,3.958754432849825e-13,1.3699560305629929e-15,3.447011605323331e-17,5.569343241230541e-17,8.919499528950072e-15,1.7645520223453175e-17,1.1659103380794666e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
1.4693877551020407,0.001,0.0,98.2319979639184,0.009098955323314431,0.014704652176816295,15.400460414151718,-6.009868753408089e-15,1.679848057766556e-18,8.883663838665391e-19,5.850058683571676e-20,3.929279918556736e-13,1.4486145236123874e-15,3.639582129325772e-17,5.881860870726518e-17,9.491918980879306e-15,1.865852657733584e-17,1.2326221210897778e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
1.9591836734693877,0.001,0.0,97.50834278581183,0.009186870402929644,0.014847724831856382,15.400460414151718,-5.788078344752812e-15,8.976433306426324e-20,5.3811000077402044e-20,3.505249026190655e-21,3.9003337114324736e-13,1.463176240271185e-15,3.674748161171858e-17,5.939089932742552e-17,9.65558734944252e-15,1.884650341785992e-17,1.2449859089719876e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
2.4489795918367347,0.001,0.0,96.81720476253084,0.009165758900128485,0.014813887781620032,15.400460414151718,-5.496810438141565e-15,-3.4009122222352215e-19,-1.722481674869147e-19,-1.1391409141762048e-20,3.872688190501234e-13,1.4599660008056925e-15,3.6663035600513945e-17,5.925555112648012e-17,9.702198423211539e-15,1.8805357036474264e-17,1.2422541014531198e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
2.9387755102040813,0.001,0.0,96.1624647395891,0.009116264523347028,0.0147339738681347,15.400460414151718,-5.1985706679816065e-15,-4.417110475040903e-19,-2.25971579124742e-19,-1.493012197098515e-20,3.8464985895835644e-13,1.4521196621620529e-15,3.646505809338811e-17,5.89358954725388e-17,9.715318949557573e-15,1.870440214485267e-17,1.2355824425094969e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
3.4285714285714284,0.001,0.0,95.5437058830433,0.009061142195545149,0.01464490565681351,15.400460414151718,-4.910404955570641e-15,-4.512728152386835e-19,-2.3132945702246646e-19,-1.528122637145628e-20,3.821748235321732e-13,1.4433444899723856e-15,3.6244568782180596e-17,5.857962262725404e-17,9.718868703266023e-15,1.8591451673202544e-17,1.2281214137273882e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
3.9183673469387754,0.001,0.0,94.95937548621733,0.009006718038953974,0.01455694931248616,15.400460414151718,-4.6364808339035194e-15,-4.357661282095755e-19,-2.2350291494043395e-19,-1.4763461025167774e-20,3.798375019448693e-13,1.4346716404728699e-15,3.6026872155815894e-17,5.822779724994464e-17,9.719691704137079e-15,1.8479807331716406e-17,1.2207474669950284e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
4.408163265306122,0.001,0.0,94.40767841888233,0.008954660545132291,0.014472813376471985,15.400460414151718,-4.3773456328324485e-15,-4.141568122079359e-19,-2.1245359681564608e-19,-1.4033389250000882e-20,3.776307136755293e-13,1.4263735376702213e-15,3.581864218052917e-17,5.789125350588794e-17,9.719745439249625e-15,1.8372984070221308e-17,1.2136921637964394e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
4.8979591836734695,0.001,0.0,93.886826424121,0.00890532247874848,0.014393071372096989,15.400460414151718,-4.132553965110632e-15,-3.917756763122151e-19,-2.0098216887139876e-19,-1.327559725761193e-20,3.75547305696484e-13,1.4185082466708172e-15,3.562128991499392e-17,5.757228548838796e-17,9.719589296227083e-15,1.8271731654062452e-17,1.2070048566598251e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
5.387755102040816,0.001,0.0,93.39510470203003,0.008858689590221727,0.01431770122584226,15.400460414151718,-3.901412021134534e-15,-3.7008362730513916e-19,-1.8985681057987831e-19,-1.2540710294412231e-20,3.7358041880812014e-13,1.4110740148065456e-15,3.543475836088691e-17,5.727080490336905e-17,9.71938271903448e-15,1.8176028167568238e-17,1.2006840509380625e-18,ACBI1,9.26,36000.0,5000,180,360,0,1,2.49e-11
