,t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,alpha
0,6.0,0.1,0.0,70.00519530752779,1.5224637164001045,2.0031900253513757,33.119840269341836,ACBI1,0.1,0.1
0,6.0,0.1,0.0,56.17186732248154,1.3694608516517592,1.8808501335046306,54.21872777994275,ACBI1,0.1,0.11775020130253673
0,6.0,0.1,0.0,40.90300404337201,1.110417420243785,1.6002801861305074,57.923130391981246,ACBI1,0.1,0.13865109906787929
0,6.0,0.1,0.0,27.07215176473304,0.8126099867576881,1.2353243288946811,68.41278191865551,ACBI1,0.1,0.16326194826060753
0,6.0,0.1,0.0,17.06960705864511,0.5623995643059281,0.9063847770122643,74.40520874304704,ACBI1,0.1,0.19224127272730873
0,6.0,0.1,0.0,11.066719559455834,0.3972778849264182,0.6818511289387614,79.2956647508074,ACBI1,0.1,0.22636448562296468
0,6.0,0.1,0.0,7.615772921857687,0.2956979395239852,0.5424943869810047,81.09901819114762,ACBI1,0.1,0.26654463749849283
0,6.0,0.1,0.0,5.45558375842456,0.22747434151271034,0.4472865687261441,85.70973842682513,ACBI1,0.1,0.3138568472155922
0,6.0,0.1,0.0,4.010361350797588,0.17836358694664814,0.37639725205121133,86.61451233477595,ACBI1,0.1,0.369567069398155
0,6.0,0.1,0.0,3.02101316093156,0.14243473211157326,0.3225601214806902,85.73940137259713,ACBI1,0.1,0.4351659681642131
0,6.0,0.1,0.0,2.3335358643635775,0.11598226666001861,0.2814565768185383,87.32460345313771,ACBI1,0.1,0.5124088035134939
0,6.0,0.1,0.0,1.84797272852999,0.09634440077812745,0.24986589296830541,86.16393188091074,ACBI1,0.1,0.6033623976290593
0,6.0,0.1,0.0,1.4990619654261015,0.08161898496286771,0.22538864709979672,96.14606041359146,ACBI1,0.1,0.7104604377920294
0,6.0,0.1,0.0,1.2439847372777435,0.07045725221157632,0.20625711187976375,96.64905728254065,ACBI1,0.1,0.8365685956749984
0,6.0,0.1,0.0,1.0543710567667623,0.06190332952872681,0.19117251642147587,97.39693114097572,ACBI1,0.1,0.9850612054411155
0,6.0,0.1,0.0,0.9111908873365717,0.05527713037769503,0.17917834067345034,98.63398773072288,ACBI1,0.1,1.1599115523601087
0,6.0,0.1,0.0,0.8014955132402042,0.05009142048566649,0.1695660460672714,98.70603887670741,ACBI1,0.1,1.3657981878354069
