,t,degradation,Ternary,all_Ternary,Dmax,alpha,ktransit_UPS
0,6.0,99.99999999492175,0.09560942011328182,0.09588182178050055,1.1956158285642005e-08,0.1,250
0,6.0,99.99999998853751,0.11250417091057315,0.11288160336794806,1.2085743517076253e-08,0.11775020130253673,250
0,6.0,99.99999997413708,0.13236848114178068,0.13289137884040708,3.002371906646317e-07,0.13865109906787929,250
0,6.0,99.99999994167338,0.15571821087080856,0.15644253516155726,7.923991462988056e-08,0.16326194826060753,250
0,6.0,99.99999986854272,0.18315649072740034,0.1841596674122906,2.9525190070600615e-07,0.19224127272730873,250
0,6.0,99.99999970394354,0.21538758345839587,0.21677669531513258,8.200081502707235e-07,0.22636448562296468,250
0,6.0,99.99999933385683,0.2532325956289225,0.255155676553937,7.7964797950969e-07,0.26654463749849283,250
0,6.0,99.99999850270706,0.29764714392072433,0.30030873312244216,2.985863911675324e-06,0.3138568472155922,250
0,6.0,99.99999663873864,0.34974101965644167,0.3534235571366087,9.602701822597481e-06,0.369567069398155,250
0,6.0,99.99999246531812,0.41079979706748193,0.4158930126144688,2.6024661314849595e-06,0.4351659681642131,250
0,6.0,99.99998313900093,0.48230818075544374,0.4893493959423542,5.3346039252666344e-05,0.5124088035134939,250
0,6.0,99.99996234443401,0.5659746662124692,0.5757039537309607,6.031482021606749e-05,0.6033623976290593,250
0,6.0,99.99991610177092,0.6637567677671306,0.6771922712744272,0.0001758842474108846,0.7104604377920294,250
0,6.0,99.9998135854949,0.7778856138364454,0.7964261168544129,0.00030125999236352285,0.8365685956749984,250
0,6.0,99.99958713612929,0.9108880636421778,0.9364522147592723,0.0008230383631402383,0.9850612054411155,250
0,6.0,99.99908904127865,1.0656035669104489,1.1008181340577101,0.0018604059881299762,1.1599115523601087,250
0,6.0,99.99799883841912,1.2451915847933537,1.2936448228612087,0.004601181888641559,1.3657981878354069,250
0,6.0,99.99562637455234,1.4531231296390204,1.519703837221424,0.008112895940726172,1.6082301155625904,250
0,6.0,99.99049805509685,1.693146010538181,1.7844939709593297,0.029386957887345133,1.8936941984829694,250
0,6.0,99.97949903850319,1.9692057942177326,2.09430441362056,0.08720105545707568,2.229828730768157,250
0,6.0,99.9561226584753,2.285289165672242,2.4562344222114585,0.10047117711662334,2.6256278191813047,250
0,6.0,99.90696531102434,2.6451246035139246,2.8781011906914773,0.21100249455144882,3.091682042541392,250
0,6.0,99.80487113489043,3.0516098994230996,3.3680839909994384,0.4750714991565874,3.64046182872687,250
0,6.0,99.59592019783487,3.505706359354009,3.933776843451901,0.9410317197717011,4.2866511316679,250
