t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,alpha
0.0,0.1,0.0,100.0,0.0,0.0,20.928439825950697,PROTAC 1,8.54,3.2
0.02510460251046025,0.1,0.0,99.99992184160608,0.021817991293818034,0.024664006108700304,20.928439825950697,PROTAC 1,8.54,3.2
0.0502092050209205,0.1,0.0,99.99962508884703,0.04474596592677526,0.050655630157308285,20.928439825950697,PROTAC 1,8.54,3.2
0.07531380753138076,0.1,0.0,99.9991016746694,0.06758158636639754,0.0765695108538748,20.928439825950697,PROTAC 1,8.54,3.2
0.100418410041841,0.1,0.0,99.99834796955277,0.09032433605572722,0.1024047521472626,20.928439825950697,PROTAC 1,8.54,3.2
0.12552301255230125,0.1,0.0,99.99736035961438,0.11297361847892082,0.12816044599425078,20.928439825950697,PROTAC 1,8.54,3.2
0.1506276150627615,0.1,0.0,99.99613524230149,0.13552882601405464,0.1538356723885687,20.928439825950697,PROTAC 1,8.54,3.2
0.17573221757322174,0.1,0.0,99.99466902748456,0.15798934310323082,0.17942949940050135,20.928439825950697,PROTAC 1,8.54,3.2
0.200836820083682,0.1,0.0,99.99295813876947,0.18035454641619997,0.2049409832253133,20.928439825950697,PROTAC 1,8.54,3.2
0.22594142259414227,0.1,0.0,99.99099901483233,0.20262380492914703,0.230369168240762,20.928439825950697,PROTAC 1,8.54,3.2
0.2510460251046025,0.1,0.0,99.98878809212705,0.2247964729080726,0.2557130808488817,20.928439825950697,PROTAC 1,8.54,3.2
0.27615062761506276,0.1,0.0,99.98632183762268,0.2468719021091665,0.28097174006961806,20.928439825950697,PROTAC 1,8.54,3.2
0.301255230125523,0.1,0.0,99.98359676679574,0.2688494479354478,0.3061441630964658,20.928439825950697,PROTAC 1,8.54,3.2
0.3263598326359833,0.1,0.0,99.98060939229597,0.2907284495019029,0.3312293478016655,20.928439825950697,PROTAC 1,8.54,3.2
0.3514644351464435,0.1,0.0,99.97735624876415,0.31250823872896477,0.35622628067729056,20.928439825950697,PROTAC 1,8.54,3.2
0.37656903765690375,0.1,0.0,99.9738338942628,0.3341881404677129,0.3811339369554577,20.928439825950697,PROTAC 1,8.54,3.2
0.401673640167364,0.1,0.0,99.97003891172137,0.35576747263423264,0.4059512807404293,20.928439825950697,PROTAC 1,8.54,3.2
0.42677824267782427,0.1,0.0,99.9659679103944,0.3772455463534357,0.43067726515304283,20.928439825950697,PROTAC 1,8.54,3.2
0.45188284518828453,0.1,0.0,99.9616175273352,0.3986216661126498,0.4553108324879059,20.928439825950697,PROTAC 1,8.54,3.2
0.47698744769874474,0.1,0.0,99.95698442888036,0.41989512992528727,0.47985091438380717,20.928439825950697,PROTAC 1,8.54,3.2
0.502092050209205,0.1,0.0,99.95206526989668,0.4410652143038133,0.5042964180375209,20.928439825950697,PROTAC 1,8.54,3.2
0.5271966527196653,0.1,0.0,99.94685681527827,0.46213121775107674,0.52864626606624,20.928439825950697,PROTAC 1,8.54,3.2
0.5523012552301255,0.1,0.0,99.9413558339618,0.4830924220021181,0.5528993611812902,20.928439825950697,PROTAC 1,8.54,3.2
0.5774058577405857,0.1,0.0,99.93555912453184,0.5039481010212381,0.5770545943778088,20.928439825950697,PROTAC 1,8.54,3.2
0.602510460251046,0.1,0.0,99.92946352245944,0.5246975232794915,0.6011108470615465,20.928439825950697,PROTAC 1,8.54,3.2
0.6276150627615062,0.1,0.0,99.92306590165131,0.5453399519854507,0.6250669913082265,20.928439825950697,PROTAC 1,8.54,3.2
0.6527196652719666,0.1,0.0,99.91636317600953,0.5658746453282547,0.648921890139358,20.928439825950697,PROTAC 1,8.54,3.2
0.6778242677824268,0.1,0.0,99.90935230099596,0.5863008567332472,0.672674397814967,20.928439825950697,PROTAC 1,8.54,3.2
0.702928870292887,0.1,0.0,99.9020302752045,0.606617835130521,0.6963233601437149,20.928439825950697,PROTAC 1,8.54,3.2
0.7280334728033473,0.1,0.0,99.89439412510133,0.6268248193547048,0.7198676091875859,20.928439825950697,PROTAC 1,8.54,3.2
0.7531380753138075,0.1,0.0,99.88644092071483,0.6469210434204872,0.7433059682716042,20.928439825950697,PROTAC 1,8.54,3.2
0.7782426778242678,0.1,0.0,99.87816783499369,0.6669057569291431,0.7666372717061949,20.928439825950697,PROTAC 1,8.54,3.2
0.803347280334728,0.1,0.0,99.86957205489931,0.6867781937821947,0.7898603349561537,20.928439825950697,PROTAC 1,8.54,3.2
0.8284518828451882,0.1,0.0,99.86065081844706,0.7065375849326758,0.8129739668624012,20.928439825950697,PROTAC 1,8.54,3.2
0.8535564853556485,0.1,0.0,99.85140141629498,0.7261831587371469,0.8359769700658098,20.928439825950697,PROTAC 1,8.54,3.2
0.8786610878661087,0.1,0.0,99.84182119333104,0.7457141413225354,0.8588681414514415,20.928439825950697,PROTAC 1,8.54,3.2
0.9037656903765691,0.1,0.0,99.83190755025791,0.7651297569680217,0.8816462726135741,20.928439825950697,PROTAC 1,8.54,3.2
0.9288702928870293,0.1,0.0,99.821657945174,0.7844292285021787,0.9043101503418718,20.928439825950697,PROTAC 1,8.54,3.2
0.9539748953974895,0.1,0.0,99.81106989514873,0.803611777715558,0.926858557129043,20.928439825950697,PROTAC 1,8.54,3.2
0.9790794979079498,0.1,0.0,99.80014093449661,0.8226766108439537,0.9492902568266175,20.928439825950697,PROTAC 1,8.54,3.2
1.00418410041841,0.1,0.0,99.78886873188164,0.8416229589011217,0.9716040347634786,20.928439825950697,PROTAC 1,8.54,3.2
