t,initial_BPD_ec_conc,initial_BPD_ic_conc,t,BPD_ec,BPD_ic,T,E3,BPD_T,BPD_E3,Ternary,T_Ub_1,T_Ub_2,T_Ub_3,T_Ub_4,BPD_T_Ub_1,BPD_T_Ub_2,BPD_T_Ub_3,BPD_T_Ub_4,Ternary_Ub_1,Ternary_Ub_2,Ternary_Ub_3,Ternary_Ub_4,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.0001,0.0,6.0,1.999630294133219e-08,6.3288983631014025e-19,2.6157717926387587e-12,2.6192615918167066e-12,3.6884190752900836e-19,2.5615637187408775e-16,3.5263599726372283e-16,9.75758259061482e-16,2.6028259562822973e-16,6.797788088905948e-17,1.6289365350015876e-17,1.3312130407991142e-21,3.575192358413693e-22,9.582229533933151e-23,3.3967967434834917e-23,9.478009674600564e-17,2.5474348097308173e-17,6.846554358145947e-18,2.5148149606882607e-18,0.09256781635326661,99.90743218364673,0.01345938920853904,0.018406557688010337,-7.348362802334205e-16,5.834498192210058e-17,2.7078389607524672e-18,4.1837817915008583e-19,2.617574723211544e-12,1.3203099194513265e-15,4.822518114258708e-16,7.394117335663371e-16,1.628939931798331e-17,2.5148149606882607e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.00012648552168552957,0.0,6.0,2.529242809753464e-08,8.007264911773115e-19,2.614650328979134e-12,2.619066021630147e-12,4.664555818261409e-19,3.240627783172337e-16,4.459276491634678e-16,1.23389622875488e-15,3.2926020667492383e-16,8.602354297997113e-17,2.0621206574316093e-17,1.7294946235150985e-21,4.645710420509987e-22,1.2447530103635902e-22,4.377462866085306e-23,1.1989875098338556e-16,3.223733484708097e-17,8.667266718751786e-18,3.1845898153215198e-18,0.11715593230748311,99.88284406769252,0.01702013928104839,0.023279221050687318,-9.303264782912097e-16,7.375749783160626e-17,3.4305967149597744e-18,5.303835738577735e-19,2.6169305145735436e-12,1.669803547299686e-15,6.099155915280077e-16,9.352479142338399e-16,2.0621250348944754e-17,3.1845898153215198e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.00015998587196060574,0.0,6.0,3.19912596331051e-08,1.0131434522408067e-18,2.6132308785890865e-12,2.6188186543046495e-12,5.898769838715323e-19,4.099919283488698e-16,5.638644685195287e-16,1.5602250498407024e-15,4.165310157527823e-16,1.0887350869976108e-16,2.6110885859176406e-17,2.26068223004571e-21,6.074080919509817e-22,1.6268983683242014e-22,5.666773034194407e-23,1.5167955783718377e-16,4.080111731595201e-17,1.0974631272726743e-17,4.03399206057445e-18,0.1482990160046569,99.85170098399534,0.021521544599982012,0.029440983473510138,-1.1781131296816098e-15,9.322774575788209e-17,4.348132709756244e-18,6.727748464367492e-19,2.6161145657806775e-12,2.111743547600312e-15,7.713537670059656e-16,1.1829518032388368e-15,2.611094252690675e-17,4.03399206057445e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.00020235896477251576,0.0,6.0,4.0464311651917956e-08,1.2820252101517878e-18,2.6114339405781254e-12,2.618505771486341e-12,7.459138128968686e-19,5.187398184354637e-16,7.129355648032504e-16,1.9726980773595112e-15,5.26954414883677e-16,1.3781511125787952e-16,3.307139713341326e-17,2.976428183703685e-21,7.999840635551726e-22,2.1419056797596294e-22,7.37613777814685e-23,1.9189258585311964e-16,5.164839635743952e-17,1.39002042221727e-17,5.111943984049958e-18,0.18775884533751253,99.81224115466249,0.027211281099360704,0.03723239294732948,-1.4923600789031452e-15,1.1781574148833045e-16,5.51405537979474e-18,8.540356306880492e-19,2.615080718252157e-12,2.670543064998674e-15,9.754886952200323e-16,1.4962605170427375e-15,3.307147089479104e-17,5.111943984049958e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.0002559547922699536,0.0,6.0,5.118149570735197e-08,1.6224506720740308e-18,2.6091586104107794e-12,2.6181100216786465e-12,9.431600940227318e-19,6.563863959807831e-16,9.013256157430523e-16,2.493958930839919e-15,6.666853075201985e-16,1.7448557395624054e-16,4.1902452290616726e-17,3.9519377538197496e-21,1.0626512386747047e-21,2.844130300222011e-22,9.66460544502348e-23,2.427800074462782e-16,6.539317033101628e-17,1.7611991495953065e-17,6.481140361122309e-18,0.23777926883560951,99.76222073116439,0.03440174105889513,0.04708366127394742,-1.8911712518509873e-15,1.4885334624354952e-16,6.997393487278347e-18,1.085161484055886e-18,2.6137701831565067e-12,3.3770376602550515e-15,1.2335919253774223e-15,1.892549327772379e-15,4.1902548936671173e-17,6.481140361122309e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.00032374575428176434,0.0,6.0,6.473718188069486e-08,2.053567735904914e-18,2.6062767016436994e-12,2.6176094581278806e-12,1.1924590903181268e-18,8.30644009656982e-16,1.1393499459084132e-15,3.1525444852139854e-15,8.435221843635181e-16,2.2097004125913426e-16,5.3115760952865654e-17,5.29813352267521e-21,1.4254951289015228e-21,3.814007594213052e-22,1.2762701827379783e-22,3.0718306659610807e-16,8.281758250423914e-17,2.2325074948314034e-17,8.222192508350223e-18,0.3012232187137158,99.69877678128628,0.04348663915680967,0.05953808635364217,-2.397748481763741e-15,1.8801083135040712e-16,8.88742341604984e-18,1.3804878485324995e-18,2.6121079516697007e-12,4.2701597044459325e-15,1.5598978624654248e-15,2.393795131605059e-15,5.311588857988393e-17,8.222192508350223e-18,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.00040949150623804275,0.0,6.0,8.188316227248039e-08,2.5997170981729507e-18,2.6026251841492806e-12,2.6169763219753874e-12,1.5074825204710662e-18,1.0513033545832721e-15,1.4399962929740038e-15,3.984382527067183e-15,1.0673502238070465e-15,2.799287917216948e-16,6.736841391628904e-17,7.180600675386161e-21,1.933555126300347e-21,5.1721616974561685e-22,1.7009676328032285e-22,3.8870378366084944e-16,1.0491977297857504e-16,2.831564516649131e-17,1.0439175255216299e-17,0.38175167710620883,99.61824832289379,0.05496169057152687,0.07528147595553955,-3.0419256467662155e-15,2.3737771573058966e-16,1.1300231327102243e-17,1.7588387346849213e-18,2.609998106059817e-12,5.399039757980948e-15,1.972374670035136e-15,3.0277950257057865e-15,6.736858401305232e-17,1.0439175255216299e-17,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.0005179474679231213,0.0,6.0,1.0357034504704178e-07,3.2918823771038425e-18,2.5979964159418125e-12,2.616175503262469e-12,1.9054529227570985e-18,1.3308060384681557e-15,1.8195962399580264e-15,5.034647325029237e-15,1.3507061438521761e-15,3.5476329377479416e-16,8.550738333073813e-17,9.849248480795399e-21,2.6550519891843912e-21,7.101770742525411e-22,2.291233758419518e-22,4.919112132202475e-16,1.3297639874043156e-16,3.593970765525182e-17,1.3267139490436455e-17,0.48405917238979157,99.51594082761021,0.06945023816633689,0.0951790343154349,-3.862221715585056e-15,2.995595407731308e-16,1.4387754360461228e-17,2.2451459663219437e-18,2.607317649683387e-12,6.825637589587865e-15,2.493690699064394e-15,3.82970751643333e-15,8.550761245411396e-17,1.3267139490436455e-17,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.0006551285568595509,0.0,6.0,1.310014913632229e-07,4.16957123138723e-18,2.5921254599821167e-12,2.6151625945547244e-12,2.4080405423328173e-18,1.684982782217733e-15,2.298652050429575e-15,6.360043790683238e-15,1.7094993980037784e-15,4.498344843985301e-16,1.0862949352133267e-16,1.3684953235810694e-20,3.6944329721321066e-21,9.884295210190608e-22,3.1239007593846166e-22,6.22604987832908e-16,1.6862490693251008e-16,4.5658292971671846e-17,1.6882424905121003e-17,0.6141863918876709,99.38581360811233,0.08773481108509829,0.12032147568976281,-4.90862000793834e-15,3.777913104644205e-16,1.8350424441328623e-17,2.8727717314600325e-18,2.603908316532543e-12,8.628025846812684e-15,3.1524226630717853e-15,4.844001737269044e-15,1.0862980591140861e-16,1.6882424905121003e-17,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
6.0,0.0008286427728546842,0.0,6.0,1.6569791995782968e-07,5.28327195498972e-18,2.5846735129716405e-12,2.6138814294344234e-12,3.0424701046552194e-18,2.1340102830072522e-15,2.902845965049796e-15,8.031594227237131e-15,2.1639345711386304e-15,5.707520512644581e-16,1.381632619875655e-16,1.9273172063311626e-20,5.213175358810438e-21,1.3957000320396283e-21,4.317122390857012e-22,7.881527050821028e-16,2.13972716715209e-16,5.807186156949387e-17,2.151703415239813e-17,0.7799394599350506,99.22006054006495,0.11079564752098459,0.152082453533168,-6.246380236956084e-15,4.760661959929871e-16,2.345513962763781e-17,3.686902631604119e-18,2.5995655861497014e-12,1.0904470425387479e-14,3.984560282569001e-15,6.1269226213955905e-15,1.381636936998046e-16,2.151703415239813e-17,PROTAC 1,8.54,36000.0,1000,360,60,0,3.2,1.24e-12,5.0,2.62e-13
