,t,degradation,Ternary,all_Ternary,Dmax,PROTAC
0,0.0,100.0,0.0,0.0,76.50407702414476,SiTX_38404
1,0.100418410041841,99.65736250412502,2.060672579395896,2.5715251995279615,76.50407702414476,SiTX_38404
2,0.200836820083682,99.05558622171905,2.0482079712926726,2.555968984891903,76.50407702414476,SiTX_38404
3,0.301255230125523,98.45745417977194,2.0358191064353304,2.5405073149073867,76.50407702414476,SiTX_38404
4,0.401673640167364,97.86294429406892,2.023505519470755,2.5251396125429233,76.50407702414476,SiTX_38404
5,0.502092050209205,97.2720343755396,2.0112667461996425,2.509865298125958,76.50407702414476,SiTX_38404
6,0.602510460251046,96.6847026116879,1.999102330304189,2.4946838018262896,76.50407702414476,SiTX_38404
7,0.702928870292887,96.10092714252121,1.9870118145344156,2.4795945526541354,76.50407702414476,SiTX_38404
8,0.803347280334728,95.52068632817995,1.9749947462690627,2.464596985401584,76.50407702414476,SiTX_38404
9,0.9037656903765691,94.9439586910346,1.9630506763113853,2.449690539139353,76.50407702414476,SiTX_38404
10,1.00418410041841,94.37072274892904,1.9511791554236018,2.434874652890826,76.50407702414476,SiTX_38404
11,1.104602510460251,93.80095738404698,1.939379741990261,2.4201487751978634,76.50407702414476,SiTX_38404
12,1.205020920502092,93.23464133771768,1.9276519915210604,2.4055123510175687,76.50407702414476,SiTX_38404
13,1.3054393305439331,92.67175369060764,1.9159954666268808,2.3909648341748713,76.50407702414476,SiTX_38404
14,1.405857740585774,92.11227355542245,1.904409730634551,2.3765056793920767,76.50407702414476,SiTX_38404
15,1.506276150627615,91.55618015946617,1.8928943493014927,2.3621343444291356,76.50407702414476,SiTX_38404
16,1.606694560669456,91.00345298087035,1.8814488936448344,2.347850293615005,76.50407702414476,SiTX_38404
17,1.707112970711297,90.45407142173444,1.8700729331509385,2.3336529893714464,76.50407702414476,SiTX_38404
18,1.8075313807531381,89.90801523365917,1.858766044614029,2.319541903245701,76.50407702414476,SiTX_38404
19,1.907949790794979,89.36526410319871,1.8475278035246168,2.305516505161153,76.50407702414476,SiTX_38404
20,2.00836820083682,88.82579794862568,1.836357790233048,2.2915762711108347,76.50407702414476,SiTX_38404
