t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
0.0,0.001,0.0,0.0,100.0,0.0,0.0,46.49422223526791,0.0,0.0,0.0,0.0,5.2399999999999995e-12,0.0,0.0,0.0,0.0,0.0,0.0,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.12121212121212122,0.001,0.0,0.0037828423174346426,99.99621715768257,0.001461606039948004,0.0022639357231735583,46.49422223526791,-3.3255777236372668e-15,6.314816486666384e-16,7.858616044153715e-17,1.5577430886244027e-17,5.239801779062566e-12,8.374834761260608e-16,7.65881564932754e-17,1.1863023189429445e-16,1.502936220176426e-16,9.292777270502163e-18,1.8706122301335524e-18,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.24242424242424243,0.001,0.0,0.015401381614779552,99.98459861838522,0.0029219912936195016,0.004529188766282255,46.49422223526791,-6.696197755425945e-15,6.31165357923388e-16,7.868942715625091e-17,1.5601444647426737e-17,5.2391929676033854e-12,1.733913213769135e-15,1.5311234378566187e-16,2.373294913531901e-16,3.0057556376607393e-16,1.8824724986354275e-17,3.760256545227765e-18,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.36363636363636365,0.001,0.0,0.034774690552680454,99.96522530944732,0.004381606233134375,0.006794022955214146,46.49422223526791,-1.0030606588602535e-14,6.308180806079631e-16,7.878895765231685e-17,1.5624731677547407e-17,5.238177806215039e-12,2.6300408779673025e-15,2.295961666162412e-16,3.560068028532212e-16,4.508458227546895e-16,2.8368961019718844e-17,5.652767733300826e-18,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.48484848484848486,0.001,0.0,0.0618193265810163,99.93818067341898,0.005840380250633204,0.009058329008912446,46.49422223526791,-1.3329080328104107e-14,6.304396847750596e-16,7.888483056629024e-17,1.5647308530963362e-17,5.236760667287154e-12,3.5258230553932243e-15,3.0603592513317987e-16,4.746564400670121e-16,6.011043937256405e-16,3.792503777608015e-17,7.548058284883029e-18,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.6060606060606061,0.001,0.0,0.09645248587656852,99.90354751412343,0.007298243476406398,0.011321998993135527,46.49422223526791,-1.659189509450908e-14,6.300300262068685e-16,7.897712137729994e-17,1.566919113243336e-17,5.234945889740067e-12,4.4212168324314976e-15,3.824279581636952e-16,5.932727472403015e-16,7.513512694176976e-16,4.749251700139586e-17,9.44604265626118e-18,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.7272727272727273,0.001,0.0,0.13859203997489544,99.8614079600251,0.008755126726993535,0.013584926240277543,46.49422223526791,-1.9819326715688196e-14,6.295910400881921e-16,7.906590862140312e-17,1.569038892768322e-17,5.232737777105315e-12,5.316179762183659e-15,4.587686404944612e-16,7.118501349905431e-16,9.015864405329075e-16,5.707096945876871e-17,1.1346637206700567e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.8484848484848485,0.001,0.0,0.18815649396356093,99.81184350603644,0.010210961464245114,0.015847005278339977,46.49422223526791,-2.3011650792034263e-14,6.291254090299765e-16,7.915126743489362e-17,1.5710911215047986e-17,5.230140599716309e-12,6.210669837546575e-15,5.350543807264439e-16,8.303830765850148e-16,1.0518098958223903e-15,6.665997450112143e-17,1.3249760110647963e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
0.9696969696969697,0.001,0.0,0.2450648870821368,99.75493511291786,0.011665679767742448,0.018108131774305494,46.49422223526791,-2.6169143043839563e-14,6.286293872037865e-16,7.92332527880227e-17,1.5730783383081878e-17,5.2271585999168955e-12,7.104645471114014e-15,6.112816198297042e-16,9.488661049736078e-16,1.202021622268094e-15,7.625911958930717e-17,1.515533125550456e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.0909090909090908,0.001,0.0,0.3092369662579415,99.69076303374206,0.013119214267556382,0.02036820244504019,46.49422223526791,-2.929207836911351e-14,6.281027658983828e-16,7.93119285733235e-17,1.575001904188219e-17,5.2237959829680835e-12,7.998065457107421e-15,6.874468276199544e-16,1.067293808120106e-15,1.3522216048279311e-15,8.586800020084826e-17,1.7063272233144536e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.2121212121212122,0.001,0.0,0.3805931136346601,99.61940688636534,0.01457149811224721,0.022627114997327332,46.49422223526791,-3.238073106779244e-14,6.275453244584901e-16,7.938735601851289e-17,1.5768631272081704e-17,5.220056920845543e-12,8.890888949338696e-15,7.635465010817537e-16,1.1856608258599521e-15,1.502409826566224e-15,9.548621939788502e-17,1.897350624955334e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.3333333333333335,0.001,0.0,0.4590544088317756,99.54094559116822,0.016022464916193226,0.024884768050466407,46.49422223526791,-3.543537442920134e-14,6.269628297437895e-16,7.945960510434735e-17,1.5786621745453383e-17,5.215945548977214e-12,9.783075429693539e-15,8.395771616085249e-16,1.3039618458444398e-15,1.652586268564726e-15,1.0511338758744648e-16,2.0885958080824467e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.4545454545454546,0.001,0.0,0.5445424717496223,99.45545752825038,0.017472048749280784,0.027141061100459954,46.49422223526791,-3.8456281374462277e-14,6.263536820528115e-16,7.95287274256938e-17,1.5804006913293822e-17,5.211465974480319e-12,1.067458469734355e-14,9.15535354462313e-16,1.4221916016641015e-15,1.802750910197014e-15,1.147491220178647e-16,2.280055396316719e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.5757575757575757,0.001,0.0,0.6369795421078095,99.36302045789219,0.018920184086290173,0.029395894447592996,46.49422223526791,-4.1443723972499365e-14,6.257143209295886e-16,7.959477003423667e-17,1.5820804783076052e-17,5.206622271993551e-12,1.156537683889457e-14,9.914176461216049e-16,1.5403448690538728e-15,1.9529037290137558e-15,1.2439304659206999e-16,2.4717221560364608e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.696969696969697,0.001,0.0,0.7362885255112701,99.26371147448873,0.020366805759393383,0.0316491691258088,46.49422223526791,-4.4397973114441135e-14,6.250444674046322e-16,7.965778430908624e-17,1.5837026475239727e-17,5.201418481263209e-12,1.2455412199779097e-14,1.0672206217922132e-15,1.658416462192381e-15,2.103044700674347e-15,1.3404479163366948e-16,2.6635889920202874e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.8181818181818183,0.001,0.0,0.8423929529433138,99.15760704705669,0.021811848929206342,0.03390078685124985,46.49422223526791,-4.7319298607664024e-14,6.243438305728995e-16,7.971781934736752e-17,1.5852682659033926e-17,5.1958586092657695e-12,1.3344651364938558e-14,1.1429408838904123e-15,1.776401231005492e-15,2.2531737990236478e-15,1.437039935585766e-16,2.855648940670243e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
1.9393939393939394,0.001,0.0,0.9552170658671457,99.04478293413285,0.023255249027133607,0.03615064994109161,46.49422223526791,-5.020796866391872e-14,6.236239043812283e-16,7.97749387719621e-17,1.5867767473386207e-17,5.1899466257485615e-12,1.4233055125120773e-14,1.218575049021801e-15,1.8942940569132002e-15,2.4032909959470526e-15,1.5337029469184235e-16,3.047895166961558e-17,PROTAC 1,8.54,36000.0,1500,180,360,0,3.2,1.24e-12
