t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,0.0449869823374911,99.95501301766251,0.8204639075215909,0.8589541002334644,0.0036841280740551596,-6.8166528351070704e-18,2.1918038105192124e-17,2.7969266737283545e-21,1.5656517867843846e-22,5.2376426821255156e-14,8.991576642691198e-16,4.299230875413137e-16,4.500919485223354e-16,6.51119793270317e-14,2.548325197043097e-20,1.3216105920882573e-21,ACBI1,9.26,36000.0,360,180,360,0,0.6551285568595507,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.09247603972212914,99.90752396027787,0.9782144586737133,1.033783529800262,3.288149216628944,-1.399167043421378e-17,2.5962961393149255e-17,5.723820171585949e-21,3.867821174690506e-22,5.2351542555185606e-14,1.0819792904598454e-15,5.125843763450257e-16,5.417025696153373e-16,6.517433219661364e-14,5.232615254418828e-20,3.274666191651037e-21,ACBI1,9.26,36000.0,360,180,360,0,0.7906043210907697,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.18886284506901063,99.81113715493099,1.1629779052470948,1.2430307380381913,0.12269738108657835,-2.851694527484346e-17,3.0554163082756906e-17,1.1612232058560288e-20,9.473750328235408e-22,5.2301035869183844e-14,1.3006037592630897e-15,6.094004223494777e-16,6.513481067320123e-16,6.524907073369854e-14,1.067037732112663e-19,8.057885852745504e-21,ACBI1,9.26,36000.0,360,180,360,0,0.9540954763499939,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.38264700277564145,99.61735299722436,1.377395587366024,1.4923759114511619,1.3299437654718416,-5.760768939961793e-17,3.557809738541522e-17,2.3281016186434052e-20,2.2937336382667294e-21,5.2199492970545566e-14,1.5607512258544844e-15,7.217552877797965e-16,7.820049776004089e-16,6.533838883727489e-14,2.157177565115165e-19,1.9656802817939825e-20,ACBI1,9.26,36000.0,360,180,360,0,1.151395399326447,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,0.7676146856542658,99.23238531434573,1.6227347765928606,1.7871678020763826,0.5667570015289614,-1.1504998984643989e-16,4.0677461637050625e-17,4.589003422181774e-20,5.462610354740708e-21,5.199776990471717e-14,1.867586674166228e-15,8.50313022934659e-16,9.364759282880246e-16,6.544458590973931e-14,4.3131388715260676e-19,4.7423967091003333e-20,ACBI1,9.26,36000.0,360,180,360,0,1.3894954943731375,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,1.520668161504588,98.47933183849541,1.897043061708389,2.1306492499876115,4.392823104649746,-2.2629377893011695e-16,4.497874531075245e-17,8.81568345454911e-20,1.2690558664077973e-20,5.16031698833716e-14,2.2236952585956425e-15,9.940505643351959e-16,1.1164602069935085e-15,6.556970948430793e-14,8.4993552942350855e-19,1.1276120918322517e-19,ACBI1,9.26,36000.0,360,180,360,0,1.6768329368110073,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,2.963785674192522,97.03621432580748,2.1916239854152453,2.520028309962424,3.5913594046206643,-4.3581030359935007e-16,4.658538669069209e-17,1.6247345021316898e-19,2.8338061298422784e-20,5.0846976306723125e-14,2.624714681669553e-15,1.1484109683575887e-15,1.3204948344203103e-15,6.571472183868846e-14,1.6419796470206954e-18,2.6284804978146366e-19,ACBI1,9.26,36000.0,360,180,360,0,2.0235896477251565,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,5.652006075181873,94.34799392481813,2.4848344003055556,2.9386074138876017,51.6150487322367,-8.141915972034637e-16,4.1777751357695164e-17,2.7880108058038185e-19,5.916284695837899e-20,4.9438348816604704e-14,3.0508024362191433e-15,1.3020532257601112e-15,1.5398302848771033e-15,6.587775428068967e-14,3.084324209842231e-18,5.957455898304862e-19,ACBI1,9.26,36000.0,360,180,360,0,2.442053094548651,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,10.460728337673203,89.5392716623268,2.7328032976798085,3.3420887225617815,14.823280480582124,-1.4536322915654155e-15,2.4208138785380602e-17,4.180019139848943e-19,1.0907623538939326e-19,4.691857835105924e-14,3.452254742590909e-15,1.4319889279842198e-15,1.7512544906223734e-15,6.605085566982475e-14,5.560484601278276e-18,1.2959645370049519e-18,ACBI1,9.26,36000.0,360,180,360,0,2.9470517025518097,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,18.564297884925622,81.43570211507438,2.860337239451317,3.6405402185590447,49.27203178764542,-2.420840849628338e-15,-1.441783674862255e-17,4.587409969409566e-19,1.5314924746144311e-19,4.2672307908298975e-14,3.731684742871749e-15,1.49881671347249e-15,1.9076430745249395e-15,6.621496580350871e-14,9.426694607774258e-18,2.651330763387773e-18,ACBI1,9.26,36000.0,360,180,360,0,3.5564803062231287,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,31.048968580447465,68.95103141955254,2.765732045560356,3.6909218774472645,48.85455417132836,-3.617407954821245e-15,-7.827530962924269e-17,6.169809304387083e-20,6.6589332862543e-20,3.613034046384553e-14,3.739895880343244e-15,1.4492435918736265e-15,1.9340430637823668e-15,6.633488213275756e-14,1.4567705301213584e-17,4.945431925426265e-18,ACBI1,9.26,36000.0,360,180,360,0,4.291934260128776,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,47.84315861684707,52.15684138315293,2.368484598049897,3.3426750026075474,74.96699490492597,-4.5630935087507e-15,-1.519452542059978e-16,-1.271514130725614e-18,-4.460449959004472e-19,2.733018488477214e-14,3.3301568264963242e-15,1.241085929378146e-15,1.751561701366355e-15,6.636144149559398e-14,1.9639097278537827e-17,8.049274051548835e-18,ACBI1,9.26,36000.0,360,180,360,0,5.17947467923121,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,66.2950552367697,33.7049447632303,1.7146569533725415,2.583587834092315,83.32546488830187,-4.4380347433179e-15,-1.8818919611343512e-16,-3.3816840960105255e-18,-1.5726394419701118e-18,1.766139105593268e-14,2.5121973355803083e-15,8.984802435672118e-16,1.353800025064373e-15,6.62542706172599e-14,2.197748788256967e-17,1.0877106900409476e-17,ACBI1,9.26,36000.0,360,180,360,0,6.25055192527397,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,81.53094629081805,18.46905370918195,1.0388576778156953,1.6876051372501846,79.23429479237463,-2.9659491590498803e-15,-1.461464366788428e-16,-4.369497260856227e-18,-2.5021573336824312e-18,9.677784143611341e-15,1.5861268636632933e-15,5.443614231754244e-16,8.843050919190968e-16,6.602571854499329e-14,2.010602984635841e-17,1.2014978321051024e-17,ACBI1,9.26,36000.0,360,180,360,0,7.543120063354615,2.49e-11,0.1,5.240000000000001e-15
