t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,alpha
6.0,0.0001,0.0,99.99514190166379,0.004983289776774632,0.005642075243200767,0.02375690860819679,PROTAC 1,8.54,3.2
6.0,0.00013257113655901095,0.0,99.99355652978495,0.006605382634052003,0.007478880303910825,0.02193285076145246,PROTAC 1,8.54,3.2
6.0,0.00017575106248547912,0.0,99.99145248581019,0.008755035416362193,0.009913283950115884,0.037991524523917075,PROTAC 1,8.54,3.2
6.0,0.00023299518105153718,0.0,99.98865909105584,0.011603493240170328,0.013139422412222627,0.04547943504004115,PROTAC 1,8.54,3.2
6.0,0.00030888435964774815,0.0,99.98494875559108,0.015377331977977485,0.017414277675597653,0.06557214415396917,PROTAC 1,8.54,3.2
6.0,0.00040949150623804275,0.0,99.98001744197728,0.020376141201314233,0.023077852204083253,0.3264048614127213,PROTAC 1,8.54,3.2
6.0,0.0005428675439323859,0.0,99.97345800836408,0.026995708232220007,0.030579688798536085,0.11134881714723877,PROTAC 1,8.54,3.2
6.0,0.0007196856730011522,0.0,99.96472353766296,0.03575829704830156,0.040513627532761,-0.5130023519050786,PROTAC 1,8.54,3.2
6.0,0.0009540954763499944,0.0,99.95307638254025,0.04735198184149498,0.05366317081590034,0.21360542530548532,PROTAC 1,8.54,3.2
6.0,0.0012648552168552957,0.0,99.93751650201303,0.06268136029608688,0.07106035250767902,0.273647993072057,PROTAC 1,8.54,3.2
6.0,0.0016768329368110084,0.0,99.91667923579162,0.08293223943450223,0.09406150032525286,0.33806530738260676,PROTAC 1,8.54,3.2
6.0,0.0022229964825261957,0.0,99.88868711639624,0.10965284842397165,0.12444355818243982,0.3455713187969556,PROTAC 1,8.54,3.2
6.0,0.0029470517025518097,0.0,99.85093124463744,0.1448533593703585,0.16452429179551878,0.557019628299571,PROTAC 1,8.54,3.2
6.0,0.003906939937054617,0.0,99.79974281157588,0.1911231289552478,0.21730787824427653,0.7697927450440512,PROTAC 1,8.54,3.2
6.0,0.005179474679231213,0.0,99.7298907992979,0.25175939992350876,0.286652277028418,0.6503212395220559,PROTAC 1,8.54,3.2
6.0,0.006866488450042998,0.0,99.6338022489078,0.3308888132663722,0.37744260936828444,0.8397418133671786,PROTAC 1,8.54,3.2
6.0,0.009102981779915217,0.0,99.50034068148156,0.43353717385499835,0.4957275292335147,2.1408401729459348,PROTAC 1,8.54,3.2
6.0,0.012067926406393288,0.0,99.31289437384329,0.5655494555297975,0.6487157305576119,4.9776836470827535,PROTAC 1,8.54,3.2
6.0,0.015998587196060572,0.0,99.04646213901968,0.7331550056989796,0.8444021371412613,4.649389922834946,PROTAC 1,8.54,3.2
6.0,0.021209508879201904,0.0,98.66353003570929,0.9417593151291845,1.0903207605002838,6.821985902267169,PROTAC 1,8.54,3.2
6.0,0.028117686979742307,0.0,98.10947325000727,1.1931704413737745,1.3903995691628899,6.282422937729171,PROTAC 1,8.54,3.2
6.0,0.03727593720314938,0.0,97.31178500479953,1.4800710270122837,1.7381974311431898,10.474746304004912,PROTAC 1,8.54,3.2
6.0,0.04941713361323833,0.0,96.19682042293118,1.7777018177272623,2.105800661988029,15.21671859227337,PROTAC 1,8.54,3.2
6.0,0.0655128556859551,0.0,94.74626265335156,2.0411600190314183,2.4381317809045764,19.573813370774918,PROTAC 1,8.54,3.2
6.0,0.08685113737513521,0.0,93.07158193703839,2.228937885569591,2.6804360173869335,18.742627032468427,PROTAC 1,8.54,3.2
6.0,0.1151395399326447,0.0,91.38701875109142,2.3375411451434336,2.8241905534409266,21.79544062386278,PROTAC 1,8.54,3.2
6.0,0.15264179671752334,0.0,89.87534396092784,2.3916083151213243,2.898188446096385,22.58485954954671,PROTAC 1,8.54,3.2
6.0,0.20235896477251575,0.0,88.62197288935812,2.4145117264821736,2.9313924357071546,28.427316328695763,PROTAC 1,8.54,3.2
6.0,0.2682695795279725,0.0,87.6415672010728,2.419821680658521,2.941004513286805,19.349374940400864,PROTAC 1,8.54,3.2
6.0,0.35564803062231287,0.0,86.91774222499372,2.414109325278955,2.9354877004007722,33.95190444735932,PROTAC 1,8.54,3.2
6.0,0.47148663634573945,0.0,86.42636876534677,2.4001239471007363,2.918451492384807,90.33904762852455,PROTAC 1,8.54,3.2
6.0,0.6250551925273969,0.0,86.14610775839016,2.3785672787803698,2.8908785435596873,28.551264464986915,PROTAC 1,8.54,3.2
