t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
0.0,0.001,0.0,100.0,0.0,0.0,1.1562016899446803e-06,0.0,0.0,0.0,0.0,4e-13,0.0,0.0,0.0,0.0,0.0,0.0,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
0.4897959183673469,0.001,0.0,99.99999997662644,0.010855500700518566,0.010922053782337583,1.1562016899446803e-06,-3.1737422080159746e-22,4.4766390624311615e-17,9.575491139606693e-25,6.303063721145239e-26,3.999999999065058e-13,1.2056245848544447e-17,4.342200280207427e-17,4.368821512935033e-17,6.9228699732228885e-15,9.07567203787613e-25,6.003069042160786e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
0.9795918367346939,0.001,0.0,99.99999993170319,0.01398177977380187,0.014067632585249514,1.1562016899446803e-06,-3.9613117274175402e-22,1.2821988373251782e-17,2.766229812142286e-25,1.822586835982884e-26,3.9999999972681276e-13,1.560102057128169e-17,5.592711909520747e-17,5.627053034099806e-17,8.919426959539246e-15,1.1762519220910342e-24,7.772203594807408e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
1.4693877551020407,0.001,0.0,99.99999988235076,0.014876920774946652,0.014968309914391388,1.1562016899446803e-06,-4.0424003052717413e-22,3.670119719205253e-18,7.93736409800964e-26,5.2311065513587994e-27,3.9999999952940306e-13,1.6616010664228167e-17,5.95076830997866e-17,5.987323965756555e-17,9.492056304405747e-15,1.2536105679308814e-24,8.281858230208454e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
1.9591836734693877,0.001,0.0,99.99999983346784,0.01513311944032829,0.015226093976576711,1.1562016899446803e-06,-3.926695760817946e-22,1.0503307666262956e-18,2.273140121714617e-26,1.4982250206060544e-27,3.9999999933387137e-13,1.6906513189609328e-17,6.053247776131316e-17,6.090437590630685e-17,9.656027717358064e-15,1.2757864549288434e-24,8.427981497752786e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
2.4489795918367347,0.001,0.0,99.99999978638036,0.015206437585783961,0.01529986589498699,1.1562016899446803e-06,-3.7612085458221016e-22,3.0057256627291503e-19,6.506335694515728e-27,4.2884158214964125e-28,3.9999999914552143e-13,1.698964845571918e-17,6.082575034313584e-17,6.119946357994797e-17,9.702959027627576e-15,1.2821355534879915e-24,8.469819489475178e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
2.9387755102040813,0.001,0.0,99.99999974138848,0.015227418832976458,0.015320977002756964,1.1562016899446803e-06,-3.587785036970939e-22,8.601346137206041e-20,1.8619948108777913e-27,1.2272742177587773e-28,3.999999989655539e-13,1.701343905283292e-17,6.090967533190584e-17,6.128390801102786e-17,9.716389761838538e-15,1.2839526923471007e-24,8.481793860472694e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
3.4285714285714284,0.001,0.0,99.99999969850285,0.015233422925454352,0.01532701825721189,1.1562016899446803e-06,-3.418111272438614e-22,2.46139380002521e-20,5.328442492529373e-28,3.512078450652338e-29,3.999999987940114e-13,1.702024708317269e-17,6.093369170181741e-17,6.130807302884756e-17,9.720233210316536e-15,1.284472712629852e-24,8.485220643012393e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
3.9183673469387754,0.001,0.0,99.99999965765441,0.015235141076629027,0.015328747042820216,1.1562016899446803e-06,-3.2552454874335285e-22,7.043582765150308e-21,1.5248071184380635e-28,1.0050300751536127e-29,3.9999999863061765e-13,1.7022195292043896e-17,6.094056430651611e-17,6.131498817128087e-17,9.721333070712778e-15,1.2846215249595637e-24,8.486201274091724e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
4.408163265306122,0.001,0.0,99.99999961875469,0.015235632745095007,0.01532924175445342,1.1562016899446803e-06,-3.0997903318560563e-22,2.0155839909987693e-21,4.3633792930121926e-29,2.8759887409252096e-30,3.9999999847501874e-13,1.702275279420456e-17,6.094253098038002e-17,6.131696701781368e-17,9.721647811185966e-15,1.284664109435864e-24,8.486481893805145e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
4.8979591836734695,0.001,0.0,99.99999958171331,0.015235773438762036,0.015329383318940114,1.1562016899446803e-06,-2.951689371723307e-22,5.767552161994539e-22,1.2485743738191236e-29,8.229597393892128e-31,3.999999983268533e-13,1.7022912326613177e-17,6.094309375504815e-17,6.131753327576046e-17,9.72173787846308e-15,1.2846762952402307e-24,8.486562194828441e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
5.387755102040816,0.001,0.0,99.99999954644211,0.015235813696392044,0.01532942382574383,1.1562016899446803e-06,-2.810604607925136e-22,1.6501647375257692e-22,3.572336453985094e-30,2.3545960587083785e-31,3.9999999818576846e-13,1.7022957974759728e-17,6.094325478556817e-17,6.131769530297532e-17,9.721763652419403e-15,1.2846797820562142e-24,8.48658517196086e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
5.877551020408163,0.001,0.0,99.9999995128568,0.015235825213089294,0.015329435413723587,1.1562016899446803e-06,-2.676261212438855e-22,4.719342063911702e-23,1.0216717931810288e-30,6.734030977668622e-32,3.9999999805142724e-13,1.7022971033605588e-17,6.094330085235718e-17,6.131774165489435e-17,9.721771027982624e-15,1.284680779554932e-24,8.486591745191153e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
6.36734693877551,0.001,0.0,99.99999948087697,0.015235828505341586,0.015329438726353402,1.1562016899446803e-06,-2.5483444784932124e-22,1.3477833716107547e-23,2.9179258654642416e-31,1.9232404133125545e-32,3.999999979235079e-13,1.702297476676285e-17,6.094331402136634e-17,6.131775490541361e-17,9.721773138591127e-15,1.2846810647153948e-24,8.48659362431244e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
6.857142857142857,0.001,0.0,99.99999945042535,0.015235829444218389,0.015329439671041566,1.1562016899446803e-06,-2.42654205334005e-22,3.831061965438772e-24,8.295520057481722e-32,5.467835482736887e-33,3.999999978017014e-13,1.7022975831427782e-17,6.094331777687355e-17,6.131775868416627e-17,9.721773742560697e-15,1.2846811460441722e-24,8.486594160240382e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
7.346938775510204,0.001,0.0,99.99999942142944,0.015235829709799677,0.015329439938266867,1.1562016899446803e-06,-2.3105557321726534e-22,1.0716391407501566e-24,2.3219492892018612e-32,1.5303996052225526e-33,3.999999976857178e-13,1.7022976132640507e-17,6.094331883919871e-17,6.131775975306747e-17,9.721773915385312e-15,1.2846811690568038e-24,8.486594311881558e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
7.836734693877551,0.001,0.0,99.99999939381952,0.015235829782856144,0.015329440011775702,1.1562016899446803e-06,-2.2001197531823682e-22,2.832326194105521e-25,6.150280483050274e-33,4.053104521635247e-34,3.999999975752781e-13,1.702297621554628e-17,6.094331913142458e-17,6.131776004710281e-17,9.721773964832457e-15,1.2846811753939464e-24,8.486594353636209e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
8.326530612244898,0.001,0.0,99.99999936752918,0.015235829800959734,0.015329440029991523,1.1562016899446803e-06,-2.094957822032266e-22,5.866600779947621e-26,1.2891881644338192e-33,8.482367235533627e-35,3.999999974701168e-13,1.7022976236137863e-17,6.094331920383894e-17,6.13177601199661e-17,9.72177397897392e-15,1.2846811769710398e-24,8.486594364023721e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
8.816326530612244,0.001,0.0,99.9999993424955,0.015235829803471632,0.015329440032519143,1.1562016899446803e-06,-1.9948212075195225e-22,-4.341890422336449e-27,-7.927533901945507e-35,-5.360254239749631e-36,3.9999999736998203e-13,1.7022976239047e-17,6.094331921388653e-17,6.131776013007657e-17,9.721773983012508e-15,1.2846811771972666e-24,8.486594365509648e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
9.306122448979592,0.001,0.0,99.99999931865837,0.015235829801649517,0.015329440030685914,1.1562016899446803e-06,-1.8994750185656664e-22,-2.1406529524077376e-26,-4.493209606583112e-34,-2.981053673685321e-35,3.9999999727463346e-13,1.702297623703888e-17,6.094331920659807e-17,6.131776012274366e-17,9.721773984160537e-15,1.2846811770477e-24,8.486594364519435e-26,ACBI1,9.26,36000.0,50,180,360,0,1,2.49e-11
