t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0005,0.0,34.875777677143525,0.06037624178936953,0.14735312426973024,99.33940666661888,1.395031107085741e-13,7.706456050891018e-16,2.4150496715747815e-16,5.894124970789209e-16,5.662654053727708e-15,ACBI1,0.1,36000.0,360,0.5857020818056667
6.0,0.0005,0.0,32.38358627968918,0.05821093183455388,0.1502076067109884,99.33708318129322,1.2953434511875673e-13,7.469233700216105e-16,2.328437273382155e-16,6.008304268439537e-16,5.6177884835111075e-15,ACBI1,0.1,36000.0,360,0.6428073117284322
6.0,0.0005,0.0,29.863482427228632,0.055622560778016444,0.15205157107753853,99.63052188139542,1.1945392970891454e-13,7.164421311084156e-16,2.224902431120658e-16,6.082062843101541e-16,5.572227160113738e-15,ACBI1,0.1,36000.0,360,0.7054802310718644
6.0,0.0005,0.0,27.357527882398326,0.05268923126966229,0.15287882206395742,99.66529908806636,1.0943011152959329e-13,6.802874341304998e-16,2.1075692507864917e-16,6.115152882558297e-16,5.5267101020133925e-15,ACBI1,0.1,36000.0,360,0.7742636826811272
6.0,0.0005,0.0,24.90575804510429,0.04949897864576766,0.15272546917384125,99.67066437369839,9.962303218041716e-14,6.39739345421602e-16,1.9799591458307065e-16,6.10901876695365e-16,5.481951503610071e-15,ACBI1,0.1,36000.0,360,0.8497534359086445
6.0,0.0005,0.0,22.54395979027466,0.046143675496010145,0.1516665364904653,99.66652394561798,9.017583916109864e-14,5.961726777691854e-16,1.845747019840406e-16,6.066661459618612e-16,5.438601988658416e-15,ACBI1,0.1,36000.0,360,0.9326033468832199
6.0,0.0005,0.0,20.3019763512754,0.042713066424532466,0.14980941947765142,98.53576723311056,8.12079054051016e-14,5.509568159454562e-16,1.7085226569812986e-16,5.992376779106056e-16,5.3972191852030906e-15,ACBI1,0.1,36000.0,360,1.0235310218990263
6.0,0.0005,0.0,18.202671832468265,0.03928960297816953,0.14728514077444757,135.16378391761103,7.281068732987306e-14,5.053672946792851e-16,1.5715841191267813e-16,5.891405630977903e-16,5.358248885597238e-15,ACBI1,0.1,36000.0,360,1.1233240329780276
6.0,0.0005,0.0,16.261580937506686,0.035944558651849784,0.14423858796270037,99.04968531035962,6.504632375002674e-14,4.605180188670786e-16,1.4377823460739915e-16,5.769543518508014e-16,5.322017348218306e-15,ACBI1,0.1,36000.0,360,1.2328467394420666
6.0,0.0005,0.0,14.487173770080222,0.03273565527310661,0.14081891667557592,99.60111796255218,5.794869508032089e-14,4.173186089684166e-16,1.3094262109242645e-16,5.632756667023037e-16,5.28873375300546e-15,ACBI1,0.1,36000.0,360,1.3530477745798075
