,t,degradation,Ternary,all_Ternary,PS_cell
0,0.0,100.0,0.0,0.0,2.49e-13
1,0.6206896551724138,98.32789625916057,0.32232026761749033,0.6147590714402469,2.49e-13
2,1.2413793103448276,93.61447188354694,0.6008212054423713,1.1472961365994012,2.49e-13
3,1.8620689655172415,86.61838229204768,0.8152494178922718,1.5574244186253658,2.49e-13
4,2.4827586206896552,78.18419377142777,0.9590250813580312,1.8325190605560717,2.49e-13
5,3.103448275862069,69.1185952478333,1.0358715939583203,1.979659279186521,2.49e-13
6,3.724137931034483,60.10191116855318,1.056571031480971,2.019430550565127,2.49e-13
7,4.344827586206897,51.64097689859397,1.035406501873507,1.9791243019716416,2.49e-13
8,4.9655172413793105,44.059723902377186,0.9870925938419588,1.886867859885046,2.49e-13
9,5.586206896551724,37.51761574969545,0.9246251887886612,1.7675105293300912,2.49e-13
10,6.206896551724138,32.0440404574679,0.8581363726543043,1.6404309460285156,2.49e-13
11,6.827586206896552,27.57792708951091,0.7946002392203291,1.5189717074053093,2.49e-13
12,7.448275862068966,24.00478660824106,0.7381221278595176,1.4109903275141253,2.49e-13
13,8.068965517241379,21.186735610923165,0.690534876242845,1.3199980721301674,2.49e-13
14,8.689655172413794,18.983944222027265,0.6520797051297161,1.2464613322622637,2.49e-13
15,9.310344827586206,17.267959073902954,0.6220269962942937,1.1889885638550999,2.49e-13
16,9.931034482758621,15.928438327825662,0.5991654729805055,1.1452658784194487,2.49e-13
17,10.551724137931036,14.875178898546865,0.5821427515914589,1.1127085483283563,2.49e-13
18,11.172413793103448,14.037197525060524,0.5696732005403394,1.088858788157951,2.49e-13
19,11.793103448275863,13.36026812057719,0.5606436334495906,1.0715881274245342,2.49e-13
20,12.413793103448276,12.803895642342738,0.554149407249036,1.0591666354978442,2.49e-13
21,13.03448275862069,12.338332764030932,0.5494888755207119,1.0502524474983577,2.49e-13
22,13.655172413793103,11.941955571070274,0.5461369475591701,1.0438412829507089,2.49e-13
23,14.275862068965518,11.599117092569887,0.5437113900669598,1.0392020490194163,2.49e-13
24,14.896551724137932,11.298480390815516,0.5419397669440387,1.0358136396880129,2.49e-13
25,15.517241379310345,11.031773504332534,0.5406308351283851,1.0333102419805276,2.49e-13
26,16.137931034482758,10.792886644885236,0.5396516416075834,1.031437537181832,2.49e-13
27,16.758620689655174,10.577231975683372,0.5389101482909912,1.0300194699339107,2.49e-13
28,17.379310344827587,10.381296852469708,0.5383425681604583,1.0289340260512534,2.49e-13
29,18.0,10.202335268648682,0.537904412300321,1.0280961071400359,2.49e-13
0,0.0,100.0,0.0,0.0,2.49e-12
1,0.6206896551724138,86.30999516811771,2.302638469734594,4.396032728580941,2.49e-12
2,1.2413793103448276,60.41692042236645,2.6120839191617584,4.993806157976661,2.49e-12
3,1.8620689655172415,38.33547201012941,2.052912156158003,3.9265148834473615,2.49e-12
4,2.4827586206896552,24.03067683069894,1.4449323600656574,2.7638995608672055,2.49e-12
5,3.103448275862069,15.954014617869644,1.027966321271171,1.9660938139948674,2.49e-12
6,3.724137931034483,11.718355365377352,0.7888791776013265,1.5085094398970382,2.49e-12
7,4.344827586206897,9.576656238100819,0.663649176119335,1.2687994138412115,2.49e-12
8,4.9655172413793105,8.504671665531548,0.6011065451808036,1.1490741851886894,2.49e-12
9,5.586206896551724,7.961909131950404,0.5705234495591196,1.0905276604023244,2.49e-12
10,6.206896551724138,7.678609753271476,0.5555829280555911,1.061926894591329,2.49e-12
11,6.827586206896552,7.523814623821727,0.5481602938245853,1.0477184807463003,2.49e-12
12,7.448275862068966,7.434450516146658,0.5443474865917126,1.0404206649861234,2.49e-12
13,8.068965517241379,7.379870199265996,0.5422937985274371,1.0364903126570524,2.49e-12
14,8.689655172413794,7.344808801246755,0.5411235097377132,1.0342509018994512,2.49e-12
15,9.310344827586206,7.32135464891936,0.5404168734161566,1.0328988836144237,2.49e-12
16,9.931034482758621,7.305188881236889,0.5399672520574108,1.0320387074773982,2.49e-12
17,10.551724137931036,7.293812522529045,0.5396687311562387,1.0314676504645877,2.49e-12
18,11.172413793103448,7.285694426496264,0.5394641352272874,1.031076290884348,2.49e-12
19,11.793103448275863,7.279848377202676,0.5393207465381691,1.0308020222084473,2.49e-12
20,12.413793103448276,7.27561354551386,0.5392187265060034,1.030606887284703,2.49e-12
21,13.03448275862069,7.272534116044955,0.539145412704375,1.0304666616006437,2.49e-12
22,13.655172413793103,7.270289286833859,0.5390923832389272,1.0303652344933267,2.49e-12
23,14.275862068965518,7.2686501969778705,0.5390538623282761,1.0302915578138847,2.49e-12
24,14.896551724137932,7.26745210705643,0.5390258024035027,1.0302378895140931,2.49e-12
25,15.517241379310345,7.266575734982517,0.5390053249623729,1.0301987238418404,2.49e-12
26,16.137931034482758,7.265934379370675,0.5389903626927482,1.0301701066896052,2.49e-12
27,16.758620689655174,7.265464859792401,0.5389794211637762,1.0301491797220919,2.49e-12
28,17.379310344827587,7.265121057750915,0.5389714153961424,1.0301338677608998,2.49e-12
29,18.0,7.264869271019616,0.5389655554168532,1.0301226598773126,2.49e-12
0,0.0,100.0,0.0,0.0,2.49e-11
1,0.6206896551724138,56.059465557437235,4.057535019192052,7.766228230675466,2.49e-11
2,1.2413793103448276,28.018689662068986,2.078648406702685,3.9785062188588975,2.49e-11
3,1.8620689655172415,16.026817282067555,1.1900183256956018,2.2768579490250653,2.49e-11
4,2.4827586206896552,10.962101249357667,0.813746235767035,1.5563151688692471,2.49e-11
5,3.103448275862069,8.82465236197753,0.6549135547932846,1.2521578590448617,2.49e-11
