,t,degradation,Ternary,all_Ternary,Dmax,PROTAC,initial_BPD_ec_conc
0,6,99.99965620388552,0.005093005292730339,0.005642280509674625,0.0012925324602508503,PROTAC 1,0.0001
0,6,99.99954425667846,0.0067511573893711905,0.007479262556075706,0.001791069765078035,PROTAC 1,0.00013257113655901095
0,6,99.99939587056892,0.008948859430034957,0.00991398444144573,0.002284643876027115,PROTAC 1,0.00017575106248547912
0,6,99.99919919487917,0.011861447423231936,0.013140691981890223,0.0022793438444135283,PROTAC 1,0.00023299518105153718
0,6,99.99893853262402,0.015721061087250566,0.017416560927203978,0.004243423956085124,PROTAC 1,0.00030888435964774815
0,6,99.99859309805638,0.020834912854302435,0.023081936260906672,0.00830372291699133,PROTAC 1,0.00040949150623804275
0,6,99.99813537746238,0.027609329217115383,0.03058696638619339,0.001916993320194571,PROTAC 1,0.0005428675439323859
0,6,99.9975289700118,0.036581307119880176,0.04052656285016782,0.04051380358121026,PROTAC 1,0.0007196856730011522
0,6,99.99672575014606,0.04845978822023329,0.05368612600897824,0.016800139678208037,PROTAC 1,0.0009540954763499944
0,6,99.99566214980553,0.06417937778878646,0.07110105748538459,0.01668560401183461,PROTAC 1,0.0012648552168552957
0,6,99.99425430839051,0.08496977199556519,0.09413367517114175,0.022987046146449863,PROTAC 1,0.0016768329368110084
0,6,99.9923917840947,0.11244457691104326,0.12457161136517278,0.07854750946767464,PROTAC 1,0.0022229964825261957
0,6,99.98992947164177,0.14871320798216658,0.16475178067433222,0.04526606181557424,PROTAC 1,0.0029470517025518097
0,6,99.98667735136436,0.19651850715444677,0.21771283933429267,0.19892130246990103,PROTAC 1,0.003906939937054617
0,6,99.98238775375421,0.2593992351845767,0.28737520277148093,0.06916979516140564,PROTAC 1,0.005179474679231213
0,6,99.97674011462574,0.3418678557718304,0.3787380047410938,0.09275853454013827,PROTAC 1,0.006866488450042998
0,6,99.96932355655744,0.4495726835860738,0.498058735097921,0.10825591797622991,PROTAC 1,0.009102981779915217
0,6,99.95962035538885,0.5893695659891258,0.6529326567335115,0.16385401892407003,PROTAC 1,0.012067926406393288
0,6,99.94699517451936,0.7691196216879582,0.852068739384498,0.14067558244943434,PROTAC 1,0.015998587196060572
0,6,99.9307059776157,0.9968036600164746,1.1043085878136936,0.347889412006408,PROTAC 1,0.021209508879201904
0,6,99.90997063474425,1.2780547369041166,1.4158929211592997,0.2593779856708611,PROTAC 1,0.028117686979742307
0,6,99.8841636725587,1.6104256310616905,1.7841108554369827,0.1863545589465443,PROTAC 1,0.03727593720314938
0,6,99.8532681565782,1.9729996843010218,2.1857902806797207,0.6294345433165205,PROTAC 1,0.04941713361323833
0,6,99.81860471995749,2.3185260464615323,2.568584531935829,0.09424729012741384,PROTAC 1,0.0655128556859551
0,6,99.78316742150577,2.5938681679096987,2.873625552745424,0.4841061938306912,PROTAC 1,0.08685113737513521
0,6,99.75041388577435,2.7824249093665014,3.0825206978873596,0.5257180213487755,PROTAC 1,0.1151395399326447
0,6,99.72250342860369,2.902524700435385,3.215574880627829,0.9116563433055669,PROTAC 1,0.15264179671752334
0,6,99.70000895264008,2.9766133167306355,3.297654929043945,1.4316845710818482,PROTAC 1,0.20235896477251575
0,6,99.68261628317946,3.0192437074531506,3.3448835903509617,0.27871877187429783,PROTAC 1,0.2682695795279725
0,6,99.66972498987397,3.038276371676362,3.36596927250469,0.8318795513113875,PROTAC 1,0.35564803062231287
0,6,99.66074089244738,3.037539850434733,3.3651535058031112,0.8290050161491647,PROTAC 1,0.47148663634573945
0,6,99.65519734923983,3.018461860317309,3.3440180272960354,1.4000211700437193,PROTAC 1,0.6250551925273969
0,6,99.65276960501956,2.980923117253302,3.3024307073844366,0.20011149008303253,PROTAC 1,0.8286427728546842
0,6,99.65327921115572,2.9237554032741997,3.239097341896372,1.2941525808973342,PROTAC 1,1.0985411419875573
0,6,99.65667922311853,2.845128215950029,3.151990006112368,0.8637687834308738,PROTAC 1,1.4563484775012443
0,6,99.66301086799794,2.74296445153615,3.0388075719068794,0.7106875676574864,PROTAC 1,1.9306977288832496
0,6,99.67236585240747,2.6154670986964836,2.8975592075792376,0.5569278170537428,PROTAC 1,2.559547922699533
0,6,99.68483660648882,2.4617690076107297,2.727284227243957,0.827961264344812,PROTAC 1,3.39322177189533
0,6,99.70043463548915,2.282636195974007,2.5288312520841147,0.4951221244597459,PROTAC 1,4.498432668969444
0,6,99.71902934583514,2.0810636670294365,2.3055182921432293,0.49881737218524513,PROTAC 1,5.963623316594637
0,6,99.74028630986189,1.8625245533528605,2.063408765199314,0.4976901442637516,PROTAC 1,7.9060432109077015
0,6,99.76364720739402,1.6346674647802186,1.8109762070352284,3.1526860695286096,PROTAC 1,10.481131341546853
0,6,99.78834790184197,1.4064159026980885,1.5581065573783732,16.498286169455046,PROTAC 1,13.89495494373136
0,6,99.8135197217646,1.1866736960638882,1.3146639725542781,0.18742016648887194,PROTAC 1,18.420699693267164
