t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
1.0,0.001,0.0,6.460844588218606e-07,99.99999935391554,0.043100494075710774,0.04332722795328054,1.110401174342357e-05,-7.402047182751993e-22,1.904677301908031e-17,2.7157763018702213e-24,1.987442733133246e-26,5.2399999661451743e-14,4.516646572178235e-17,2.2584658895672445e-17,2.2703467447519006e-17,2.1204237075568787e-14,2.1501651069359384e-24,1.5138821631488504e-26,ACBI1,9.26,36000.0,360,180,360,0,0.1,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,1.3645813652374272e-06,99.99999863541863,0.05194260002037222,0.05227240158869467,4.278891033715482e-05,-1.5631931728845474e-21,2.2949004594681186e-17,5.733807869114992e-24,5.0638988448894845e-26,5.239999928495937e-14,5.449081965108905e-17,2.7217922410675048e-17,2.7390738432476012e-17,2.1204964222273412e-14,4.540824355900599e-24,3.858178984092554e-26,ACBI1,9.26,36000.0,360,180,360,0,0.12067926406393285,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,2.8796193589641916e-06,99.99999712038064,0.06258113300138597,0.06306073408896794,4.923030108017201e-05,-3.2982883047598882e-21,2.764165967582184e-17,1.2094405522632638e-23,1.289035820155304e-25,5.239999849107946e-14,6.573620525745993e-17,3.279251369272625e-17,3.30438246626192e-17,2.1205841223969554e-14,9.581056428965306e-24,9.823978196586854e-26,ACBI1,9.26,36000.0,360,180,360,0,0.14563484775012436,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,6.070435617289149e-06,99.99999392956438,0.07537312903251042,0.07607035968267867,0.00035948808916330677,-6.951865981529646e-21,3.328074447594657e-17,2.548207246307261e-23,3.2775649939628207e-25,5.239999681909174e-14,7.929660391664034e-17,3.949551961303546e-17,3.9860868473723624e-17,2.120689883601957e-14,2.0194326048790763e-23,2.498782043906462e-25,ACBI1,9.26,36000.0,360,180,360,0,0.1757510624854792,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,1.2780909386833628e-05,99.99998721909061,0.09074299314366105,0.09175623908779343,0.0012325275173141748,-1.463377997128984e-20,4.00511982390693e-17,5.361589133613157e-23,8.322309533864194e-25,5.2399993302803486e-14,9.564597194988373e-17,4.7549328407278395e-17,4.808026928200376e-17,2.1208174067796132e-14,4.2509719974274135e-23,6.347616885881459e-25,ACBI1,9.26,36000.0,360,180,360,0,0.21209508879201905,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,2.6868935236734615e-05,99.99997313106476,0.10919357854304024,0.1106654273590451,0.00908721210487462,-3.075675028480977e-20,4.8171409223442065e-17,1.1262646514222242e-22,2.109707599662808e-24,5.2399985920677933e-14,1.153540881435805e-16,5.721743515655308e-17,5.798868393613963e-17,2.1209711428034466e-14,8.934633973669154e-23,1.609981131543742e-24,ACBI1,9.26,36000.0,360,180,360,0,0.2559547922699536,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,5.63837147922186e-05,99.99994361628521,0.13131832602508245,0.13345521934381838,0.0018279692287292981,-6.452339769833076e-20,5.789803143161528e-17,2.361190410933366e-22,5.337550394462217e-24,5.239997045493345e-14,1.3910535250608486e-16,6.881080283714321e-17,6.993053493616084e-17,2.121156440611599e-14,1.874386241868335e-22,4.075889381794399e-24,ACBI1,9.26,36000.0,360,180,360,0,0.3088843596477481,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,0.00011806279070469827,99.9998819372093,0.1578141712573248,0.16091464079207174,0.0013008575807105238,-1.3505913681399679e-19,6.953089941875388e-17,4.938464949563901e-22,1.3471926397807828e-23,5.2399938135097676e-14,1.6772098408996987e-16,8.26946257388382e-17,8.43192717750456e-17,2.121379722836149e-14,3.923489644026008e-22,1.0295616329018436e-23,ACBI1,9.26,36000.0,360,180,360,0,0.372759372031494,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,0.00024656938806799644,99.99975343061193,0.18949466731629858,0.19398979014258144,0.0019358355794252269,-2.8194593074142546e-19,8.341768971751808e-17,1.029949492487907e-21,3.390609796503012e-23,5.2399870797640657e-14,2.0218506774659384e-16,9.929520567374046e-17,1.0165065003471267e-16,2.1216486932074878e-14,8.190726851663769e-22,2.593674799514525e-23,ACBI1,9.26,36000.0,360,180,360,0,0.44984326689694454,2.49e-11,0.1,5.240000000000001e-15
1.0,0.001,0.0,0.0005133411008984012,99.9994866588991,0.2273023850362941,0.23381354878831967,0.1880350447469814,-5.866920181642519e-19,9.995775389083609e-17,2.140695012261777e-21,8.504288941245214e-23,5.239973100926313e-14,2.436748421155526e-16,1.191064497590181e-16,1.2251829956507951e-16,2.1219725802357784e-14,1.704419700430564e-21,6.512967318138706e-23,ACBI1,9.26,36000.0,360,180,360,0,0.5428675439323859,2.49e-11,0.1,5.240000000000001e-15
