t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.001,0.0,95.41398312235437,4.586016877645636,0.12791621654578111,0.3847447618847731,94.9697635119072,9.85045370676418e-19,2.6835044374747627e-19,6.630884590506751e-20,1.905256680070332e-19,2.4030728438863132e-14,2.18332100718429e-15,6.70280974699893e-16,2.016062552276211e-15,1.0167647725488094e-14,1.3887761697428607e-16,3.6690935304466576e-16,ACBI1,0.1,36000.0,360,180,360,0,0.6551285568595507,2.49e-11
6.0,0.001,0.0,96.30883713593548,3.6911628640645233,0.10733375846331289,0.36729705405724,96.02913238584064,-4.4526740439335325e-18,-7.276429886862598e-20,-1.410149298614431e-20,-4.544622563159583e-20,1.9341693407698103e-14,1.8299365043527737e-15,5.624288943477596e-16,1.9246365632599376e-15,1.0033232409280812e-14,1.4019523148131728e-16,4.469932778863533e-16,ACBI1,0.1,36000.0,360,180,360,0,0.7906043210907697,2.49e-11
6.0,0.001,0.0,96.9375162094073,3.0624837905926903,0.09191371503815852,0.3602148826764919,96.90165347534925,-1.6141738309472642e-18,-3.7758548994007015e-20,-1.0156846883267289e-20,-4.063974177642074e-20,1.6047415062705695e-14,1.5566476450199842e-15,4.816278667999506e-16,1.8875259852248175e-15,9.964633439591873e-15,1.411024240765567e-16,5.429228773882267e-16,ACBI1,0.1,36000.0,360,180,360,0,0.9540954763499939,2.49e-11
6.0,0.001,0.0,97.38331312772495,2.616686872275048,0.08026277515100616,0.36242908195589857,97.36446711107362,-4.6622122910058545e-19,-1.192982081125293e-20,-3.8425678867055425e-21,-1.8612826174461643e-20,1.371143921072125e-14,1.3441001845101815e-15,4.2057694179127226e-16,1.8991283894489085e-15,9.952851651617153e-15,1.4174811750043627e-16,6.581922992976349e-16,ACBI1,0.1,36000.0,360,180,360,0,1.151395399326447,2.49e-11
6.0,0.001,0.0,97.70091744244442,2.2990825575555762,0.07136902295038357,0.37337025562163056,97.69669579410703,-1.5555332859878594e-19,-3.952958519561951e-21,-1.4551992163044618e-21,-8.487976669646032e-21,1.204719260159122e-14,1.1775577627158696e-15,3.7397368026000985e-16,1.956460139457344e-15,9.992318749017394e-15,1.4220954525880412e-16,7.96879166333149e-16,ACBI1,0.1,36000.0,360,180,360,0,1.3894954943731375,2.49e-11
6.0,0.001,0.0,97.92617012653585,2.0738298734641445,0.06451121155087558,0.39296693841423014,97.92705770062923,-6.823187750921072e-20,-1.6207892992202175e-21,-6.593782102493467e-22,-4.615050070537347e-21,1.0866868536952117e-14,1.046100565420129e-15,3.3803874852658803e-16,2.059146757290566e-15,1.008083313282833e-14,1.4253717049495087e-16,9.638657868564692e-16,ACBI1,0.1,36000.0,360,180,360,0,1.6768329368110073,2.49e-11
6.0,0.001,0.0,98.08270695880645,1.9172930411935514,0.05917287825438716,0.4215904768164859,98.09691895080095,-3.9098339375476657e-20,-8.471047399075627e-22,-3.7201839680042313e-22,-3.118013369999886e-21,1.004661553585421e-14,9.41619296038639e-16,3.1006588205298874e-16,2.2091340985183864e-15,1.0219068625246471e-14,1.427649376243167e-16,1.1650137026173021e-15,ACBI1,0.1,36000.0,360,180,360,0,2.0235896477251565,2.49e-11
6.0,0.001,0.0,98.18612840265052,1.8138715973494788,0.05498092737652397,0.46002370536761034,98.1799507145187,-2.8655481926632604e-20,-5.660614430118269e-22,-2.6457883579246153e-22,-2.6537173692769472e-21,9.504687170111268e-15,8.580495645310708e-16,2.881000594529856e-16,2.4105242161262784e-15,1.0410218234843737e-14,1.4291544427353e-16,1.4073616013810907e-15,ACBI1,0.1,36000.0,360,180,360,0,2.442053094548651,2.49e-11
6.0,0.001,0.0,98.24661525760366,1.7533847423963342,0.05166307226440239,0.5094558527156499,98.23448050357791,-2.7086370798324155e-20,-4.93420492908209e-22,-2.4382376022569015e-22,-2.928805700349576e-21,9.187736050156791e-15,7.908177836074082e-16,2.7071449866546857e-16,2.6695486682300056e-15,1.0659834175543826e-14,1.4300348189265313e-16,1.6993613660228239e-15,ACBI1,0.1,36000.0,360,180,360,0,2.9470517025518097,2.49e-11
6.0,0.001,0.0,98.27057781250177,1.7294221874982232,0.049018401133448714,0.5714998156716989,98.29761734601968,-3.361406377165623e-20,-5.737040536793529e-22,-2.997578417361901e-22,-4.32144694682724e-21,9.06217226249069e-15,7.364426091937085e-16,2.5685642193927126e-16,2.994659034119702e-15,1.0975830478696212e-14,1.4303837885504085e-16,2.0511583096609984e-15,ACBI1,0.1,36000.0,360,180,360,0,3.5564803062231287,2.49e-11
6.0,0.001,0.0,98.26169579929656,1.7383042007034402,0.046896978623599,0.6482292590434624,98.25738572072218,-5.403653054426415e-20,-8.737702832314992e-22,-4.83722527240235e-22,-8.390143263518451e-21,9.108714011686027e-15,6.922485342058158e-16,2.457401679876587e-16,3.3967213173877426e-15,1.1368618339407738e-14,1.4302550732044986e-16,2.4749224965300596e-15,ACBI1,0.1,36000.0,360,180,360,0,4.291934260128776,2.49e-11
6.0,0.001,0.0,98.22156803421757,1.778431965782435,0.04518564443701788,0.7422342514894067,98.2065239220576,-1.0782461226501707e-19,-1.6502304212401816e-21,-9.644228336892598e-22,-2.014794912999027e-20,9.31898350069996e-15,6.561595647577781e-16,2.367727768499737e-16,3.889307477804491e-15,1.1851355800305908e-14,1.4296724854039528e-16,2.985239249371837e-15,ACBI1,0.1,36000.0,360,180,360,0,5.17947467923121,2.49e-11
6.0,0.001,0.0,98.15010618751782,1.8498938124821735,0.04379806677567581,0.8566952360347737,98.13454419987627,-2.5533031788144234e-19,-3.647442636928146e-21,-2.2151154328286087e-21,-5.565246103247888e-20,9.693443577406589e-15,6.265499133859354e-16,2.2950186990454126e-16,4.4890830368222145e-15,1.2440301329356688e-14,1.428636415904924e-16,3.599568458714596e-15,ACBI1,0.1,36000.0,360,180,360,0,6.25055192527397,2.49e-11
