t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.0001,0.0,0.676131030910156,99.32386896908984,0.01721541244175838,0.023561027514353034,2.649046114820064,-8.196846453649635e-17,6.275831610325172e-19,2.2939323400077334e-20,4.554575228619197e-21,5.2045707339803084e-14,6.553566854835569e-17,9.020876119481391e-18,1.2345978417520991e-17,3.711546701979364e-16,3.2610480710050783e-19,6.470759236367463e-20,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.00013257113655901095,0.0,0.8965297604230642,99.10347023957694,0.02273651379379498,0.03112993752444799,2.6542695323288124,-1.0856659787689538e-16,8.199048035830012e-19,3.0165580948446344e-20,5.994053935983607e-21,5.193021840553831e-14,8.657810881952644e-17,1.1913933227948571e-17,1.6312087262810745e-17,4.916320393257344e-16,4.3206877034186186e-19,8.576673504734318e-20,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.00017575106248547912,0.0,1.1888297965593608,98.81117020344064,0.029991010210083806,0.041084720909654406,3.1768837901574476,-1.4374788747775223e-16,1.065832931450311e-18,3.9556046120528715e-20,7.86820831545912e-21,5.1777053186602897e-14,1.1424550352704262e-16,1.5715289350083915e-17,2.152839375665891e-17,6.51037713012887e-16,5.723404689375603e-19,1.136691096439325e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.00023299518105153718,0.0,1.5765138288556386,98.42348617114436,0.03949483669361372,0.054142708516138734,3.7984639949773413,-1.9024140610515972e-16,1.3761490340302938e-18,5.1667507244569565e-20,1.0291636884624317e-20,5.1573906753679645e-14,1.5052362083920664e-16,2.0695294427453592e-17,2.83707792624567e-17,8.618136674947761e-16,7.5791869649221405e-19,1.5062732624901427e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.00030888435964774815,0.0,2.090730490388893,97.90926950961111,0.051895807446051115,0.07121012425337232,0.22000905927114234,-2.516071372408753e-16,1.7603102433164513e-18,6.712024469818906e-20,1.3394463395566562e-20,5.130445722303622e-14,1.9791645348226487e-16,2.7193403101730786e-17,3.7314105108767103e-17,1.1402736787235038e-15,1.0032261526035498e-18,1.9955681576459994e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.00040949150623804275,0.0,2.7727641814369406,97.22723581856306,0.06799012270627712,0.09341047865342707,5.063597319717683,-3.324530728173724e-16,2.222658003942667e-18,8.652285393684422e-20,1.7309247985446085e-20,5.094707156892705e-14,2.595201443966348e-16,3.562682429808921e-17,4.894709081439579e-17,1.507726466631618e-15,1.3270719886798669e-18,2.6428413403008766e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.0005428675439323859,0.0,3.67723708506756,96.32276291493244,0.08872554769051555,0.12209825705247644,9.344003912469944,-4.386706069941775e-16,2.7552615423170772e-18,1.1029320612937654e-19,2.2138103784234736e-20,5.04731277674246e-14,3.3905281376360563e-16,4.649218698983015e-17,6.397948669549766e-17,1.991858879474051e-15,1.7537717506995557e-18,3.497985561826242e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.0007196856730011522,0.0,4.876162161042814,95.12383783895719,0.11517464995397127,0.1588367278984067,19.43814061875425,-5.776407283076047e-16,3.325255515254029e-18,1.382767081453211e-19,2.7880241106766257e-20,4.984489102761357e-14,4.4077981793411663e-16,6.035151657588095e-17,8.323044541876512e-17,2.628382273881046e-15,2.3143100709622726e-18,4.62531649010254e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.0009540954763499944,0.0,6.463836378265285,93.53616362173472,0.1484495149328619,0.20530217208955484,21.29453009569279,-7.582936350768545e-16,3.85381667864666e-18,1.6898348478254418e-19,3.428323108763216e-20,4.901294973778899e-14,5.692278785990526e-16,7.778754582481964e-17,1.0757833817492674e-16,3.462883302623096e-15,3.047218503606022e-18,6.106103015628267e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.0012648552168552957,0.0,8.562181630530148,91.43781836946985,0.18951249240526852,0.2630520807779227,36.623366438934156,-9.907614653026424e-16,4.183971510690008e-18,1.9814371754135389e-19,4.055379553817466e-20,4.79134168256022e-14,7.285136592412997e-16,9.93045460203607e-17,1.3783929032763148e-16,4.55269046763599e-15,3.998388285395582e-18,8.039404187556598e-19,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
