,t,degradation,Ternary,all_Ternary,alpha,Kd_T_binary
0,24,99.9999999999969,0.9247592607065607,0.9247592607065607,0.1,0.854
0,24,99.99999999999748,1.0870282960096143,1.0870282960096143,0.11775020130253673,0.854
0,24,99.99999999999675,1.2771576906263782,1.2771576906263782,0.13865109906787929,0.854
0,24,99.99999999999262,1.4996784316574407,1.4996784316574407,0.16326194826060753,0.854
0,24,99.99999999999751,1.761303197501652,1.761303197501652,0.19224127272730873,0.854
0,24,100.0000000000052,2.068797407367691,2.068797407367691,0.22636448562296468,0.854
0,24,99.99999999999739,2.431716258029125,2.431716258029125,0.26654463749849283,0.854
0,24,100.00000000000493,2.8465384156095648,2.8465384156095648,0.3138568472155922,0.854
0,24,100.00000000000857,3.3339223510693397,3.3339223510693397,0.369567069398155,0.854
0,24,100.00000000000414,3.9074749916445195,3.9074749916445195,0.4351659681642131,0.854
0,24,100.00000000000743,4.5615833027890575,4.5615833027890575,0.5124088035134939,0.854
0,24,100.0000000000002,5.301199398056627,5.301199398056627,0.6033623976290593,0.854
0,24,100.00000000000387,6.229665941710176,6.229665941710176,0.7104604377920294,0.854
0,24,100.00000000001191,7.219803701448245,7.219803701448245,0.8365685956749984,0.854
0,24,100.00000000000233,8.407553574044039,8.407553574044039,0.9850612054411155,0.854
0,24,100.00000000000055,9.762254945522175,9.762254945522175,1.1599115523601087,0.854
0,24,99.99999999999496,11.300658672007692,11.300658672007692,1.3657981878354069,0.854
0,24,99.99999999999383,13.029683146957149,13.029683146957149,1.6082301155625904,0.854
0,24,99.9999999999952,14.988432710055456,14.988432710055456,1.8936941984829694,0.854
0,24,99.99999999999201,17.19533710088072,17.19533710088072,2.229828730768157,0.854
0,24,99.99999999999334,19.67890198696133,19.67890198696133,2.6256278191813047,0.854
0,24,99.99999999999872,22.372064209352903,22.372064209352903,3.091682042541392,0.854
0,24,100.00000000000317,25.27879564864547,25.27879564864547,3.64046182872687,0.854
0,24,100.00000000000115,28.54602054206342,28.54602054206342,4.2866511316679,0.854
0,24,100.00000000000011,32.01286681482598,32.01286681482598,5.047540336676421,0.854
0,24,100.00000000000044,35.49338060350905,35.49338060350905,5.943488907263226,0.854
0,24,100.0000000000022,39.43186568291576,39.43186568291576,6.99847015269639,0.854
0,24,100.00000000000217,43.19152786358266,43.19152786358266,8.240712692897953,0.854
0,24,100.00000000000323,47.37649855411496,47.37649855411496,9.703455784651036,0.854
0,24,100.00000000000256,51.46968455140879,51.46968455140879,11.42583871972924,0.854
0,24,100.00000000000102,55.46356559129458,55.46356559129458,13.453948092984373,0.854
0,24,99.99999999999993,59.46987886589358,59.46987886589358,15.842050962627892,0.854
0,24,99.99999999999851,63.305858404503745,63.305858404503745,18.654046898944813,0.854
0,24,99.99999999999731,67.00386342801322,67.00386342801322,21.96517777457714,0.854
0,24,99.99999999999946,70.48601115940103,70.48601115940103,25.864041046024628,0.854
0,24,99.99999999999935,73.81053194388886,73.81053194388886,30.45496039666474,0.854
0,24,99.9999999999989,76.80950802797697,76.80950802797697,35.86077717368055,0.854
0,24,99.99999999999967,79.59251244932469,79.59251244932469,42.22613731066302,0.854
0,24,99.99999999999855,82.08674064020798,82.08674064020798,49.721361685591305,0.854
0,24,100.00000000000074,84.30284961929453,84.30284961929453,58.5470034751461,0.854
0,24,100.00000000000055,86.36473889595561,86.36473889595561,68.93921444858775,0.854
0,24,99.9999999999996,88.1468241936432,88.1468241936432,81.17606378959961,0.854
0,24,100.00000000000033,89.74642525444875,89.74642525444875,95.58497852172911,0.854
0,24,100.00000000000182,91.12819720640668,91.12819720640668,112.55150462432259,0.854
0,24,99.99999999999993,92.35275559247373,92.35275559247373,132.52962326417386,0.854
0,24,100.00000000000028,93.41697934080679,93.41697934080679,156.0538981790582,0.854
0,24,100.00000000000007,94.33035174945779,94.33035174945779,183.75377924629683,0.854
0,24,100.00000000000118,95.12753574375459,95.12753574375459,216.3704449635334,0.854
0,24,99.99999999999909,95.81361605385305,95.81361605385305,254.77663450375516,0.854
0,24,100.00000000000011,96.40650213121602,96.40650213121602,300.0,0.854
0,24,99.9999999999951,0.10287227442246738,0.10287227442246738,0.1,8.54
0,24,99.9999999999937,0.121101481389595,0.121101481389595,0.11775020130253673,8.54
0,24,100.00000000000004,0.1425313336462873,0.1425313336462873,0.13865109906787929,8.54
0,24,99.99999999999888,0.16770368527035925,0.16770368527035925,0.16326194826060753,8.54
0,24,100.00000000000675,0.1974334319143361,0.1974334319143361,0.19224127272730873,8.54
0,24,100.000000000009,0.23255232544216634,0.23255232544216634,0.22636448562296468,8.54
0,24,99.99999999999781,0.27426662185103284,0.27426662185103284,0.26654463749849283,8.54
0,24,100.00000000000348,0.3222787491540504,0.3222787491540504,0.3138568472155922,8.54
0,24,100.00000000000333,0.37917167087393006,0.37917167087393006,0.369567069398155,8.54
0,24,100.00000000000607,0.44677637040318435,0.44677637040318435,0.4351659681642131,8.54
0,24,100.00000000001342,0.5247445453907532,0.5247445453907532,0.5124088035134939,8.54
0,24,100.00000000000068,0.6140445871389559,0.6140445871389559,0.6033623976290593,8.54
0,24,99.99999999999257,0.7280154055220313,0.7280154055220313,0.7104604377920294,8.54
0,24,99.99999999999491,0.8517441939644621,0.8517441939644621,0.8365685956749984,8.54
0,24,100.00000000000317,1.0033135610587387,1.0033135610587387,0.9850612054411155,8.54
0,24,99.99999999999787,1.1805665616032057,1.1805665616032057,1.1599115523601087,8.54
0,24,99.99999999999906,1.3875849563572498,1.3875849563572498,1.3657981878354069,8.54
