t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
0.0,0.001,0.0,100.0,0.0,0.0,88.11922663018905,0.0,0.0,0.0,0.0,4e-13,0.0,0.0,0.0,0.0,0.0,0.0,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
0.4897959183673469,0.001,0.0,99.91570356185335,0.004485888505643374,2.2266692392107075,88.11922663018905,-1.4028801483356987e-15,2.6672527581079948e-17,7.653290830971866e-16,1.714962825935771e-14,3.9966281424741343e-13,1.535121470559703e-15,1.7943554022573497e-17,8.906676956842829e-15,1.8301745514402666e-15,3.8968893009325216e-16,8.83500550989435e-15,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
0.9795918367346939,0.001,0.0,99.66626606117268,0.007440254035197414,4.14901725560916,88.11922663018905,-2.6296395798779592e-15,2.1707545979579625e-17,6.29043753055634e-16,1.4119812857036211e-14,3.9866506424469076e-13,2.8995009299352607e-15,2.9761016140789656e-17,1.659606902243664e-14,3.113021620095997e-15,7.304554388549922e-16,1.6477003329779126e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
1.4693877551020407,0.001,0.0,99.28072940729868,0.009829216970147873,5.720781828439421,88.11922663018905,-3.6311481203173155e-15,1.7433445699050807e-17,5.098476958435453e-16,1.1461399479196539e-14,3.9712291762919475e-13,4.010660744661872e-15,3.931686788059149e-17,2.2883127313757685e-14,4.2282428515299576e-15,1.0086522556437122e-15,2.272563032575941e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
1.9591836734693877,0.001,0.0,98.78482574422749,0.01173571560933951,6.987994366763747,88.11922663018905,-4.4375344920483295e-15,1.3817821602146811e-17,4.0759911184210767e-16,9.174746901339335e-15,3.9513930297690995e-13,4.903445773968516e-15,4.694286243735804e-17,2.7951977467054992e-14,5.181800156789982e-15,1.2326484700134253e-15,2.776373395679872e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
2.4489795918367347,0.001,0.0,98.2006434598646,0.013237192341969073,7.995548170864955,88.11922663018905,-5.077957422155008e-15,1.0805714928020243e-17,3.2137941907885325e-16,7.242148367736984e-15,3.9280257383945836e-13,5.6111871369461144e-15,5.294876936787629e-17,3.198219268345982e-14,5.9850514888229606e-15,1.4105437283763962e-15,3.176968049318723e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
2.9387755102040813,0.001,0.0,97.54682059914214,0.014403450277818232,8.785327845326945,88.11922663018905,-5.579464100770318e-15,8.329771038488761e-18,2.4975308614243783e-16,5.633600729529685e-15,3.901872823965686e-13,6.164527553894766e-15,5.761380111127292e-17,3.5141311381307776e-14,6.65285485960492e-15,1.5498511391028894e-15,3.490991072038082e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
3.4285714285714284,0.001,0.0,96.83885039508414,0.015295622366943602,9.395042883481679,88.11922663018905,-5.966297150533915e-15,6.3165494841041985e-18,1.9100837057604696e-16,4.312290355716681e-15,3.8735540158033653e-13,6.5907426873208885e-15,6.11824894677744e-17,3.758017153392672e-14,7.201777635171343e-15,1.657304764037178e-15,3.73342943858947e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
3.9183673469387754,0.001,0.0,96.08944679069252,0.015966008136112365,9.85767870590111,88.11922663018905,-6.2595886431884904e-15,4.695192835969485e-18,1.4335409795799993e-16,3.2390714256816544e-15,3.843577871627701e-13,6.913479757486545e-15,6.386403254444946e-17,3.943071482360444e-14,7.648639504608853e-15,1.7387746231079471e-15,3.9173940038864825e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
4.408163265306122,0.001,0.0,95.30892862216463,0.016458507122939232,10.201422510567948,88.11922663018905,-6.477347628597191e-15,3.4000439849087832e-18,1.0505624018240995e-16,2.3756818279866136e-15,3.8123571448865856e-13,7.152805357097952e-15,6.583402849175693e-17,4.080569004227179e-14,8.00947381271738e-15,1.7992632301659e-15,4.0540893877843866e-14,ACBI1,9.26,36000.0,5000,180,3.6,0,1000,2.49e-11
