t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0005,0.0,55.33337881239548,0.00042729750658577884,0.0004273498316409791,98.99999999999982,2.2133351524958194e-13,9.496567941045795e-20,1.7091900263431155e-18,1.7093993265639166e-18,4.872528526672694e-15,ACBI1,9.26,36000.0,10,0.1
6.0,0.0005,0.0,55.33337881239528,0.0005156466309375282,0.0005157228325591996,98.99999999999989,2.2133351524958113e-13,1.1460392721534464e-19,2.0625865237501125e-18,2.0628913302367984e-18,4.872539963226856e-15,ACBI1,9.26,36000.0,10,0.12067926406393285
6.0,0.0005,0.0,55.333378812395374,0.0006222598385257235,0.0006223708113149888,99.0,2.2133351524958149e-13,1.383032403074065e-19,2.489039354102894e-18,2.4894832452599557e-18,4.872553764846735e-15,ACBI1,9.26,36000.0,10,0.14563484775012436
6.0,0.0005,0.0,55.333378812394955,0.0007509113314364254,0.0007510729406432589,98.99999999999983,2.213335152495798e-13,1.6690342630404626e-19,3.0036453257457017e-18,3.0042917625730358e-18,4.8725704206428295e-15,ACBI1,9.26,36000.0,10,0.1757510624854792
6.0,0.0005,0.0,55.33337881239523,0.0009061545684201533,0.0009063899174691539,99.0,2.213335152495809e-13,2.0141796305716545e-19,3.6246182736806136e-18,3.625559669876615e-18,4.872590520884592e-15,ACBI1,9.26,36000.0,10,0.21209508879201905
6.0,0.0005,0.0,55.33337881239411,0.0010934828528918106,0.0010938255850673029,98.99999999999989,2.2133351524957644e-13,2.4306991429589993e-19,4.373931411567242e-18,4.375302340269212e-18,4.872614777926313e-15,ACBI1,9.26,36000.0,10,0.2559547922699536
6.0,0.0005,0.0,55.33337881239281,0.0013195228757126246,0.0013200219814687784,98.9999999999999,2.2133351524957124e-13,2.933352732342295e-19,5.278091502850499e-18,5.280087925875114e-18,4.8726440514630004e-15,ACBI1,9.26,36000.0,10,0.3088843596477481
6.0,0.0005,0.0,55.33337881238979,0.0015922679120741392,0.0015929947282317318,99.00000000000023,2.2133351524955915e-13,3.5399527059046766e-19,6.369071648296557e-18,6.3719789129269276e-18,4.8726793790136906e-15,ACBI1,9.26,36000.0,10,0.372759372031494
6.0,0.0005,0.0,55.33337881238338,0.001921358704669227,0.0019224171043085614,99.00000000000028,2.2133351524953352e-13,4.271995013730972e-19,7.685434818676909e-18,7.689668417234246e-18,4.872722012714703e-15,ACBI1,9.26,36000.0,10,0.44984326689694454
6.0,0.0005,0.0,55.333378812369936,0.002318421650013588,0.0023199628765778455,99.00000000000117,2.2133351524947978e-13,5.155421085178193e-19,9.273686600054352e-18,9.279851506311383e-18,4.872773463730924e-15,ACBI1,9.26,36000.0,10,0.5428675439323859
6.0,0.0005,0.0,55.33337881234123,0.0027974757825929056,0.002799720043092905,99.00000000000175,2.213335152493649e-13,6.221537246629231e-19,1.1189903130371624e-17,1.119888017237162e-17,4.872835555865178e-15,ACBI1,9.26,36000.0,10,0.6551285568595507
6.0,0.0005,0.0,55.333378812279676,0.0033754222674943,0.0033786901614402485,99.00000000000426,2.2133351524911872e-13,7.508124325108232e-19,1.3501689069977201e-17,1.3514760645760994e-17,4.872910490272868e-15,ACBI1,9.26,36000.0,10,0.7906043210907697
6.0,0.0005,0.0,55.333378812150336,0.004072632713729629,0.004077390972473697,99.00000000001826,2.2133351524860135e-13,9.060776792620347e-19,1.6290530854918517e-17,1.630956388989479e-17,4.873000923588559e-15,ACBI1,9.26,36000.0,10,0.9540954763499939
6.0,0.0005,0.0,55.333378811873324,0.004913655654735771,0.004920583697473787,99.0000000000172,2.2133351524749331e-13,1.0934518955916558e-18,1.9654622618943084e-17,1.968233478989515e-17,4.873110062250893e-15,ACBI1,9.26,36000.0,10,1.151395399326447
6.0,0.0005,0.0,55.33337881128419,0.005928064052058296,0.005938150815521396,99.00000000007859,2.2133351524513678e-13,1.3195755536541315e-18,2.3712256208233188e-17,2.3752603262085583e-17,4.873241776394457e-15,ACBI1,9.26,36000.0,10,1.3894954943731375
6.0,0.0005,0.0,55.33337881003037,0.007151470693637629,0.00716615547605426,99.00000000006696,2.2133351524012147e-13,1.5924625867969167e-18,2.860588277455052e-17,2.866462190421704e-17,4.8734007373826295e-15,ACBI1,9.26,36000.0,10,1.6768329368110073
6.0,0.0005,0.0,55.3333788073565,0.008626742886950103,0.008648120160992267,99.00000000001509,2.2133351522942603e-13,1.921784528508099e-18,3.450697154780042e-17,3.459248064396907e-17,4.873592583911425e-15,ACBI1,9.26,36000.0,10,2.0235896477251565
6.0,0.0005,0.0,55.3333788016537,0.010405452856662167,0.010436570013653513,99.00000000056336,2.2133351520661482e-13,2.319213460892984e-18,4.1621811426648667e-17,4.174628005461406e-17,4.873824122650084e-15,ACBI1,9.26,36000.0,10,2.442053094548651
6.0,0.0005,0.0,55.33337878948197,0.012549605647564356,0.012594895679242765,99.00000000122292,2.213335151579279e-13,2.798835955500643e-18,5.0198422590257423e-17,5.037958271697106e-17,4.874103570646338e-15,ACBI1,9.26,36000.0,10,2.9470517025518097
6.0,0.0005,0.0,55.33337876348475,0.015133691903798657,0.01519960189499026,99.00000000283787,2.21333515053939e-13,3.3776527159313814e-18,6.053476761519463e-17,6.079840757996104e-17,4.874440848254145e-15,ACBI1,9.26,36000.0,10,3.5564803062231287
6.0,0.0005,0.0,55.33337870792726,0.018247118284406377,0.01834302184080241,99.00000000421804,2.2133351483170904e-13,4.0761816811962375e-18,7.298847313762552e-17,7.337208736320965e-17,4.87484793321051e-15,ACBI1,9.26,36000.0,10,4.291934260128776
6.0,0.0005,0.0,55.33337858913793,0.02199707288824882,0.022136593915862025,99.00000000945403,2.2133351435655171e-13,4.919186026299893e-18,8.798829155299529e-17,8.85463756634481e-17,4.875339288759546e-15,ACBI1,9.26,36000.0,10,5.17947467923121
6.0,0.0005,0.0,55.33337833508877,0.026511885963249795,0.0267148177531664,99.00000001958038,2.2133351334035508e-13,5.936552923591094e-18,1.0604754385299918e-16,1.0685927101266561e-16,4.8759323815012274e-15,ACBI1,9.26,36000.0,10,6.25055192527397
6.0,0.0005,0.0,55.333377791799684,0.03194494594614799,0.03224003066335524,99.00000002265274,2.2133351116719876e-13,7.16435424020148e-18,1.2777978378459196e-16,1.2896012265342095e-16,4.876648308039999e-15,ACBI1,9.26,36000.0,10,7.543120063354615
6.0,0.0005,0.0,55.333376630519126,0.03847922542547747,0.038908175208933464,99.00000006415539,2.2133350652207652e-13,8.646126681038067e-18,1.5391690170190988e-16,1.5563270083573387e-16,4.8775125536659236e-15,ACBI1,9.26,36000.0,10,9.102981779915218
