t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,54.42643451445489,0.027302577577628283,0.03824588323592412,99.01209771158086,-2.2018288119252753e-14,2.1770573805781958e-13,2.8972443576915703e-16,1.0921031031051314e-16,1.529835329436965e-16,4.877430046900352e-15,ACBI1,9.26,36000.0,360,180,360,100,9.102981779915218
6.0,0.0005,0.0,53.80177354543818,0.030748452206306526,0.04559767687229248,99.03689468374776,-2.2209145058576453e-14,2.1520709418175275e-13,3.3695611882548843e-16,1.229938088252261e-16,1.8239070748916994e-16,4.878450726633035e-15,ACBI1,9.26,36000.0,360,180,360,100,10.985411419875584
6.0,0.0005,0.0,52.831402076510024,0.034134158588528044,0.05397287292902678,99.06236760893931,-2.249615724142997e-14,2.1132560830604012e-13,3.857222987743593e-16,1.3653663435411218e-16,2.1589149171610712e-16,4.879707341385135e-15,ACBI1,9.26,36000.0,360,180,360,100,13.257113655901081
6.0,0.0005,0.0,51.39199724181724,0.03723157776617828,0.06322927486726847,99.10085472234587,-2.289975570747441e-14,2.05567988967269e-13,4.3249403371776884e-16,1.4892631106471312e-16,2.5291709946907384e-16,4.8812768405050154e-15,ACBI1,9.26,36000.0,360,180,360,100,15.998587196060573
6.0,0.0005,0.0,49.36286688777597,0.03976014987045051,0.07303314382061712,98.97458809225968,-2.3421695077177264e-14,1.974514675511039e-13,4.724668811800885e-16,1.5904059948180206e-16,2.9213257528246847e-16,4.883260230860515e-15,ACBI1,9.26,36000.0,360,180,360,100,19.306977288832496
6.0,0.0005,0.0,46.65657154826675,0.04142197757437935,0.08282200621769237,99.02169946284344,-2.4027440830358788e-14,1.86626286193067e-13,5.001465310410048e-16,1.656879102975174e-16,3.3128802487076946e-16,4.8857718225727004e-15,ACBI1,9.26,36000.0,360,180,360,100,23.29951810515372
6.0,0.0005,0.0,43.25454381189796,0.04196126731413148,0.09182254527304334,99.4815261784253,-2.463205999013568e-14,1.7301817524759184e-13,5.105130848978623e-16,1.6784506925652592e-16,3.6729018109217335e-16,4.888908086351316e-15,ACBI1,9.26,36000.0,360,180,360,100,28.11768697974228
6.0,0.0005,0.0,39.2342268070378,0.041234340223714396,0.09915112970525077,99.42943820071008,-2.5101185804178056e-14,1.5693690722815121e-13,5.005016978919263e-16,1.6493736089485759e-16,3.9660451882100305e-16,4.892695572497361e-15,ACBI1,9.26,36000.0,360,180,360,100,33.93221771895326
6.0,0.0005,0.0,34.77259662326887,0.039263338505027445,0.10399285885880581,99.37592436845205,-2.5275737658034412e-14,1.3909038649307546e-13,4.702024542786575e-16,1.570533540201098e-16,4.159714354352233e-16,4.897033642069985e-15,ACBI1,9.26,36000.0,360,180,360,100,40.94915062380423
6.0,0.0005,0.0,30.118801439150182,0.03624638675590414,0.10580775994352304,99.02117531976093,-2.5016818687350097e-14,1.2047520575660074e-13,4.231359660649824e-16,1.4498554702361657e-16,4.2323103977409216e-16,4.9016636015493175e-15,ACBI1,9.26,36000.0,360,180,360,100,49.417133613238335
