t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.005179474679231213,0.0,99.7298907992979,0.2517593999235085,0.28665227702841767,-98.00003923397549,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.006866488450042998,0.0,99.6338022489078,0.3308888132663722,0.37744260936828444,-98.16025818663282,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.009102981779915217,0.0,99.5003406814816,0.43353717385499746,0.49572752923351376,-97.1269700768885,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.012067926406393288,0.0,99.31289437384326,0.5655494555297972,0.6487157305576116,-96.39412448889303,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.015998587196060572,0.0,99.04646213901968,0.7331550056989796,0.8444021371412613,-94.35061007716506,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.021209508879201904,0.0,98.66353003570929,0.9417593151291845,1.0903207605002838,-92.17801409773283,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.028117686979742307,0.0,98.10947325000704,1.1931704413737716,1.3903995691628868,-91.82572248993327,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.03727593720314938,0.0,97.31178500479953,1.4800710270122837,1.7381974311431898,-88.52525369599509,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.04941713361323833,0.0,96.19682042293105,1.7777018177272563,2.1058006619880216,-84.76272456951341,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0655128556859551,0.0,94.74626265335151,2.04116001903142,2.4381317809045786,-84.12389832326025,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.08685113737513521,0.0,93.07158193703839,2.228937885569591,2.6804360173869335,-80.25737296753157,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.1151395399326447,0.0,91.38701875109156,2.3375411451434367,2.8241905534409297,-63.552764889205406,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.15264179671752334,0.0,89.87534396092768,2.3916083151213203,2.89818844609638,-56.839328831776804,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.20235896477251575,0.0,88.62197288935754,2.4145117264821594,2.9313924357071373,-76.00521849582897,PROTAC 1,8.54,36000.0,360,3.2
